chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN811289.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811289.1:1:6115441:1 REF	4296839	0.89	0.34	0.86	0.86	0.93	0.92	0.87	0.96	0.92	0.88	0.95	0.90	0.94	0.72	0.88	0.95	0.75	0.98	0.90	0.73	0.83	0.91
KN811304.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811304.1:1:2917921:1 REF	2709045	0.86	0.93	0.70	0.55	0.91	0.75	0.67	0.93	0.60	0.90	0.92	0.85	0.77	0.85	0.97	0.80	0.52	0.91	0.89	0.91	0.85	0.49
KN811309.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811309.1:1:2934820:1 REF	230561	0.97	0.97	0.97	0.91	0.97	0.98	0.95	0.94	0.92	1.00	0.96	1.00	0.99	0.98	0.93	0.96	0.96	0.99	0.96	0.95	1.00	0.84
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182580	0.57	0.91	0.75	0.77	0.51	0.52	0.43	0.79	0.76	0.76	0.61	0.57	0.65	0.54	0.65	0.56	0.50	0.61	0.74	0.75	0.59	1.00
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182586	0.44	0.78	0.80	0.77	0.49	0.62	0.57	0.71	0.58	0.81	0.63	0.57	0.72	0.46	0.70	0.52	0.88	0.61	0.74	0.81	0.75	0.95
KN811336.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811336.1:1:2282238:1 REF	182747	0.73	0.74	0.92	0.78	0.72	0.40	0.68	0.57	0.82	0.78	0.80	0.63	0.68	0.65	0.72	0.81	0.55	0.59	0.86	0.85	0.86	0.39
KN811341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811341.1:1:2319825:1 REF	1855800	0.74	0.85	0.76	0.97	0.97	1.00	0.89	0.87	0.69	0.81	0.97	0.76	0.93	0.96	0.66	0.93	0.89	0.90	0.97	0.91	0.88	0.40
KN811355.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811355.1:1:2185618:1 REF	1041468	0.92	0.94	0.97	0.85	0.81	0.85	0.74	0.77	0.83	0.81	0.94	0.95	0.92	0.96	0.96	0.91	0.63	0.86	0.84	0.89	0.94	0.88
KN811366.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811366.1:1:2012531:1 REF	1182416	0.64	0.57	0.77	0.71	0.79	0.87	0.23	0.67	0.74	0.92	0.83	0.65	0.73	0.65	0.66	0.59	0.33	0.71	0.74	0.43	0.53	0.73
KN811409.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811409.1:1:1773268:1 REF	1591922	0.47	0.81	0.75	0.78	0.58	0.59	0.62	0.77	0.56	0.77	0.66	0.57	0.72	0.46	0.76	0.47	0.90	0.65	0.69	0.81	0.75	0.95
KN811430.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811430.1:1:1503563:1 REF	1282421	0.81	0.95	0.77	0.83	0.90	0.52	0.77	0.91	0.84	0.92	0.90	0.92	0.83	0.84	0.91	0.83	0.61	0.65	0.89	0.85	0.89	0.63
KN811443.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811443.1:1:1366826:1 REF	280888	0.97	1.00	1.00	0.94	1.00	0.66	0.79	0.82	0.85	0.94	0.98	0.97	0.98	0.97	1.00	0.87	0.88	1.00	1.00	0.91	0.95	0.67
KN811450.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811450.1:1:1556078:1 REF	1517515	0.43	0.62	0.33	0.47	0.24	0.80	0.27	0.63	0.51	0.51	0.45	0.56	0.48	0.46	0.43	0.78	0.94	0.58	0.36	0.65	0.38	0.94
KN811468.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811468.1:1:1275134:1 REF	601010	0.84	0.94	0.97	0.89	0.91	0.75	0.84	0.83	0.90	0.94	0.90	0.82	0.85	0.83	0.89	0.87	0.79	0.88	0.90	0.96	0.85	0.53
KN811468.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811468.1:1:1275134:1 REF	601013	0.90	0.89	0.90	0.89	0.93	0.92	0.95	0.89	0.93	0.94	0.90	0.86	0.93	0.86	0.85	0.90	0.86	0.81	0.90	0.96	0.85	0.53
KN811470.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811470.1:1:1281839:1 REF	561631	0.97	0.98	0.78	0.64	0.94	0.91	0.89	0.90	0.87	1.00	0.94	0.94	0.90	0.95	0.95	0.84	1.00	1.00	0.96	0.97	0.93	0.96
KN811478.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811478.1:1:1300797:1 REF	768562	0.49	0.58	0.51	0.15	0.52	0.53	0.32	0.27	0.33	0.61	0.54	0.71	0.54	0.55	0.32	0.50	0.32	0.58	0.48	0.26	0.49	0.60
KN811604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN811604.1:1:955140:1 REF	628716	0.76	0.83	0.44	0.66	0.95	0.96	0.21	0.94	0.57	0.90	0.90	0.74	0.88	0.92	0.90	0.84	1.00	0.86	0.93	0.59	0.83	0.86
