chr	pos	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
KN805545.1	457407	0.30	1.00	0.63	0.94	0.97	1.00	0.91	0.99
KN805547.1	122845	0.77	0.32	0.96	0.86	1.00	0.92	0.86	1.00
KN805549.1	381279	0.86	0.75	0.95	0.73	0.84	1.00	0.66	0.98
KN805549.1	381286	0.73	0.42	0.87	1.00	0.58	0.63	0.61	0.98
KN805551.1	486988	0.13	0.91	0.37	0.40	0.47	0.67	0.79	0.36
KN805551.1	487001	0.18	0.24	0.88	0.48	0.93	0.42	0.58	0.27
KN805551.1	487032	0.51	0.24	0.94	0.30	0.88	0.74	0.97	0.30
KN805554.1	19195	0.36	1.00	0.52	1.00	1.00	0.41	0.90	1.00
KN805559.1	331220	0.88	0.44	0.90	0.97	0.55	1.00	1.00	1.00
KN805561.1	469415	0.78	0.86	0.97	0.76	0.91	0.69	0.83	0.50
KN805561.1	469421	0.72	0.78	0.95	0.93	0.92	0.91	0.86	0.50
KN805561.1	469426	0.84	0.94	0.94	0.89	0.89	0.92	0.82	0.50
KN805561.1	469428	0.97	0.92	0.70	0.88	0.86	0.89	0.80	0.50
KN805561.1	469460	0.56	0.88	0.85	0.83	0.74	0.49	0.64	0.50
KN805569.1	566955	0.47	0.64	0.65	0.69	0.62	0.83	0.63	0.78
KN805574.1	159152	0.94	0.28	0.54	0.95	0.63	0.95	0.98	0.14
KN805574.1	159156	0.98	0.97	0.96	0.97	0.48	0.96	0.97	1.00
KN805577.1	628014	0.77	0.97	0.97	0.87	0.52	0.50	0.71	0.11
KN805579.1	32093	0.33	0.55	0.64	0.44	0.67	0.32	0.28	0.25
KN805599.1	656366	1.00	0.87	0.88	0.75	1.00	0.49	0.47	1.00
KN805603.1	3252362	0.87	0.54	0.49	0.37	0.36	0.61	0.46	0.94
KN805603.1	3252386	0.68	0.85	0.88	0.47	0.90	0.93	0.80	0.97
KN805603.1	3354606	0.40	0.68	0.78	0.87	0.65	0.65	0.55	1.00
KN805609.1	587530	0.88	0.80	1.00	0.97	0.91	1.00	1.00	1.00
KN805610.1	285262	0.73	0.84	0.83	0.88	0.80	0.80	0.89	0.38
KN805610.1	285275	0.86	0.84	0.90	0.94	0.86	0.87	0.87	0.47
KN805610.1	285278	0.95	0.90	0.93	0.92	0.86	0.85	0.87	0.47
KN805613.1	284493	0.82	0.18	0.98	0.85	1.00	0.92	0.77	1.00
KN805614.1	149061	0.67	0.30	0.74	0.69	0.70	0.45	0.79	1.00
KN805616.1	299263	0.86	1.00	0.91	0.84	0.97	0.84	0.98	0.90
KN805628.1	344276	0.12	0.22	0.19	0.33	0.52	0.10	0.15	0.36
KN805648.1	418161	0.92	1.00	0.48	0.97	0.57	0.97	0.95	1.00
KN805652.1	283380	0.90	0.77	0.73	0.82	0.79	0.67	0.83	0.92
KN805653.1	313294	0.71	1.00	0.98	0.83	0.77	1.00	1.00	1.00
KN805653.1	313296	0.71	0.70	1.00	0.90	0.86	1.00	1.00	1.00
KN805653.1	313302	1.00	1.00	1.00	0.52	1.00	1.00	0.94	1.00
KN805653.1	313304	1.00	1.00	1.00	0.88	1.00	1.00	0.79	1.00
KN805653.1	313313	1.00	1.00	0.98	1.00	0.86	1.00	1.00	1.00
KN805655.1	273677	0.79	0.66	0.73	0.64	0.32	0.59	0.50	0.94
KN805660.1	200299	0.55	0.42	0.87	0.87	0.91	0.96	0.67	1.00
KN805672.1	509919	0.86	0.12	0.36	0.33	0.36	0.29	0.17	0.81
KN805679.1	343487	0.27	0.65	0.55	0.53	0.56	0.44	0.60	0.41
KN805679.1	343498	0.73	0.36	0.60	0.95	1.00	0.56	0.76	0.97
KN805683.1	206149	0.23	0.97	1.00	1.00	0.80	1.00	1.00	1.00
KN805697.1	375041	0.37	0.62	0.59	0.67	0.54	0.80	0.58	0.75
KN805698.1	1789306	0.57	0.83	0.60	0.76	0.89	0.94	0.82	0.80
KN805698.1	1789338	0.78	0.80	0.64	0.80	0.91	0.97	0.67	0.69
KN805698.1	1789340	0.75	0.93	0.85	0.94	0.96	1.00	0.83	0.17
KN805699.1	2433650	1.00	0.97	0.99	0.75	0.87	1.00	1.00	1.00
KN805699.1	2433656	0.48	0.99	0.99	0.75	1.00	1.00	1.00	1.00
KN805699.1	2433683	1.00	0.44	0.91	0.74	0.93	0.98	1.00	1.00
KN805699.1	3480225	0.71	1.00	0.98	0.71	0.76	1.00	1.00	1.00
KN805699.1	3480227	0.71	0.70	1.00	0.86	0.86	1.00	1.00	1.00
KN805699.1	3480233	1.00	1.00	1.00	0.93	1.00	1.00	0.57	1.00
KN805699.1	3480235	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00
KN805699.1	3480244	1.00	1.00	0.96	1.00	0.86	1.00	0.62	1.00
KN805705.1	295871	0.98	0.90	0.97	0.89	0.75	0.14	0.96	1.00
KN805705.1	458640	0.33	0.93	0.91	0.99	0.95	0.96	0.96	1.00
KN805705.1	458648	0.32	0.84	0.74	0.96	0.85	0.88	0.65	1.00
KN805716.1	356329	1.00	1.00	1.00	1.00	0.97	1.00	0.99	1.00
KN805734.1	6826	1.00	1.00	0.97	1.00	0.40	1.00	1.00	0.99
KN805734.1	6835	1.00	1.00	0.99	1.00	1.00	1.00	0.85	1.00
KN805734.1	6837	1.00	1.00	0.98	1.00	1.00	1.00	1.00	1.00
KN805739.1	134284	0.97	0.83	0.96	0.86	0.66	0.90	0.69	1.00
KN805745.1	337621	0.30	0.80	0.74	0.64	0.90	1.00	0.83	0.31
KN805745.1	337634	0.25	1.00	0.84	0.60	0.77	1.00	0.92	0.38
KN805750.1	122053	0.68	0.82	0.94	0.92	0.88	0.79	0.89	0.86
KN805750.1	122065	0.80	0.92	0.88	0.90	0.93	0.94	0.92	0.93
KN805750.1	122071	0.92	0.89	0.79	0.82	0.83	0.89	0.93	1.00
KN805750.1	122078	0.92	0.83	0.79	0.84	0.91	0.95	0.91	1.00
KN805758.1	500227	0.71	0.68	0.49	0.86	0.59	0.27	0.64	0.16
KN805758.1	500236	1.00	0.69	0.68	0.94	0.93	0.62	0.71	0.88
KN805764.1	129028	0.80	0.88	0.98	0.82	0.88	0.77	0.82	0.50
KN805764.1	129052	0.79	0.42	0.58	0.33	0.76	0.57	0.64	0.43
KN805776.1	253072	0.41	0.73	0.75	0.78	0.76	0.75	0.59	1.00
KN805776.1	253078	0.56	0.73	0.56	0.79	0.73	0.81	0.75	0.95
KN805778.1	250092	0.48	0.38	0.66	0.65	0.49	0.55	0.38	0.65
KN805779.1	432619	0.86	0.12	0.38	0.27	0.36	0.31	0.30	0.81
KN805780.1	238445	0.57	0.94	0.69	0.36	0.74	0.40	0.79	0.70
KN805785.1	158568	0.32	0.40	0.60	0.56	0.71	0.57	0.57	0.17
KN805789.1	72726	0.77	1.00	0.74	0.80	1.00	0.34	0.81	1.00
KN805789.1	72761	0.85	0.89	0.65	0.88	1.00	0.89	0.67	1.00
KN805806.1	202789	0.78	0.82	0.88	0.91	0.84	0.85	0.89	1.00
KN805806.1	202796	0.61	0.69	0.42	0.94	0.52	0.72	0.72	0.60
KN805810.1	406757	0.98	0.60	1.00	0.70	0.94	0.98	1.00	0.36
KN805812.1	5558	0.74	0.81	0.72	0.90	0.81	0.24	0.76	0.77
KN805820.1	318141	0.81	0.91	0.92	0.86	0.70	0.88	0.56	0.53
KN805821.1	1720112	0.31	0.50	0.38	0.30	0.24	0.71	0.23	0.65
KN805821.1	1965678	0.97	0.83	0.96	0.85	0.65	0.90	0.70	1.00
KN805821.1	3769644	0.95	0.73	0.85	0.73	1.00	0.74	0.88	1.00
KN805822.1	2580775	0.18	0.85	0.88	0.83	0.76	0.82	0.83	0.53
KN805828.1	375129	0.60	0.88	0.56	0.82	0.94	0.18	0.92	0.91
KN805832.1	9863	0.84	0.79	0.71	0.93	0.79	0.43	0.76	0.77
KN805837.1	235775	1.00	0.83	0.44	1.00	0.72	1.00	0.76	1.00
KN805855.1	236385	0.96	0.95	1.00	0.86	0.90	1.00	0.96	1.00
KN805858.1	253493	0.65	0.10	0.61	0.53	0.29	0.12	0.48	0.69
KN805858.1	288959	0.18	0.26	0.34	0.21	0.32	0.55	0.19	0.67
KN805859.1	179987	0.77	0.32	0.98	0.86	1.00	0.86	0.72	1.00
KN805864.1	296890	1.00	1.00	0.98	0.90	0.88	1.00	1.00	1.00
KN805864.1	296899	1.00	1.00	1.00	0.86	0.96	1.00	0.77	1.00
KN805864.1	296901	1.00	1.00	1.00	0.55	1.00	1.00	0.94	1.00
KN805864.1	296907	0.72	0.26	1.00	0.85	0.88	1.00	1.00	1.00
KN805864.1	296909	0.72	1.00	0.98	0.76	0.77	1.00	1.00	0.99
KN805870.1	13163	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805873.1	282	0.67	0.76	0.80	0.39	0.78	0.65	0.78	0.53
KN805873.1	356	0.80	0.85	0.95	0.91	0.99	0.50	0.95	1.00
KN805894.1	11877	1.00	0.64	0.98	1.00	0.99	1.00	0.71	1.00
KN805897.1	94541	0.74	0.72	0.85	0.92	0.78	0.73	0.91	1.00
KN805916.1	99430	0.35	0.56	0.53	0.69	0.89	0.92	0.80	0.45
KN805935.1	156781	0.69	0.96	0.86	0.40	0.94	0.74	0.66	0.79
KN805935.1	156787	0.56	0.90	0.83	0.30	0.88	0.55	0.52	0.80
KN805935.1	156808	0.71	0.63	0.83	0.79	0.82	0.82	0.88	0.46
KN805940.1	197766	0.88	0.78	0.98	0.89	0.94	1.00	0.76	1.00
KN805940.1	197771	0.88	0.56	0.93	0.96	0.88	1.00	0.84	1.00
KN805941.1	270671	1.00	1.00	1.00	0.85	0.94	1.00	0.95	1.00
KN805947.1	115082	0.82	0.65	0.93	0.96	0.81	0.79	0.89	0.50
KN805947.1	115129	0.58	0.35	0.67	0.84	0.38	0.48	0.65	0.12
KN805955.1	53308	0.93	1.00	1.00	1.00	0.97	1.00	0.94	1.00
KN805955.1	53318	0.57	1.00	1.00	1.00	1.00	0.13	0.94	1.00
KN805965.1	139854	0.18	0.38	0.83	0.65	0.76	0.93	0.76	0.60
KN805965.1	139856	0.18	0.44	0.79	0.71	0.90	0.71	0.79	0.30
KN805965.1	139865	0.92	0.53	0.79	0.75	0.79	0.93	0.76	0.80
KN805965.1	139879	0.10	0.26	0.62	0.46	0.71	0.86	0.74	0.80
KN805973.1	49903	0.94	0.72	0.79	0.76	0.86	0.85	0.50	0.50
KN805992.1	108338	0.75	0.77	0.83	0.94	0.73	0.80	0.86	0.42
KN805993.1	2881610	0.91	0.90	0.94	0.97	0.94	0.89	0.95	0.70
KN805993.1	2881616	0.95	0.78	0.85	0.95	0.93	0.89	0.96	0.60
KN805993.1	2881621	0.86	0.85	1.00	0.92	0.90	0.89	0.88	0.60
KN805993.1	2881623	0.95	0.90	0.88	0.92	0.88	0.92	0.86	0.60
KN805993.1	2881655	0.64	0.80	0.74	0.84	0.87	0.75	0.71	0.60
KN805996.1	234384	0.96	0.98	0.82	0.75	0.98	0.81	0.89	0.82
KN806005.1	257988	0.40	0.26	0.35	0.29	0.19	0.17	0.42	0.29
KN806006.1	219378	0.40	1.00	0.98	0.99	0.98	1.00	0.93	1.00
KN806024.1	87782	0.87	0.85	0.84	1.00	0.91	0.80	0.82	1.00
KN806025.1	205277	0.77	0.76	0.74	0.83	0.75	0.64	0.61	0.83
KN806046.1	85300	0.39	0.76	0.79	0.80	0.68	0.39	0.86	0.77
KN806047.1	196398	1.00	1.00	1.00	1.00	0.43	1.00	0.62	1.00
KN806055.1	141947	0.89	0.76	0.68	0.72	0.77	0.74	0.70	0.59
KN806067.1	26400	0.24	0.91	0.61	0.77	0.82	0.20	0.29	1.00
KN806073.1	15147	0.46	0.65	0.64	0.66	0.34	0.62	0.53	0.94
KN806076.1	11029	1.00	0.94	1.00	0.92	0.62	1.00	0.97	1.00
KN806076.1	11036	1.00	1.00	1.00	0.31	0.60	1.00	0.97	0.98
KN806078.1	22365	0.99	1.00	0.97	0.13	0.44	1.00	1.00	1.00
KN806112.1	236727	0.38	0.43	0.63	0.21	0.79	0.50	0.64	0.31
KN806141.1	8295	1.00	1.00	0.99	0.58	0.65	1.00	1.00	1.00
KN806141.1	58599	0.58	0.64	0.33	0.65	0.33	0.70	0.74	1.00
KN806142.1	52808	1.00	0.95	1.00	0.76	1.00	1.00	1.00	1.00
KN806142.1	52812	1.00	0.81	1.00	1.00	0.86	1.00	1.00	1.00
KN806142.1	52828	0.97	0.98	1.00	1.00	0.85	1.00	1.00	1.00
KN806168.1	165001	0.22	0.47	0.24	0.21	0.20	0.10	0.24	0.17
KN806193.1	3588	0.89	0.80	0.83	0.54	0.96	0.64	0.49	0.10
KN806224.1	98970	0.70	0.43	0.21	0.33	0.25	0.59	0.39	0.27
KN806235.1	112703	1.00	0.95	0.98	0.52	1.00	0.95	0.90	0.93
KN806244.1	95807	0.46	0.65	0.62	0.68	0.60	0.83	0.63	0.78
KN806248.1	90378	0.53	0.29	0.30	0.50	0.39	0.42	0.52	0.32
KN806268.1	36584	0.83	0.90	0.91	0.35	0.92	1.00	0.68	1.00
KN806342.1	103565	0.64	0.92	0.75	1.00	0.65	0.95	0.82	0.60
KN806345.1	5590	0.71	1.00	0.98	0.67	0.76	1.00	1.00	1.00
KN806345.1	5592	0.71	0.70	1.00	0.80	0.86	1.00	1.00	1.00
KN806345.1	5598	1.00	1.00	1.00	0.93	1.00	1.00	0.57	1.00
KN806345.1	5600	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00
KN806345.1	5609	1.00	1.00	0.96	1.00	0.86	1.00	0.62	1.00
KN806369.1	91659	0.82	0.95	0.89	1.00	0.98	0.89	1.00	0.91
KN806401.1	50262	0.85	0.86	0.65	0.93	1.00	0.69	0.69	1.00
KN806412.1	2214	0.67	0.46	0.88	0.78	0.60	1.00	0.43	1.00
KN806432.1	45697	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.93
KN806432.1	45704	0.92	0.81	0.89	0.80	0.84	0.88	0.89	1.00
KN806433.1	34647	0.71	1.00	0.98	0.82	0.76	1.00	1.00	1.00
KN806433.1	34649	0.71	0.70	1.00	0.89	0.86	1.00	1.00	1.00
KN806433.1	34655	1.00	1.00	1.00	0.50	1.00	1.00	0.94	1.00
KN806433.1	34657	1.00	1.00	1.00	0.93	1.00	1.00	0.79	1.00
KN806433.1	34666	1.00	1.00	0.98	1.00	0.86	1.00	1.00	1.00
KN806446.1	150952	0.85	0.90	0.87	0.93	0.92	0.81	0.91	1.00
KN806446.1	150984	0.85	0.88	0.87	0.77	0.83	1.00	0.76	0.86
KN806446.1	150986	1.00	0.77	0.87	0.92	0.81	0.94	0.83	0.95
KN806446.1	150991	0.92	0.69	0.87	0.95	0.85	0.94	0.82	0.86
KN806446.1	150997	0.75	0.81	0.89	0.92	0.88	0.88	0.91	1.00
KN806493.1	102585	0.82	0.18	0.98	0.85	1.00	0.92	0.77	1.00
KN806517.1	77450	1.00	0.88	1.00	0.80	0.67	1.00	0.72	1.00
KN806520.1	59248	0.87	0.83	0.70	0.89	0.73	0.65	0.86	0.44
KN806534.1	44038	1.00	1.00	1.00	1.00	1.00	0.45	0.76	1.00
KN806534.1	44040	0.41	1.00	0.57	1.00	1.00	0.47	0.74	1.00
KN806538.1	990	0.16	0.13	0.23	0.33	0.18	0.56	0.39	0.27
KN806580.1	7953	1.00	0.95	0.98	0.60	1.00	0.95	0.91	1.00
KN806580.1	8282	0.95	0.97	0.90	0.44	0.90	1.00	0.80	1.00
KN806580.1	8315	0.67	0.93	0.90	0.89	0.81	0.40	0.89	0.50
KN806594.1	40465	0.77	0.24	0.64	0.86	1.00	0.24	0.53	1.00
KN806625.1	27102	0.42	0.37	0.53	0.89	0.81	0.81	0.42	0.17
KN806644.1	39222	0.72	0.84	0.65	0.77	0.67	0.93	0.72	0.43
KN806649.1	7414	0.29	0.48	0.45	0.88	0.47	0.45	0.38	0.50
KN806721.1	3784	1.00	0.17	0.97	0.46	0.97	1.00	0.81	1.00
KN806757.1	2368	0.67	0.93	0.93	0.77	0.82	0.47	0.86	0.91
KN806758.1	7299	0.42	0.63	0.29	0.40	0.52	0.31	0.22	0.57
KN806773.1	9156	0.94	0.97	0.75	0.93	0.96	1.00	0.87	1.00
KN806773.1	9163	0.69	1.00	0.75	0.96	0.85	0.54	0.74	0.93
KN806773.1	9167	0.81	0.97	0.88	0.85	0.87	0.69	0.81	0.87
KN806830.1	19572	0.82	0.19	0.98	0.85	1.00	0.92	0.77	1.00
KN806857.1	15425	0.98	0.21	0.56	0.93	0.80	0.80	0.93	0.28
KN806934.1	13499	0.65	0.62	0.97	1.00	0.68	0.79	0.65	0.58
KN806972.1	21552	0.95	0.84	0.96	0.83	0.85	0.23	0.89	0.80
KN806972.1	21558	0.65	0.68	0.98	0.86	0.92	0.23	0.84	1.00
KN806977.1	14300	0.50	0.50	0.78	0.47	0.49	0.67	0.80	1.00
KN806980.1	34739	0.82	0.78	0.85	0.88	0.85	0.41	0.77	0.73
KN806982.1	30783	0.76	0.85	0.73	1.00	0.79	0.87	0.90	0.64
KN807033.1	10827	0.46	0.47	0.66	0.78	0.71	0.23	0.75	0.55
KN807066.1	15165	0.83	0.59	0.96	0.50	0.77	1.00	0.99	0.30
KN807066.1	15196	0.30	0.80	0.86	0.62	0.86	1.00	0.88	0.33
KN807066.1	15209	0.25	0.78	0.91	0.57	0.86	1.00	0.95	0.42
KN807073.1	3565	0.51	0.59	0.96	0.51	0.79	1.00	0.99	0.13
KN807131.1	57195	0.71	0.27	0.82	0.87	1.00	0.92	0.80	1.00
KN807134.1	7702	0.89	0.91	0.63	0.86	0.62	0.12	0.78	0.38
KN807142.1	13023	0.73	0.54	0.68	0.68	0.71	0.90	0.55	0.97
KN807179.1	22455	0.71	1.00	0.98	0.82	0.76	1.00	1.00	1.00
KN807179.1	22457	0.71	0.35	1.00	0.89	0.86	1.00	1.00	1.00
KN807179.1	22463	1.00	1.00	1.00	0.50	1.00	1.00	0.57	1.00
KN807179.1	22465	1.00	1.00	1.00	0.93	1.00	1.00	1.00	1.00
KN807179.1	22474	1.00	1.00	0.96	1.00	0.86	1.00	0.62	1.00
KN807290.1	7512	0.67	0.93	0.60	0.90	0.89	0.91	0.75	0.49
KN807319.1	19088	0.56	0.16	0.19	0.67	0.33	0.58	0.38	0.89
KN807366.1	11579	0.40	0.89	0.93	0.63	0.72	0.77	0.70	0.94
KN807393.1	20293	0.82	0.18	0.98	0.85	1.00	0.92	0.77	1.00
KN807533.1	20068	0.31	0.64	0.36	0.39	0.26	0.29	0.14	1.00
KN807536.1	18749	0.47	0.59	0.63	0.66	0.61	0.83	0.65	0.78
KN807640.1	17151	0.40	0.26	0.35	0.29	0.19	0.17	0.43	0.33
KN807688.1	6863	1.00	1.00	0.90	0.98	0.68	1.00	0.72	1.00
KN807866.1	1307	0.20	0.24	0.76	0.80	0.84	0.80	0.92	0.80
KN807999.1	12746	0.86	0.95	0.77	0.70	0.89	0.78	0.91	0.93
KN807999.1	12752	0.89	0.97	0.84	0.97	1.00	0.89	0.94	0.93
KN808158.1	6118	0.28	0.28	0.32	0.80	0.62	0.70	0.47	0.19
KN808183.1	14	0.99	1.00	0.88	1.00	1.00	1.00	0.98	1.00
KN808183.1	31	1.00	0.85	0.94	0.83	0.74	0.83	0.97	1.00
KN808183.1	39	1.00	0.79	0.98	1.00	1.00	0.83	0.97	1.00
KN808183.1	55	1.00	0.79	0.99	0.95	0.95	1.00	0.99	1.00
KN808213.1	12319	0.50	0.90	0.97	0.47	0.91	1.00	0.51	0.36
KN808213.1	12332	0.54	0.86	0.91	0.53	0.92	1.00	0.81	0.27
KN808265.1	2512	0.89	0.64	0.33	0.65	0.33	0.70	0.74	1.00
KN808427.1	1310	0.87	0.76	0.90	0.82	0.83	0.93	0.74	0.91
KN808427.1	1317	0.72	0.60	0.78	0.84	0.72	0.62	0.62	0.61
KN808445.1	6462	1.00	0.94	0.96	0.96	0.90	1.00	1.00	1.00
KN808447.1	4092	1.00	0.85	1.00	0.35	0.88	0.71	1.00	0.36
KN808657.1	9377	0.68	0.62	0.44	0.87	0.44	0.62	0.86	1.00
KN808764.1	7649	0.17	0.68	0.88	0.94	0.60	0.43	0.64	0.80
KN808839.1	10116	0.60	0.60	0.72	0.91	0.72	0.61	0.86	0.78
KN809271.1	11607	0.75	0.29	0.90	0.42	0.81	0.89	0.83	0.18
KN809296.1	1647	0.59	0.61	0.97	0.70	0.79	0.58	0.68	0.47
KN809317.1	7554	0.23	0.65	0.70	0.93	0.74	0.47	0.72	0.80
KN809338.1	4728	0.47	0.81	0.68	0.92	0.89	0.83	0.86	0.79
KN809392.1	2702	0.40	0.26	0.35	0.30	0.19	0.17	0.43	0.33
KN809408.1	3752	0.57	0.89	0.64	0.83	0.67	0.27	0.27	1.00
KN809573.1	2912	0.42	0.64	0.47	0.78	0.70	0.93	0.56	0.75
KN809573.1	2942	0.85	0.88	0.98	0.84	0.91	0.73	0.62	0.84
KN809680.1	102	1.00	0.97	0.91	0.70	0.82	0.61	0.26	0.98
KN809941.1	1607	0.47	0.59	0.65	0.65	0.61	0.82	0.65	0.78
KN809974.1	1347	0.68	0.94	0.86	0.87	0.88	0.70	0.96	1.00
KN810306.1	2961	0.17	0.63	0.71	0.92	0.74	0.43	0.52	0.82
KN810521.1	2014	0.59	0.97	0.96	1.00	0.80	1.00	0.80	0.96
KN810521.1	2046	0.47	0.95	0.60	0.76	0.74	1.00	0.74	0.96
KN810521.1	2048	0.59	0.86	0.91	0.94	0.93	1.00	0.95	0.96
KN810521.1	2053	0.41	0.89	0.89	0.86	0.89	1.00	0.92	1.00
KN810521.1	2059	0.47	0.86	0.72	0.86	0.93	1.00	0.95	1.00
KN810658.1	3703	0.47	0.95	0.62	0.60	0.91	0.90	0.72	0.15
KN811195.1	664	0.89	0.12	0.39	0.42	0.15	0.36	0.28	0.89
KN811283.1	2222369	0.89	0.87	0.70	0.82	0.97	0.91	0.88	0.40
KN811284.1	1968313	0.98	0.89	0.40	0.88	0.85	0.82	0.95	0.64
KN811285.1	2478283	0.74	0.77	0.68	0.70	0.73	0.72	0.69	0.55
KN811285.1	2823493	0.78	0.74	0.74	0.92	0.81	0.24	0.75	0.77
KN811286.1	141796	1.00	0.36	0.36	0.74	0.85	0.77	0.90	0.85
KN811286.1	141812	1.00	0.58	0.45	0.70	0.95	0.77	0.93	0.80
KN811286.1	141841	1.00	0.74	0.89	0.62	0.91	0.77	0.93	0.71
KN811287.1	2511885	0.17	0.10	0.24	0.37	0.25	0.40	0.11	0.21
KN811288.1	1647808	0.22	1.00	0.88	0.42	0.81	1.00	0.89	0.36
KN811288.1	1647821	0.29	0.85	0.73	0.49	0.88	1.00	0.80	0.27
KN811288.1	1647852	0.84	0.98	0.86	0.31	0.78	1.00	0.99	0.30
KN811288.1	2215591	0.94	0.69	1.00	0.70	0.93	1.00	1.00	1.00
KN811288.1	2665749	0.31	0.31	0.31	0.24	0.55	0.46	0.33	0.27
KN811289.1	4296671	1.00	0.95	0.92	0.90	0.91	0.92	0.71	0.21
KN811289.1	4296677	0.69	0.94	0.56	0.68	0.82	0.74	0.51	0.86
KN811289.1	4296839	0.87	0.96	0.92	0.88	0.90	0.73	0.83	0.91
KN811289.1	4349250	0.85	1.00	0.69	0.70	0.77	1.00	0.97	1.00
KN811289.1	4349318	0.88	0.95	0.85	0.92	0.88	0.90	0.88	1.00
KN811289.1	4349338	0.88	0.92	0.91	1.00	0.82	0.81	0.84	1.00
KN811290.1	2385503	0.93	0.97	0.95	1.00	1.00	0.47	0.95	1.00
KN811290.1	2385509	0.85	0.94	1.00	0.91	0.98	0.47	0.67	1.00
KN811290.1	2385514	0.95	0.97	0.30	1.00	0.63	0.61	0.75	1.00
KN811290.1	2385516	0.27	0.13	0.90	0.97	0.98	0.34	0.90	0.98
KN811290.1	2385548	0.95	0.91	0.81	0.91	0.97	0.60	0.83	0.97
KN811290.1	2749312	0.83	0.82	0.94	0.98	0.95	1.00	0.96	0.96
KN811290.1	2749318	0.67	0.71	0.91	0.88	0.84	1.00	0.89	0.86
KN811290.1	2749323	0.83	0.82	0.85	0.95	0.94	0.96	0.87	0.96
KN811290.1	2749325	0.75	0.86	0.87	0.88	0.77	0.92	0.76	0.79
KN811290.1	2749357	0.62	0.75	0.83	0.90	0.85	0.84	0.78	0.88
KN811290.1	2749429	0.89	0.85	0.95	0.95	0.91	0.91	0.92	0.95
KN811292.1	208222	1.00	0.94	0.94	0.40	0.67	0.71	1.00	0.37
KN811292.1	1653879	0.11	0.16	0.19	0.35	0.29	0.19	0.17	0.12
KN811294.1	2931672	0.90	0.96	1.00	0.92	0.92	0.90	0.96	1.00
KN811294.1	2931677	0.90	0.98	0.86	0.84	0.96	0.45	0.94	0.74
KN811298.1	336338	0.47	0.65	0.65	0.69	0.63	0.83	0.63	0.78
KN811298.1	1212600	0.83	0.50	0.76	0.86	0.83	0.40	0.81	0.95
KN811298.1	1212632	0.79	0.76	0.90	0.92	0.80	0.42	0.93	0.98
KN811298.1	1212634	0.56	0.77	0.80	0.76	0.81	0.33	0.84	0.95
KN811299.1	2580814	0.20	0.77	0.78	0.60	0.64	0.97	0.97	1.00
