chr	start	end	mean_NO
328	KN805526.1	1502555	1502556	0
329	KN805526.1	1502587	1502588	0.00666666666666667
330	KN805526.1	1502613	1502614	0
331	KN805526.1	1502633	1502634	0
332	KN805526.1	1545294	1545295	0
333	KN805526.1	1576775	1576776	0.913333333333333
334	KN805526.1	1659304	1659305	0.0566666666666667
335	KN805526.1	1659322	1659323	0.1
336	KN805526.1	1739619	1739620	0.163333333333333
337	KN805526.1	1739645	1739646	0.05
338	KN805526.1	1739727	1739728	0
339	KN805526.1	1739773	1739774	0
340	KN805526.1	1739839	1739840	0
341	KN805526.1	1739908	1739909	0
342	KN805526.1	1739977	1739978	0
343	KN805526.1	1742549	1742550	0
344	KN805526.1	1900392	1900393	0.34
345	KN805526.1	1912056	1912057	0.0933333333333333
346	KN805526.1	1920297	1920298	0.293333333333333
347	KN805526.1	1920763	1920764	0.926666666666667
348	KN805526.1	2078138	2078139	0
349	KN805526.1	2078161	2078162	0.0666666666666667
350	KN805526.1	2078623	2078624	0
351	KN805526.1	2078656	2078657	0
352	KN805526.1	2079625	2079626	0
353	KN805526.1	2079646	2079647	0.0266666666666667
354	KN805526.1	2140141	2140142	0.893333333333333
355	KN805526.1	2155281	2155282	0
356	KN805526.1	2155310	2155311	0
357	KN805526.1	2155352	2155353	0.00333333333333333
358	KN805526.1	2198594	2198595	0.51
359	KN805526.1	2198637	2198638	0.61
360	KN805526.1	2409350	2409351	0
361	KN805526.1	2410507	2410508	0.0666666666666667
362	KN805526.1	2415134	2415135	0
363	KN805526.1	2441137	2441138	0
364	KN805526.1	2441163	2441164	0
365	KN805526.1	2470278	2470279	0.913333333333333
366	KN805526.1	2499188	2499189	0.00333333333333333
367	KN805526.1	2627260	2627261	0.333333333333333
368	KN805526.1	2676758	2676759	0
369	KN805526.1	2676819	2676820	0.0233333333333333
370	KN805526.1	2677247	2677248	0
371	KN805526.1	2677262	2677263	0
372	KN805526.1	2677279	2677280	0.0333333333333333
373	KN805526.1	2677332	2677333	0.133333333333333
374	KN805526.1	2677359	2677360	0
375	KN805526.1	2677389	2677390	0.00333333333333333
376	KN805526.1	2677406	2677407	0
377	KN805526.1	2680152	2680153	0.953333333333333
378	KN805526.1	2685271	2685272	0.0266666666666667
379	KN805526.1	2685300	2685301	0.346666666666667
380	KN805526.1	2712788	2712789	0.00333333333333333
381	KN805526.1	2736198	2736199	0.00666666666666667
382	KN805526.1	2736213	2736214	0
383	KN805526.1	2742569	2742570	0.133333333333333
384	KN805526.1	2742614	2742615	0
385	KN805526.1	2766080	2766081	0.00666666666666667
386	KN805526.1	2766212	2766213	0.146666666666667
387	KN805526.1	2766536	2766537	0
388	KN805526.1	2766726	2766727	0
389	KN805526.1	2766736	2766737	0
390	KN805526.1	2766753	2766754	0
391	KN805526.1	2766763	2766764	0
392	KN805526.1	2766774	2766775	0.00333333333333333
393	KN805526.1	2766860	2766861	0
394	KN805526.1	2766931	2766932	0
395	KN805526.1	2766975	2766976	0.00333333333333333
396	KN805526.1	2767033	2767034	0
397	KN805526.1	2767044	2767045	0.0233333333333333
398	KN805526.1	2767058	2767059	0
399	KN805526.1	2767076	2767077	0.106666666666667
400	KN805526.1	2767126	2767127	0
401	KN805526.1	2767904	2767905	0
402	KN805526.1	2827804	2827805	0.0233333333333333
403	KN805526.1	2922709	2922710	0
404	KN805526.1	2922892	2922893	0
405	KN805526.1	2931457	2931458	0.233333333333333
406	KN805526.1	3038526	3038527	0
407	KN805526.1	3038588	3038589	0
408	KN805526.1	3038632	3038633	0
409	KN805526.1	3038683	3038684	0
410	KN805526.1	3038723	3038724	0.00333333333333333
411	KN805526.1	3064669	3064670	1
412	KN805526.1	3065228	3065229	0.486666666666667
413	KN805526.1	3092783	3092784	0
414	KN805526.1	3092890	3092891	0
415	KN805526.1	3093028	3093029	0
416	KN805526.1	3093065	3093066	0
417	KN805526.1	3093126	3093127	0
418	KN805526.1	3093233	3093234	0.01
419	KN805526.1	3146262	3146263	0.233333333333333
420	KN805526.1	3146510	3146511	0.00333333333333333
421	KN805526.1	3166148	3166149	0.0133333333333333
422	KN805526.1	3177489	3177490	0.84
423	KN805526.1	3180913	3180914	0.25
424	KN805526.1	3180960	3180961	0.243333333333333
425	KN805526.1	3204330	3204331	0
426	KN805526.1	3206527	3206528	0.426666666666667
427	KN805526.1	3206582	3206583	0
428	KN805526.1	3206613	3206614	0.333333333333333
429	KN805526.1	3227325	3227326	0.00333333333333333
430	KN805526.1	3242711	3242712	0.96
431	KN805526.1	3266886	3266887	0.51
432	KN805526.1	3308485	3308486	0.35
433	KN805526.1	3308749	3308750	0.9
434	KN805526.1	3332851	3332852	0.0866666666666667
435	KN805526.1	3333578	3333579	0.993333333333333
436	KN805526.1	3393651	3393652	0.19
437	KN805526.1	3430324	3430325	0.84
438	KN805526.1	3430344	3430345	0.936666666666667
439	KN805526.1	3491644	3491645	0.723333333333333
440	KN805526.1	3525143	3525144	0.62
441	KN805526.1	3614369	3614370	0.966666666666667
442	KN805526.1	3641911	3641912	0.00333333333333333
443	KN805526.1	3666007	3666008	0.0233333333333333
444	KN805526.1	3667343	3667344	0.0933333333333333
445	KN805526.1	3690896	3690897	0.473333333333333
446	KN805526.1	3691131	3691132	0.45
447	KN805526.1	3697106	3697107	0.00333333333333333
448	KN805526.1	3697121	3697122	0
449	KN805526.1	3697144	3697145	0
450	KN805526.1	3697185	3697186	0
451	KN805526.1	3705158	3705159	1
452	KN805526.1	3705172	3705173	1
453	KN805526.1	3705206	3705207	0.756666666666667
454	KN805526.1	3705212	3705213	0.463333333333333
455	KN805526.1	3742084	3742085	0.943333333333333
456	KN805526.1	3807822	3807823	0
457	KN805526.1	3807846	3807847	0
458	KN805526.1	3807893	3807894	0
459	KN805526.1	3807935	3807936	0
460	KN805526.1	3808018	3808019	0
461	KN805526.1	3808037	3808038	0.243333333333333
462	KN805526.1	3808076	3808077	0.00333333333333333
463	KN805526.1	3808199	3808200	0
464	KN805526.1	3809513	3809514	0
465	KN805526.1	3844410	3844411	0.33
466	KN805526.1	3951473	3951474	0.86
467	KN805526.1	3991369	3991370	0.01
468	KN805526.1	4004679	4004680	0.99
469	KN805526.1	4047540	4047541	0.763333333333333
470	KN805526.1	4078418	4078419	0.926666666666667
471	KN805526.1	4104034	4104035	0.00333333333333333
472	KN805526.1	4104172	4104173	0
473	KN805526.1	4104218	4104219	0
474	KN805526.1	4104328	4104329	0
475	KN805526.1	4104336	4104337	0
476	KN805526.1	4104343	4104344	0
477	KN805526.1	4131347	4131348	0.45
478	KN805526.1	4174349	4174350	0.83
479	KN805526.1	4175475	4175476	0.516666666666667
480	KN805526.1	4262875	4262876	0.0866666666666667
481	KN805526.1	4264868	4264869	0.973333333333333
482	KN805526.1	4296482	4296483	0.89
483	KN805526.1	4356649	4356650	0.00666666666666667
484	KN805526.1	4360531	4360532	0.14
485	KN805526.1	4360574	4360575	0.11
486	KN805526.1	4477719	4477720	0.75
487	KN805526.1	4477731	4477732	0.51
488	KN805526.1	4477870	4477871	0.71
489	KN805526.1	4555129	4555130	0.546666666666667
490	KN805526.1	4555163	4555164	0.88
491	KN805526.1	4562386	4562387	0.93
492	KN805526.1	4609572	4609573	0.776666666666667
493	KN805526.1	4611992	4611993	0
494	KN805526.1	4680056	4680057	0.946666666666667
495	KN805526.1	4810831	4810832	0.87
496	KN805526.1	4846760	4846761	0.71
497	KN805526.1	4902476	4902477	0.72
498	KN805526.1	4920912	4920913	0.593333333333333
499	KN805526.1	4949656	4949657	0
500	KN805526.1	4955787	4955788	0.166666666666667
501	KN805526.1	4997113	4997114	0.00333333333333333
502	KN805526.1	4997158	4997159	0
503	KN805526.1	5049672	5049673	0.143333333333333
504	KN805526.1	5049682	5049683	0.3
505	KN805526.1	5049697	5049698	0.443333333333333
506	KN805526.1	5049751	5049752	0.143333333333333
507	KN805526.1	5063658	5063659	0.636666666666667
508	KN805526.1	5083868	5083869	0.143333333333333
509	KN805526.1	5161469	5161470	0.24
510	KN805526.1	5161484	5161485	0.0333333333333333
511	KN805526.1	5161508	5161509	0.413333333333333
512	KN805526.1	5161528	5161529	0
513	KN805526.1	5161551	5161552	0.00333333333333333
514	KN805526.1	5161570	5161571	0
515	KN805526.1	5161659	5161660	0
516	KN805526.1	5161686	5161687	0
517	KN805526.1	5161697	5161698	0
518	KN805526.1	5224680	5224681	0.376666666666667
519	KN805526.1	5224712	5224713	0.383333333333333
520	KN805526.1	5310112	5310113	0.796666666666667
521	KN805526.1	5436589	5436590	0
522	KN805526.1	5436709	5436710	0
523	KN805526.1	5436752	5436753	0.00666666666666667
524	KN805526.1	5615707	5615708	0.313333333333333
525	KN805526.1	5678380	5678381	0.333333333333333
526	KN805526.1	5678398	5678399	0
527	KN805526.1	5678403	5678404	0
528	KN805526.1	5682269	5682270	0
529	KN805526.1	5682505	5682506	0.0533333333333333
530	KN805526.1	5682736	5682737	0
531	KN805526.1	5719874	5719875	0
532	KN805526.1	5719906	5719907	0
533	KN805526.1	5754342	5754343	0.156666666666667
534	KN805526.1	5754442	5754443	0.0466666666666667
535	KN805526.1	5801401	5801402	0.00333333333333333
536	KN805526.1	5801444	5801445	0
537	KN805526.1	5801527	5801528	0
538	KN805526.1	5801564	5801565	0
539	KN805526.1	5804368	5804369	0.00666666666666667
540	KN805526.1	5804409	5804410	0
541	KN805526.1	5804508	5804509	0
542	KN805526.1	5865993	5865994	0.3
543	KN805526.1	5866572	5866573	0.846666666666667
544	KN805526.1	5942319	5942320	0
545	KN805526.1	5942352	5942353	0.0466666666666667
546	KN805526.1	5942439	5942440	0
547	KN805526.1	5946006	5946007	0
548	KN805526.1	5974235	5974236	0.82
549	KN805526.1	5979567	5979568	0
550	KN805526.1	5979596	5979597	0
551	KN805526.1	5979638	5979639	0
552	KN805526.1	5979658	5979659	0
553	KN805526.1	6017338	6017339	0.41
554	KN805526.1	6140375	6140376	0.226666666666667
555	KN805526.1	6156112	6156113	0.973333333333333
556	KN811310.1	17192	17193	0
557	KN811310.1	40062	40063	0
558	KN811310.1	40088	40089	0
559	KN811310.1	41783	41784	0
560	KN811310.1	41960	41961	0
561	KN811310.1	41986	41987	0
562	KN811310.1	69156	69157	0.843333333333333
563	KN811310.1	151125	151126	0
564	KN811310.1	151190	151191	0.04
565	KN811310.1	158102	158103	0.0666666666666667
566	KN811310.1	158790	158791	0
567	KN811310.1	158867	158868	0
568	KN811310.1	158913	158914	0
569	KN811310.1	158966	158967	0
570	KN811310.1	212321	212322	0
571	KN811310.1	224769	224770	0.08
572	KN811310.1	224918	224919	0
573	KN811310.1	234633	234634	0
574	KN811310.1	263965	263966	0
575	KN811310.1	264027	264028	0.00333333333333333
576	KN811310.1	264200	264201	0.04
577	KN811310.1	264540	264541	0.0133333333333333
578	KN811310.1	295736	295737	0.333333333333333
579	KN811310.1	295810	295811	0
580	KN811310.1	295838	295839	0.0866666666666667
581	KN811310.1	301669	301670	0
582	KN811310.1	301865	301866	0
583	KN811310.1	301901	301902	0
584	KN811310.1	321672	321673	0
585	KN811310.1	321691	321692	0
586	KN811310.1	321709	321710	0
587	KN811310.1	321729	321730	0
588	KN811310.1	364313	364314	0.153333333333333
589	KN811310.1	392482	392483	0.91
590	KN811310.1	406053	406054	0
591	KN811310.1	406247	406248	0
592	KN811310.1	408167	408168	0
593	KN811310.1	671550	671551	0.163333333333333
594	KN811310.1	696924	696925	0
595	KN811310.1	696987	696988	0.0566666666666667
596	KN811310.1	697119	697120	0
597	KN811310.1	697134	697135	0
598	KN811310.1	830350	830351	0.07
599	KN811310.1	830495	830496	0
600	KN811310.1	843712	843713	0
601	KN811310.1	843766	843767	0
602	KN811310.1	845696	845697	0
603	KN811310.1	845742	845743	0
604	KN811310.1	868152	868153	0.52
605	KN811310.1	880282	880283	0
606	KN811310.1	880333	880334	0
607	KN811310.1	890131	890132	0.00666666666666667
608	KN811310.1	890152	890153	0.00333333333333333
609	KN811310.1	890233	890234	0.00333333333333333
610	KN811310.1	890280	890281	0.00666666666666667
611	KN811310.1	898713	898714	0
612	KN811310.1	962213	962214	0.05
613	KN811310.1	1048296	1048297	0
614	KN811310.1	1048377	1048378	0
615	KN811310.1	1071408	1071409	0.773333333333333
616	KN811310.1	1071422	1071423	1
617	KN811310.1	1092211	1092212	0
618	KN811310.1	1092273	1092274	0.00333333333333333
619	KN811310.1	1092314	1092315	0
620	KN811310.1	1092369	1092370	0
621	KN811310.1	1092452	1092453	0.03
622	KN811310.1	1092462	1092463	0
623	KN811310.1	1099630	1099631	0.16
624	KN811310.1	1099671	1099672	0.343333333333333
625	KN811310.1	1119206	1119207	0.556666666666667
626	KN811310.1	1125290	1125291	0
627	KN811310.1	1125396	1125397	0
628	KN811310.1	1125426	1125427	0
629	KN811310.1	1125558	1125559	0
630	KN811310.1	1125597	1125598	0
631	KN811310.1	1125979	1125980	0.0166666666666667
632	KN811310.1	1126153	1126154	0
633	KN811310.1	1135155	1135156	0
634	KN811310.1	1135426	1135427	0.333333333333333
635	KN811310.1	1152751	1152752	0
636	KN811310.1	1152756	1152757	0
637	KN811310.1	1152763	1152764	0
638	KN811310.1	1152771	1152772	0.0566666666666667
639	KN811310.1	1152782	1152783	0
640	KN811310.1	1155255	1155256	0
641	KN811310.1	1192915	1192916	0.0233333333333333
642	KN811310.1	1340640	1340641	0.343333333333333
643	KN811310.1	1368793	1368794	0.0166666666666667
644	KN811310.1	1373710	1373711	0
645	KN811310.1	1373717	1373718	0
646	KN811310.1	1373727	1373728	0
647	KN811310.1	1373865	1373866	0
648	KN811310.1	1373889	1373890	0
649	KN811310.1	1373901	1373902	0
650	KN811310.1	1373913	1373914	0
651	KN811310.1	1373924	1373925	0
652	KN811310.1	1373956	1373957	0
653	KN811310.1	1373980	1373981	0
654	KN811310.1	1374188	1374189	0
655	KN811310.1	1374234	1374235	0
656	KN811310.1	1377811	1377812	0.01
657	KN811310.1	1388813	1388814	0.79
658	KN811310.1	1397779	1397780	0.05
659	KN811310.1	1429434	1429435	0.226666666666667
660	KN811310.1	1429526	1429527	0.366666666666667
661	KN811310.1	1429734	1429735	0
662	KN811310.1	1429752	1429753	0
