chr	pos	N_5-N1	N_5-N2	N_5-N3	S_5-S3	S_5-S4	S_5-S2	S_5-S1
JXMV01067159.1	150	0.98	0.71	0.69	0.93	0.96	0.91	1.00
JXMV01067159.1	184	0.76	0.67	0.39	0.52	0.67	0.49	0.80
JXMV01067203.1	1121	1.00	1.00	0.37	1.00	0.98	0.95	1.00
JXMV01067203.1	1130	0.53	1.00	0.80	1.00	1.00	1.00	1.00
JXMV01067222.1	927	0.75	0.97	0.40	0.45	0.76	0.76	1.00
JXMV01067302.1	303	0.82	0.65	0.87	0.63	0.96	0.95	1.00
JXMV01067302.1	316	0.90	0.54	0.75	1.00	0.99	0.86	1.00
JXMV01067302.1	322	1.00	1.00	1.00	0.96	1.00	0.95	1.00
JXMV01067302.1	348	0.90	0.81	0.96	0.96	0.99	0.95	1.00
JXMV01067383.1	150	0.74	0.98	0.83	0.85	0.97	0.97	0.88
KN805525.1	150789	0.60	1.00	1.00	1.00	1.00	1.00	1.00
KN805525.1	361504	0.74	0.80	0.91	0.93	0.80	0.90	0.86
KN805525.1	448828	0.69	0.72	0.57	0.38	0.88	0.52	0.52
KN805525.1	448844	0.74	0.90	1.00	0.46	0.93	0.45	0.48
KN805525.1	448873	0.69	0.81	0.98	0.50	0.66	0.57	1.00
KN805525.1	642014	0.67	0.75	0.94	0.60	0.65	0.78	1.00
KN805525.1	1779584	0.35	0.37	1.00	1.00	1.00	0.56	1.00
KN805525.1	1780025	0.34	1.00	1.00	1.00	1.00	1.00	1.00
KN805525.1	1780040	0.35	0.64	1.00	0.20	0.83	1.00	1.00
KN805525.1	2028789	1.00	0.93	1.00	0.34	1.00	1.00	1.00
KN805525.1	2028808	0.88	0.83	0.97	1.00	0.91	0.70	1.00
KN805525.1	2028811	1.00	0.80	1.00	0.93	0.95	0.98	1.00
KN805525.1	2028813	1.00	0.67	0.89	1.00	0.77	0.98	1.00
KN805525.1	2028819	1.00	0.90	0.89	1.00	1.00	0.94	1.00
KN805525.1	2028821	0.68	0.63	1.00	0.97	0.41	0.87	1.00
KN805525.1	2028830	1.00	0.90	1.00	0.95	0.90	0.98	1.00
KN805525.1	2931560	0.96	0.89	0.93	0.92	0.64	0.80	1.00
KN805525.1	2931562	0.88	0.96	0.76	0.78	0.72	0.80	0.21
KN805525.1	2931594	0.67	0.89	0.87	0.77	0.62	0.80	0.18
KN805525.1	2931607	0.40	0.10	0.33	0.12	0.25	0.33	0.38
KN805525.1	3135370	0.87	0.91	0.90	0.96	0.91	0.95	0.91
KN805525.1	3135375	0.96	1.00	0.85	0.83	0.69	0.86	0.90
KN805525.1	3135381	1.00	0.93	0.89	0.95	0.83	0.91	0.94
KN805525.1	4741813	0.67	0.85	0.96	0.61	0.79	0.84	1.00
KN805525.1	4741841	0.78	0.62	0.78	0.29	0.53	0.64	1.00
KN805525.1	4879726	1.00	0.93	1.00	0.34	1.00	1.00	1.00
KN805525.1	4879745	1.00	0.83	0.97	1.00	0.91	0.70	1.00
KN805525.1	4879748	1.00	0.80	1.00	0.93	0.95	0.98	1.00
KN805525.1	4879750	1.00	0.67	0.89	1.00	0.77	0.98	1.00
KN805525.1	4879756	1.00	0.90	0.89	1.00	1.00	0.94	1.00
KN805525.1	4879758	0.27	0.63	1.00	0.97	0.41	0.87	1.00
KN805525.1	4879767	1.00	0.90	1.00	0.95	0.90	0.98	1.00
KN805525.1	5227713	0.90	0.66	0.96	0.96	0.99	0.98	1.00
KN805525.1	5227726	0.90	0.53	0.72	1.00	0.99	0.88	1.00
KN805525.1	5227732	1.00	0.99	1.00	0.96	1.00	0.98	1.00
KN805525.1	5227758	0.90	0.82	1.00	0.96	1.00	0.98	1.00
KN805526.1	1759008	0.44	0.60	0.86	0.72	0.93	0.67	0.58
KN805526.1	2470575	1.00	0.93	1.00	0.34	1.00	1.00	1.00
KN805526.1	2470594	0.88	0.83	0.97	1.00	0.91	0.70	1.00
KN805526.1	2470597	1.00	0.80	1.00	0.93	0.95	0.98	1.00
KN805526.1	2470599	1.00	0.67	0.90	1.00	0.77	0.98	1.00
KN805526.1	2470605	1.00	0.90	0.90	1.00	1.00	0.94	1.00
KN805526.1	2470607	0.68	0.63	1.00	0.97	0.41	0.87	1.00
KN805526.1	2470616	1.00	0.90	1.00	0.95	0.90	0.98	1.00
KN805526.1	3180914	0.91	0.71	0.86	1.00	0.76	0.18	1.00
KN805526.1	3180935	0.87	0.55	1.00	0.97	0.89	0.69	1.00
KN805526.1	3180938	0.87	0.70	0.93	1.00	0.83	0.69	1.00
KN805526.1	3180945	0.86	0.61	0.95	0.97	1.00	0.69	1.00
KN805526.1	3180961	0.67	0.56	0.64	0.84	0.82	0.52	1.00
KN805526.1	3429864	1.00	1.00	1.00	0.98	1.00	0.94	1.00
KN805526.1	3429867	1.00	0.95	1.00	0.87	0.97	1.00	0.97
KN805526.1	3429878	0.96	0.95	1.00	1.00	1.00	1.00	1.00
KN805526.1	3429898	0.99	0.93	1.00	0.93	1.00	1.00	1.00
KN805526.1	3429902	0.69	0.95	0.87	0.96	0.99	1.00	1.00
KN805526.1	3430227	0.99	0.98	0.99	0.32	0.61	0.68	0.82
KN805526.1	3951454	1.00	0.94	0.95	1.00	0.89	1.00	1.00
KN805526.1	3951474	0.90	0.88	0.95	1.00	0.90	1.00	1.00
KN805526.1	4822036	0.81	0.71	1.00	1.00	0.94	0.13	0.22
KN805526.1	5866064	0.98	0.97	0.67	1.00	0.98	0.98	0.99
KN805526.1	5866086	1.00	1.00	1.00	1.00	0.65	1.00	1.00
KN805526.1	5866531	0.84	0.78	0.94	0.76	0.80	0.97	0.86
KN805526.1	5866538	0.94	0.96	1.00	0.80	0.78	1.00	0.93
KN805526.1	5866574	0.97	0.95	1.00	0.85	1.00	0.98	0.93
KN805526.1	5866580	0.91	0.87	0.97	0.97	0.98	1.00	0.97
KN805526.1	5866588	0.94	1.00	0.95	0.83	0.94	0.95	0.94
KN805526.1	5974150	0.75	0.58	0.64	0.75	0.85	0.75	0.58
KN805526.1	5974178	0.50	0.73	0.65	0.67	0.66	0.50	0.83
KN805526.1	5974202	0.65	0.76	0.62	0.47	0.75	0.56	0.54
KN805526.1	5974214	0.83	0.85	0.78	0.56	0.91	0.74	0.83
KN805526.1	5974220	0.88	0.89	0.76	0.75	0.91	0.89	0.95
KN805526.1	5974228	0.85	0.86	0.76	0.62	0.82	0.78	0.79
KN805527.1	2699399	1.00	0.91	0.92	1.00	0.81	0.90	1.00
KN805527.1	2699420	0.82	0.48	0.73	0.93	0.75	0.92	0.74
KN805527.1	2699426	0.79	0.62	0.97	1.00	0.98	0.92	0.95
KN805527.1	2699551	0.95	0.98	0.88	0.85	0.98	0.85	0.46
KN805527.1	2699583	0.97	0.90	0.92	0.90	0.96	0.64	0.69
KN805527.1	2699585	0.95	0.98	0.88	0.95	0.98	0.83	0.85
KN805527.1	2699590	0.95	0.96	0.93	0.80	0.93	0.82	0.85
KN805527.1	2699596	1.00	0.98	0.97	0.83	0.98	0.91	0.92
KN805528.1	1107973	0.98	0.84	0.88	0.86	0.87	0.90	0.91
KN805528.1	1107994	0.90	0.80	0.82	0.78	0.69	0.75	0.71
KN805528.1	1108000	0.88	0.94	0.95	0.95	0.95	0.81	1.00
KN805528.1	1108008	0.79	0.79	0.76	0.63	0.73	0.94	1.00
KN805528.1	1134141	0.89	0.26	0.45	0.36	0.55	0.46	1.00
KN805529.1	227288	0.55	0.29	0.82	1.00	0.88	1.00	1.00
KN805530.1	453250	0.77	0.69	0.73	0.82	0.61	0.95	0.92
KN805531.1	91890	0.67	0.75	0.88	0.58	0.77	0.78	1.00
KN805533.1	151121	1.00	1.00	0.89	1.00	0.80	0.94	1.00
KN805533.1	151133	1.00	1.00	0.87	1.00	1.00	0.60	1.00
KN805534.1	731527	0.94	0.95	0.64	1.00	1.00	0.61	1.00
KN805535.1	414192	0.73	0.89	0.91	0.79	0.88	0.95	0.30
KN805535.1	480373	0.68	0.80	0.75	0.15	0.67	0.65	0.63
KN805535.1	480843	1.00	0.83	0.88	0.90	0.90	1.00	0.80
KN805535.1	480849	1.00	1.00	0.81	1.00	0.95	0.93	1.00
KN805535.1	722279	1.00	0.88	0.77	0.97	0.84	1.00	1.00
KN805535.1	722281	0.95	0.96	0.77	0.69	0.88	0.22	1.00
KN805535.1	722290	0.91	0.89	0.69	1.00	0.98	1.00	1.00
KN805535.1	722299	0.96	0.54	0.92	1.00	1.00	0.93	1.00
KN805541.1	149802	0.63	0.55	0.90	0.89	0.80	0.88	1.00
KN805541.1	492721	0.53	0.68	0.16	0.45	0.87	0.70	0.50
KN805541.1	649966	1.00	0.81	0.91	0.88	0.66	0.79	1.00
KN805541.1	649983	0.74	0.78	0.84	0.72	0.69	0.75	1.00
KN805543.1	51802	0.89	0.80	0.91	1.00	0.97	0.97	1.00
KN805543.1	395925	0.46	0.97	0.76	0.60	0.93	0.87	0.26
KN805545.1	129085	0.72	0.59	0.52	0.67	0.80	0.54	0.35
KN805545.1	850727	0.97	0.90	0.92	1.00	0.90	1.00	0.73
KN805545.1	850735	0.95	0.94	0.85	0.90	0.93	0.87	0.91
KN805549.1	381279	0.91	0.87	0.92	0.93	0.95	0.98	1.00
KN805549.1	381286	0.68	0.72	0.84	0.75	0.81	0.77	0.73
KN805550.1	666462	0.94	1.00	0.80	0.55	0.77	0.89	0.62
KN805550.1	666467	0.94	0.85	1.00	0.55	0.97	0.86	1.00
KN805550.1	695522	0.68	0.75	0.96	0.58	0.62	0.78	1.00
KN805551.1	300523	0.17	0.43	0.95	0.79	0.91	1.00	0.95
KN805551.1	471185	0.95	0.94	0.58	0.71	0.95	0.70	0.91
KN805551.1	471187	0.92	1.00	0.75	0.93	0.98	1.00	0.91
KN805551.1	471196	0.90	0.88	0.67	0.87	0.95	1.00	1.00
KN805551.1	524662	1.00	0.98	0.46	0.97	1.00	0.14	0.93
KN805551.1	524695	0.91	0.55	0.85	0.99	1.00	0.24	1.00
KN805551.1	524703	0.60	0.54	0.69	0.96	0.90	0.14	1.00
KN805551.1	524707	0.73	0.54	0.77	0.96	0.94	0.14	1.00
KN805551.1	757479	0.40	0.82	0.27	0.61	0.87	0.88	0.60
KN805553.1	203892	0.88	0.82	0.63	0.80	0.96	0.71	1.00
KN805553.1	282208	0.66	0.78	0.56	0.42	0.88	0.52	0.48
KN805553.1	282224	0.75	0.92	1.00	0.50	0.93	0.45	0.43
KN805553.1	282253	0.68	0.85	0.98	0.46	0.67	0.57	1.00
KN805554.1	210480	0.55	0.90	0.58	0.92	0.77	0.57	0.50
KN805555.1	91089	0.67	0.75	0.94	0.60	0.63	0.78	1.00
KN805555.1	264763	0.92	0.62	0.96	0.75	0.54	0.93	1.00
KN805557.1	113599	0.51	0.57	0.53	0.70	0.79	0.64	0.68
KN805558.1	463975	1.00	0.77	1.00	1.00	1.00	1.00	1.00
KN805558.1	463991	1.00	0.77	0.73	1.00	1.00	1.00	1.00
KN805559.1	23330	0.47	0.85	0.45	0.65	0.93	1.00	1.00
KN805559.1	23332	1.00	0.79	0.16	0.82	1.00	1.00	1.00
KN805559.1	23338	1.00	0.78	0.51	0.82	0.79	1.00	1.00
KN805559.1	23340	1.00	0.88	0.97	1.00	0.93	1.00	1.00
KN805559.1	23343	1.00	0.56	1.00	0.94	0.50	0.46	1.00
KN805559.1	23362	1.00	0.88	0.20	0.71	1.00	1.00	0.92
KN805559.1	99769	0.69	0.78	0.57	0.38	0.88	0.52	0.52
KN805559.1	99785	0.74	0.92	1.00	0.46	0.93	0.45	0.48
KN805559.1	99814	0.69	0.85	0.98	0.50	0.66	0.57	1.00
KN805559.1	264142	0.63	0.32	0.64	0.26	0.91	0.90	1.00
KN805561.1	393127	0.67	0.75	0.94	0.60	0.63	0.78	1.00
KN805561.1	704595	0.22	0.67	0.84	0.57	0.85	0.44	0.68
KN805562.1	5134	0.80	0.95	0.87	0.81	0.96	0.81	1.00
KN805562.1	5140	0.67	0.88	0.87	0.89	1.00	0.91	1.00
KN805562.1	5159	0.75	0.97	0.80	0.78	0.87	1.00	1.00
KN805562.1	5173	0.60	0.73	0.73	0.79	0.70	0.81	1.00
KN805562.1	333475	1.00	1.00	0.99	1.00	0.80	0.92	1.00
KN805563.1	583999	0.97	0.68	0.97	0.12	1.00	1.00	0.94
KN805563.1	584002	1.00	0.69	1.00	0.12	0.28	1.00	0.92
KN805567.1	524115	1.00	1.00	1.00	1.00	1.00	0.49	1.00
KN805567.1	524122	1.00	1.00	1.00	1.00	1.00	0.49	1.00
KN805567.1	524132	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805567.1	524140	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805567.1	646790	0.97	0.85	0.86	0.79	0.54	1.00	0.92
KN805569.1	286525	0.76	0.45	0.77	0.64	0.38	0.43	0.71
KN805569.1	566955	0.68	0.72	0.60	0.71	0.84	0.58	0.78
KN805570.1	303161	0.61	1.00	0.83	0.88	0.91	0.79	1.00
KN805571.1	42158	0.96	0.44	0.59	0.78	0.85	0.60	1.00
KN805571.1	258378	1.00	0.49	0.31	1.00	0.18	0.88	1.00
KN805571.1	258399	0.79	0.53	0.96	1.00	0.27	1.00	1.00
KN805571.1	258407	0.41	0.93	0.38	0.85	0.27	1.00	1.00
KN805571.1	449145	0.86	0.90	0.95	0.79	0.97	1.00	1.00
KN805571.1	449174	0.91	0.81	1.00	0.71	0.99	1.00	1.00
KN805573.1	733742	1.00	0.95	0.84	0.82	0.94	0.90	0.88
KN805573.1	733747	0.94	0.95	0.89	0.71	1.00	0.80	1.00
KN805573.1	733749	0.83	0.89	0.74	0.71	0.88	0.80	0.74
KN805573.1	733781	0.90	0.95	0.74	0.68	0.75	0.91	0.90
KN805573.1	733907	0.92	0.94	0.93	1.00	0.97	0.75	0.85
KN805573.1	733913	0.75	0.94	0.73	0.27	0.43	0.83	0.85
KN805575.1	138658	0.84	0.50	0.88	0.76	0.90	0.92	0.86
KN805575.1	138665	0.94	0.97	1.00	0.80	0.86	1.00	0.93
KN805575.1	138689	0.86	0.75	0.88	0.89	0.87	0.92	0.86
KN805575.1	138701	0.97	0.96	1.00	0.88	1.00	1.00	0.93
KN805575.1	138707	0.91	0.87	0.94	0.97	0.97	1.00	0.97
KN805575.1	138715	0.94	1.00	0.88	0.87	0.89	0.85	0.93
KN805575.1	138732	0.89	0.79	0.96	0.95	0.87	0.97	0.87
KN805575.1	138752	0.92	0.74	0.78	0.91	0.89	0.87	0.87
KN805575.1	138803	0.41	0.37	0.43	0.13	0.71	0.79	0.57
KN805575.1	138825	0.92	0.93	0.87	0.60	0.98	1.00	0.83
KN805575.1	138838	0.92	1.00	0.91	0.98	0.98	0.97	0.91
KN805575.1	138841	0.96	0.93	0.91	0.60	0.95	1.00	0.91
KN805575.1	138920	0.97	0.95	0.93	0.95	0.98	0.93	1.00
KN805577.1	426807	0.73	0.79	0.75	0.80	0.93	0.45	0.98
KN805577.1	482981	0.56	0.90	0.93	1.00	0.87	0.93	1.00
KN805577.1	483001	0.24	0.92	0.86	0.94	0.90	0.93	0.95
KN805578.1	40339	1.00	1.00	1.00	1.00	1.00	1.00	0.33
KN805578.1	675356	1.00	0.99	0.98	0.99	0.98	0.98	1.00
KN805579.1	76117	0.37	0.60	0.26	0.96	0.72	0.89	0.98
KN805579.1	497246	1.00	0.94	0.76	0.97	1.00	1.00	1.00
KN805579.1	497250	1.00	0.26	0.99	1.00	1.00	1.00	1.00
KN805579.1	497270	0.99	0.94	1.00	1.00	0.99	1.00	1.00
KN805579.1	497281	0.44	1.00	1.00	1.00	1.00	1.00	1.00
KN805579.1	497284	0.98	1.00	1.00	1.00	0.97	1.00	0.64
KN805579.1	497813	0.76	0.96	0.10	1.00	0.89	0.69	1.00
KN805580.1	37644	0.61	0.97	0.61	0.72	0.80	0.94	0.80
KN805580.1	37676	0.88	0.71	0.76	0.81	0.84	0.82	0.83
KN805580.1	37678	0.83	0.93	0.94	0.74	0.94	0.82	1.00
KN805580.1	37683	0.96	0.93	0.88	0.85	0.91	0.82	0.93
KN805580.1	209549	0.95	0.96	1.00	1.00	0.94	0.92	0.95
KN805581.1	100642	0.27	0.14	0.17	0.36	0.32	0.22	0.21
KN805581.1	231395	1.00	1.00	0.83	1.00	1.00	0.50	1.00
KN805581.1	231407	1.00	1.00	0.84	1.00	0.76	0.93	1.00
KN805581.1	414389	0.68	0.97	0.92	0.59	0.73	0.90	0.50
KN805583.1	710702	0.95	1.00	1.00	0.89	0.96	1.00	1.00
KN805584.1	509445	0.73	0.61	0.61	0.61	0.69	0.73	0.65
KN805584.1	509456	0.95	0.93	0.95	0.91	0.96	0.91	1.00
KN805584.1	509492	0.75	0.60	0.57	0.63	0.68	0.81	0.69
KN805584.1	509503	0.93	0.94	0.97	0.93	0.97	0.92	1.00
KN805584.1	509550	0.83	0.85	0.41	0.86	1.00	1.00	1.00
KN805584.1	509586	0.84	0.60	0.59	0.60	0.67	0.76	0.73
KN805584.1	509597	0.95	0.94	0.94	0.92	0.98	0.90	1.00
KN805584.1	509627	0.84	0.84	0.35	0.65	0.54	0.57	0.98
KN805584.1	785497	0.52	0.68	0.16	0.44	0.87	0.67	0.50
KN805585.1	38362	0.81	0.89	0.91	0.93	0.86	0.89	1.00
KN805585.1	38370	0.71	0.89	0.93	0.93	0.80	0.85	1.00
KN805585.1	676133	0.27	0.54	0.15	0.24	0.61	0.49	0.32
KN805586.1	709129	0.85	0.73	0.84	0.92	0.98	0.92	0.68
KN805586.1	709181	0.86	0.60	0.26	0.74	0.90	0.18	0.97
KN805586.1	709193	0.94	0.61	0.93	1.00	0.93	0.96	0.97
KN805586.1	709200	0.77	0.70	0.60	0.71	0.67	0.65	0.93
KN805586.1	709208	0.51	0.54	0.45	0.36	0.47	0.49	0.42
KN805586.1	709332	1.00	0.98	1.00	0.94	0.59	1.00	0.93
KN805586.1	709335	0.98	0.93	1.00	1.00	0.93	0.96	0.80
KN805587.1	489036	0.70	0.94	1.00	0.64	0.99	1.00	0.96
KN805587.1	489065	0.85	0.97	0.99	0.75	1.00	1.00	1.00
KN805587.1	650773	0.74	0.37	0.91	0.97	0.85	0.96	0.98
KN805589.1	543856	0.96	0.90	0.93	0.92	0.67	0.80	1.00
KN805589.1	543858	0.88	0.97	0.76	0.78	0.74	0.80	0.21
KN805589.1	543890	0.67	0.90	0.87	0.77	0.65	0.80	0.18
KN805591.1	143744	0.82	0.33	0.87	0.50	0.72	0.20	0.14
KN805596.1	141203	0.97	0.58	0.30	0.10	0.22	0.26	0.25
KN805596.1	436392	1.00	1.00	0.89	1.00	0.80	0.94	1.00
KN805596.1	436404	1.00	1.00	0.87	1.00	1.00	0.56	1.00
KN805596.1	436786	1.00	1.00	0.83	1.00	1.00	0.50	1.00
KN805596.1	436798	0.86	1.00	0.57	1.00	0.73	1.00	0.82
KN805597.1	643523	0.43	0.79	1.00	1.00	0.82	1.00	1.00
KN805599.1	124446	0.79	0.70	0.89	0.49	0.35	0.80	0.99
KN805603.1	1073457	0.61	0.65	0.79	0.13	0.58	0.46	1.00
KN805603.1	1076481	0.86	0.88	0.88	0.80	0.86	0.61	0.52
