chr	pos	N_20-N4	N_20-N2	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_20-S2
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285275	0.85	0.89	0.75	0.90	0.89	0.86	0.80
KN805610.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805610.1:1:629617:1 REF	285278	0.90	0.89	0.92	0.90	0.91	0.91	0.87
KN805621.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805621.1:1:638139:1 REF	42787	0.50	0.92	0.74	0.63	0.53	0.95	0.17
KN805629.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805629.1:1:700478:1 REF	210617	0.86	0.91	1.00	0.96	0.82	0.92	0.79
KN805630.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805630.1:1:636007:1 REF	203684	0.24	0.27	0.18	0.25	0.15	0.18	0.10
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	117410	0.53	0.42	0.25	0.78	0.67	0.68	0.38
KN805643.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805643.1:1:565388:1 REF	117412	0.15	0.11	0.25	0.52	0.65	0.50	0.38
KN805645.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805645.1:1:614549:1 REF	450810	0.79	0.45	0.59	0.83	0.81	0.80	0.73
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	60581	0.72	0.25	0.20	0.90	0.10	0.74	0.20
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460617	0.64	0.87	1.00	0.64	1.00	0.92	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460624	0.54	0.87	1.00	0.71	0.97	0.88	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460637	0.68	0.80	1.00	0.46	0.85	0.77	1.00
KN805658.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805658.1:1:669091:1 REF	460656	0.59	0.67	1.00	0.97	0.92	0.85	0.95
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200301	0.86	0.84	0.87	1.00	0.91	0.76	0.96
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200306	0.85	0.86	0.91	0.91	0.88	0.84	0.95
KN805660.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805660.1:1:575038:1 REF	200312	0.87	0.77	1.00	0.95	0.79	0.90	0.93
KN805662.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805662.1:1:532606:1 REF	474470	0.33	0.17	0.14	0.33	0.58	0.18	0.14
KN805670.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805670.1:1:527936:1 REF	459533	0.12	0.17	0.16	0.23	0.36	0.33	0.14
KN805677.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805677.1:1:546144:1 REF	9957	1.00	1.00	0.78	0.94	1.00	0.94	1.00
KN805680.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805680.1:1:554768:1 REF	500372	0.63	0.69	0.70	0.81	0.53	0.70	0.82
KN805689.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805689.1:1:581105:1 REF	140343	0.62	0.76	0.76	0.75	0.75	0.74	0.35
KN805697.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805697.1:1:580679:1 REF	375041	0.60	0.75	0.76	0.70	0.70	0.74	0.38
KN805714.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805714.1:1:571504:1 REF	10569	0.30	0.41	0.66	0.21	0.35	0.11	0.24
KN805716.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805716.1:1:538046:1 REF	458782	0.96	1.00	1.00	1.00	1.00	1.00	1.00
KN805717.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805717.1:1:508535:1 REF	118520	0.92	1.00	1.00	0.83	0.88	0.35	0.90
KN805717.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805717.1:1:508535:1 REF	118536	1.00	0.67	0.68	0.96	0.50	0.93	1.00
KN805724.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805724.1:1:460972:1 REF	95925	0.88	0.97	1.00	0.94	1.00	1.00	0.88
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474550	0.84	0.67	0.80	0.83	0.71	0.78	0.45
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474582	0.89	0.95	0.70	0.92	0.76	0.85	0.83
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474584	0.89	0.84	0.90	0.95	0.86	0.85	0.83
KN805726.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805726.1:1:478985:1 REF	474589	0.89	0.84	0.90	0.95	0.71	0.85	0.67
KN805741.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805741.1:1:477986:1 REF	373838	0.86	0.73	0.33	0.71	0.88	0.60	0.47
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122053	0.95	0.92	0.86	0.88	0.85	0.83	0.69
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122065	0.94	0.97	0.92	0.87	0.89	0.94	0.94
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122071	0.91	0.93	0.89	0.76	0.97	0.94	0.94
KN805750.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805750.1:1:549272:1 REF	122078	0.85	0.93	0.97	0.84	0.91	0.93	0.71
KN805752.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805752.1:1:437615:1 REF	372253	0.31	0.15	0.17	0.38	0.13	0.25	0.25
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	153951	0.28	0.32	0.29	0.19	0.41	0.35	0.41
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234670	0.63	0.87	1.00	0.66	1.00	0.92	1.00
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234677	0.52	0.87	1.00	0.71	0.97	0.88	1.00
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234690	0.67	0.80	1.00	0.46	0.85	0.77	1.00
KN805755.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805755.1:1:444797:1 REF	234709	0.62	0.67	1.00	0.97	0.92	0.85	0.95
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268610	0.80	0.17	0.81	0.78	0.88	0.91	1.00
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	268650	0.82	0.26	0.64	0.93	0.99	0.95	0.20
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500227	0.74	0.47	0.87	0.75	0.58	0.64	1.00
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500247	0.84	0.92	1.00	0.55	0.83	0.98	0.97
KN805758.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805758.1:1:559975:1 REF	500254	0.92	0.92	0.89	0.54	0.74	0.93	0.24
KN805763.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805763.1:1:439548:1 REF	369242	0.86	0.38	1.00	0.78	0.70	0.75	0.69
KN805764.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805764.1:1:419250:1 REF	129028	0.98	0.98	1.00	0.82	0.69	0.82	0.61
KN805766.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805766.1:1:420598:1 REF	194539	0.63	0.70	1.00	0.98	0.69	0.81	1.00
KN805776.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805776.1:1:474727:1 REF	253072	0.58	0.76	0.52	0.61	0.56	0.64	0.50
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	177082	0.76	0.60	0.31	0.86	0.94	0.99	0.75
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185614	0.67	0.87	1.00	0.64	1.00	0.93	1.00
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185621	0.57	0.87	1.00	0.71	0.97	0.85	1.00
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185634	0.70	0.80	1.00	0.46	0.85	0.74	1.00
KN805781.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805781.1:1:518337:1 REF	185653	0.66	0.67	1.00	0.95	0.92	0.85	0.95
KN805792.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805792.1:1:470279:1 REF	275392	0.79	0.34	0.54	0.47	0.56	0.21	0.19
KN805796.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805796.1:1:468900:1 REF	385819	0.77	0.76	0.64	0.91	0.60	0.80	1.00
KN805797.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805797.1:1:412305:1 REF	214	0.27	0.48	0.46	0.29	0.52	0.36	0.76
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202789	0.78	0.84	0.68	0.90	0.87	0.85	0.92
KN805806.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805806.1:1:404367:1 REF	202796	0.56	0.47	0.57	0.56	0.83	0.72	0.52
KN805807.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805807.1:1:376875:1 REF	268892	0.81	1.00	0.23	0.75	0.87	0.62	0.42
KN805812.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805812.1:1:370439:1 REF	171345	0.72	0.53	0.38	0.74	0.83	0.77	0.68
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157881	0.76	1.00	0.92	0.79	0.87	0.94	0.91
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	157888	0.76	1.00	0.92	0.63	0.88	0.88	0.83
KN805813.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805813.1:1:532092:1 REF	425085	0.89	0.90	0.67	0.46	0.96	0.93	0.55
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257953	0.72	0.94	0.95	0.86	0.73	0.85	0.50
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257961	0.97	1.00	1.00	0.93	1.00	0.92	0.40
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257969	0.90	0.96	1.00	0.88	0.90	0.95	1.00
KN805827.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805827.1:1:439858:1 REF	257975	0.96	0.94	0.99	0.90	0.93	0.94	1.00
KN805837.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805837.1:1:421205:1 REF	53696	0.39	0.58	1.00	0.74	0.58	0.89	0.17
KN805849.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805849.1:1:405554:1 REF	203274	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805850.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805850.1:1:344139:1 REF	298685	0.20	0.24	0.56	0.31	0.17	0.21	0.50
KN805855.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805855.1:1:400928:1 REF	227792	0.86	0.91	0.90	0.89	0.88	0.95	0.80
KN805859.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805859.1:1:404737:1 REF	60990	0.77	1.00	0.20	0.62	0.53	0.89	1.00
KN805860.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805860.1:1:502814:1 REF	270047	0.55	1.00	0.80	0.95	0.90	0.98	0.27
KN805862.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805862.1:1:352641:1 REF	54158	0.91	0.60	0.91	0.95	0.77	0.62	0.95
KN805872.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805872.1:1:361584:1 REF	158469	0.96	0.90	0.90	0.82	0.78	0.91	0.14
KN805873.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805873.1:1:375097:1 REF	282	0.78	0.52	0.80	0.75	0.75	0.76	0.68
KN805894.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805894.1:1:340727:1 REF	224869	0.34	0.24	0.33	0.28	0.33	0.35	0.68
KN805897.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805897.1:1:303231:1 REF	94541	0.85	0.93	0.70	0.92	0.86	0.91	0.54
KN805941.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805941.1:1:328121:1 REF	224678	0.36	0.40	0.90	0.72	0.13	0.59	0.17
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8590	0.80	0.73	0.47	0.95	0.30	0.89	0.91
KN805961.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805961.1:1:285055:1 REF	8602	0.91	1.00	0.84	0.95	0.34	0.92	0.91
KN805964.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805964.1:1:260577:1 REF	58434	0.42	0.40	0.40	0.46	0.78	0.62	0.12
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	139854	0.53	0.26	0.50	0.63	0.94	0.69	0.95
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	139856	0.83	0.29	0.54	0.74	0.96	0.94	0.95
KN805965.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805965.1:1:270673:1 REF	139865	0.55	0.35	0.42	0.83	0.89	0.92	1.00
KN805994.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805994.1:1:3589954:1 REF	50846	0.86	0.40	0.86	0.87	1.00	0.96	0.70
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95538	0.56	0.90	0.86	0.86	0.57	0.67	0.67
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95542	0.50	0.95	0.82	0.81	0.62	0.57	0.58
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95549	0.47	0.82	0.82	0.76	0.62	0.67	0.83
KN806000.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806000.1:1:226747:1 REF	95573	0.15	0.78	0.59	0.54	0.42	0.24	0.67
KN806023.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806023.1:1:289347:1 REF	141281	0.87	1.00	0.97	0.93	0.34	0.27	1.00
KN806024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806024.1:1:252754:1 REF	105020	0.41	0.12	0.44	0.85	0.69	0.65	0.29
KN806024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806024.1:1:252754:1 REF	176001	0.29	0.40	0.25	0.58	0.26	0.32	0.41
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	17708	0.57	0.85	0.68	0.83	0.73	0.68	0.47
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	17723	0.45	0.62	0.68	0.61	0.59	0.66	0.79
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	18578	0.98	1.00	1.00	0.96	1.00	1.00	1.00
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	18600	1.00	1.00	1.00	0.98	1.00	0.90	0.29
KN806031.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806031.1:1:246257:1 REF	18617	0.97	1.00	1.00	0.98	0.98	0.96	0.30
KN806059.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806059.1:1:194252:1 REF	88694	0.53	0.42	0.30	0.67	0.57	0.61	0.57
KN806087.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806087.1:1:253983:1 REF	3298	0.67	1.00	0.82	0.98	1.00	0.74	0.63
KN806087.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806087.1:1:253983:1 REF	3318	0.65	1.00	0.76	0.98	0.94	0.99	0.63
KN806096.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806096.1:1:191149:1 REF	62977	1.00	0.42	1.00	0.88	0.83	0.92	0.74
KN806105.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806105.1:1:234393:1 REF	174465	0.89	0.85	0.85	0.94	0.94	0.89	1.00
KN806105.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806105.1:1:234393:1 REF	174470	0.86	0.80	0.85	0.97	0.95	0.82	1.00
KN806105.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806105.1:1:234393:1 REF	174472	0.84	0.95	0.69	0.92	0.95	0.84	0.82
KN806156.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806156.1:1:208455:1 REF	139712	0.59	0.50	0.58	0.62	0.57	0.64	0.31
KN806184.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806184.1:1:171743:1 REF	81239	0.89	0.38	1.00	0.72	0.68	0.76	0.67
KN806184.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806184.1:1:171743:1 REF	94853	0.81	0.36	0.39	0.80	0.92	0.85	0.25
KN806188.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806188.1:1:200502:1 REF	132409	0.97	1.00	1.00	0.95	0.74	0.92	0.71
KN806188.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806188.1:1:200502:1 REF	132414	0.93	0.88	1.00	0.94	0.85	0.92	0.82
KN806188.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806188.1:1:200502:1 REF	132416	0.90	0.88	0.95	0.94	0.83	0.85	0.82
KN806201.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806201.1:1:185770:1 REF	72506	0.52	0.48	0.25	0.76	0.40	0.59	0.39
KN806201.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806201.1:1:185770:1 REF	72508	0.13	0.12	0.25	0.51	0.36	0.45	0.39
KN806209.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806209.1:1:186830:1 REF	136488	0.73	0.73	1.00	0.93	0.88	1.00	1.00
KN806234.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806234.1:1:158006:1 REF	107796	0.52	0.50	0.25	0.76	0.40	0.59	0.39
KN806234.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806234.1:1:158006:1 REF	107798	0.13	0.16	0.25	0.52	0.36	0.45	0.39
KN806244.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806244.1:1:151301:1 REF	95807	0.61	0.75	0.76	0.75	0.75	0.74	0.35
KN806248.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806248.1:1:182072:1 REF	90335	0.54	0.22	0.31	0.93	0.83	0.52	0.63
KN806253.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806253.1:1:183323:1 REF	143586	0.44	0.50	0.76	0.55	0.61	0.66	0.26
KN806312.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806312.1:1:104050:1 REF	69276	1.00	0.95	1.00	0.71	0.50	0.79	0.60
KN806316.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806316.1:1:110734:1 REF	101865	0.16	0.45	0.41	0.18	0.45	0.33	0.17
KN806328.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806328.1:1:142604:1 REF	106252	0.43	0.33	0.83	0.63	0.71	0.45	0.48
KN806341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806341.1:1:101662:1 REF	11656	0.76	0.42	0.76	0.90	0.59	0.80	1.00
KN806365.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806365.1:1:131031:1 REF	11550	0.88	0.77	0.68	0.85	0.85	0.81	0.66
KN806394.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806394.1:1:103432:1 REF	101346	0.83	0.96	0.85	0.96	0.92	0.96	0.87
KN806394.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806394.1:1:103432:1 REF	101359	0.88	1.00	0.86	0.68	0.92	0.99	0.93
KN806394.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806394.1:1:103432:1 REF	101362	0.96	1.00	0.86	0.66	0.94	1.00	0.93
KN806412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806412.1:1:82453:1 REF	2060	0.69	0.92	1.00	1.00	0.75	0.65	1.00
KN806412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806412.1:1:82453:1 REF	2063	0.81	1.00	1.00	1.00	0.81	0.94	1.00
KN806412.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806412.1:1:82453:1 REF	2076	0.62	0.93	1.00	0.88	1.00	0.82	1.00
KN806686.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806686.1:1:48940:1 REF	15366	0.44	0.90	1.00	0.73	0.84	0.43	1.00
KN806713.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806713.1:1:47674:1 REF	30862	0.60	0.73	0.65	0.81	0.77	0.63	0.50
KN806713.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806713.1:1:47674:1 REF	30869	0.55	0.73	0.70	0.77	0.69	0.56	0.20
KN806722.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806722.1:1:53652:1 REF	1909	0.57	0.52	0.53	0.69	0.66	0.79	0.60
KN806729.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN806729.1:1:48604:1 REF	14618	0.84	0.50	1.00	0.94	0.89	0.92	0.60
