chr	pos	N_20-N4	N_20-N2	N_20-N1	S_20-S1	S_20-S3	S_20-S4	S_20-S2
JXMV01058392.1	219	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058392.1	238	0.00	0.00	0.00	0.19	0.01	0.00	0.00
JXMV01058392.1	569	0.00	0.00	0.00	0.00	0.00	0.13	0.00
JXMV01058392.1	576	0.08	0.00	0.00	0.00	0.06	0.00	0.00
JXMV01058392.1	591	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01058644.1	2756	0.47	0.94	0.29	0.33	0.06	0.11	0.03
JXMV01058644.1	2763	0.87	0.94	0.96	0.87	0.70	0.46	0.03
JXMV01059102.1	4822	0.31	0.31	0.00	0.83	0.54	0.61	0.96
JXMV01059102.1	4837	0.21	0.00	1.00	0.96	0.65	0.25	0.47
JXMV01059102.1	4901	0.70	0.00	1.00	1.00	0.64	0.08	0.48
JXMV01059102.1	4919	0.70	0.00	1.00	0.71	0.41	0.32	0.47
JXMV01059102.1	4934	0.44	0.00	1.00	0.71	0.64	0.32	0.47
JXMV01059342.1	1049	0.83	0.99	1.00	0.53	1.00	1.00	1.00
JXMV01059342.1	1054	1.00	1.00	1.00	0.84	1.00	0.89	1.00
JXMV01059342.1	1069	0.83	0.84	1.00	0.99	0.80	0.96	1.00
JXMV01059342.1	1072	0.78	0.84	1.00	0.84	0.87	0.98	0.99
JXMV01059342.1	1077	0.88	0.84	1.00	0.84	0.81	0.98	1.00
JXMV01059342.1	1088	0.89	0.84	0.99	0.72	1.00	0.50	1.00
JXMV01059342.1	2329	0.35	0.42	0.44	0.92	0.79	0.48	0.50
JXMV01059342.1	2557	0.68	0.72	0.87	0.70	0.98	1.00	1.00
JXMV01059342.1	2562	0.60	0.65	0.87	0.68	1.00	1.00	1.00
JXMV01059486.1	151	0.85	1.00	1.00	0.99	1.00	1.00	1.00
JXMV01059486.1	154	1.00	0.70	1.00	1.00	1.00	1.00	1.00
JXMV01059486.1	159	1.00	1.00	1.00	0.82	0.88	0.98	1.00
JXMV01059486.1	3698	0.17	0.00	0.79	0.52	0.00	0.76	0.15
JXMV01059486.1	3925	0.85	1.00	1.00	0.99	1.00	1.00	1.00
JXMV01059486.1	3928	1.00	0.70	1.00	1.00	1.00	1.00	1.00
JXMV01059486.1	3933	1.00	1.00	1.00	0.82	0.88	0.99	1.00
JXMV01059912.1	65	0.81	0.98	0.97	0.89	0.85	0.91	0.88
JXMV01059912.1	155	0.65	0.09	0.47	0.76	0.67	0.67	0.24
JXMV01059913.1	1675	0.59	1.00	1.00	1.00	0.02	0.99	1.00
JXMV01060553.1	2676	0.00	0.00	0.00	0.02	0.10	0.00	0.00
JXMV01060553.1	2705	0.00	0.03	0.00	0.00	0.00	0.00	0.00
JXMV01060553.1	2711	0.00	0.00	0.05	0.00	0.00	0.00	0.94
JXMV01061197.1	4498	0.84	0.60	0.64	0.86	0.97	0.99	0.75
JXMV01061786.1	681	0.97	0.96	0.91	0.99	0.99	0.99	1.00
JXMV01061786.1	700	1.00	1.00	0.91	0.98	0.92	0.62	1.00
JXMV01061786.1	707	0.97	0.96	1.00	0.94	0.89	0.98	1.00
JXMV01061786.1	709	0.01	0.00	0.01	0.00	0.01	0.00	0.00
JXMV01061786.1	840	0.93	0.91	1.00	0.92	0.89	0.97	1.00
JXMV01061786.1	876	0.76	0.70	1.00	0.92	0.88	0.95	0.56
JXMV01061828.1	2974	0.75	0.97	0.90	0.96	0.75	0.82	0.83
JXMV01061988.1	75	1.00	1.00	1.00	1.00	0.73	1.00	1.00
JXMV01061988.1	83	0.79	1.00	0.99	1.00	1.00	1.00	1.00
JXMV01061988.1	3378	0.95	0.89	0.71	0.86	0.98	0.99	1.00
JXMV01061988.1	3380	0.92	0.93	0.97	0.91	0.95	0.99	0.97
JXMV01061988.1	3385	0.97	0.90	0.95	0.96	0.95	0.98	1.00
JXMV01062064.1	2830	0.30	0.04	0.00	0.39	0.28	0.47	0.03
JXMV01062106.1	2274	0.07	0.07	0.00	0.02	0.04	0.07	0.00
JXMV01062423.1	2865	0.87	0.03	1.00	1.00	0.79	0.98	1.00
JXMV01062423.1	3090	0.20	0.03	1.00	0.52	0.36	0.40	0.01
JXMV01062577.1	741	0.00	0.00	0.00	0.05	0.00	0.00	0.00
JXMV01062577.1	756	0.03	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01062577.1	767	0.03	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01062577.1	808	0.15	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01062577.1	820	0.15	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01062577.1	834	0.15	0.00	0.00	0.32	0.37	0.00	0.47
JXMV01062577.1	844	0.15	0.00	0.00	0.00	0.37	0.00	0.00
JXMV01062978.1	1977	0.30	0.04	0.00	0.39	0.28	0.47	0.03
JXMV01062993.1	599	0.15	0.79	1.00	0.42	0.09	0.80	0.62
JXMV01062993.1	612	1.00	0.82	0.12	0.58	0.07	0.76	0.94
JXMV01062993.1	615	0.04	0.45	0.12	0.58	0.07	0.56	0.31
JXMV01062993.1	626	0.96	0.82	0.06	0.47	0.36	0.80	0.94
JXMV01062993.1	636	0.78	0.73	0.06	0.54	0.23	0.82	1.00
JXMV01062993.1	647	0.25	0.80	0.00	0.34	0.29	0.30	0.00
JXMV01063045.1	1910	0.87	0.80	1.00	0.80	0.81	0.81	0.18
JXMV01063045.1	1927	0.72	0.69	1.00	0.85	0.63	0.80	0.91
JXMV01063277.1	2279	0.09	0.10	0.00	0.00	0.08	0.09	0.00
JXMV01063277.1	2284	0.09	0.00	0.00	0.00	0.13	0.00	0.00
JXMV01063277.1	2349	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063277.1	2352	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063311.1	1197	0.16	0.04	0.02	0.67	0.07	0.06	0.05
JXMV01063311.1	1245	0.33	0.01	0.00	0.58	0.49	0.33	0.63
JXMV01063311.1	1252	0.77	0.02	0.00	0.99	0.43	0.43	1.00
JXMV01063326.1	488	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	492	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	494	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	497	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	504	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	525	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	534	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	537	0.01	0.02	0.00	0.00	0.00	0.00	0.00
JXMV01063331.1	2279	0.09	0.10	0.00	0.00	0.08	0.09	0.00
JXMV01063331.1	2284	0.09	0.00	0.00	0.00	0.13	0.00	0.00
JXMV01063331.1	2349	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063331.1	2352	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	364	0.00	0.00	0.00	0.12	0.24	0.04	1.00
JXMV01063400.1	402	0.00	0.01	0.00	0.00	0.16	0.00	0.00
JXMV01063400.1	411	0.00	0.00	0.00	0.00	0.00	0.13	0.00
JXMV01063400.1	412	0.00	0.00	0.00	0.00	0.09	0.00	0.00
JXMV01063400.1	414	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	415	0.00	0.00	0.00	0.00	0.00	0.01	0.01
JXMV01063400.1	419	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	420	0.00	0.00	0.00	0.00	0.00	0.01	0.01
JXMV01063400.1	429	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	430	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	432	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	433	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	435	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	436	0.00	0.19	0.01	0.00	0.00	0.00	0.00
JXMV01063400.1	442	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	443	0.00	0.00	0.01	0.00	0.00	0.01	0.00
JXMV01063400.1	448	0.00	0.00	0.00	0.20	0.10	0.00	0.00
JXMV01063401.1	1858	0.00	0.00	0.00	0.20	0.10	0.00	0.00
JXMV01063401.1	1863	0.00	0.00	0.01	0.00	0.00	0.01	0.00
JXMV01063401.1	1864	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1870	0.00	0.19	0.01	0.00	0.00	0.00	0.00
JXMV01063401.1	1871	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1873	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1874	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1876	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1877	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1886	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01063401.1	1887	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1891	0.00	0.00	0.00	0.00	0.00	0.01	0.01
JXMV01063401.1	1892	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1894	0.00	0.00	0.00	0.00	0.09	0.00	0.00
JXMV01063401.1	1895	0.00	0.00	0.00	0.00	0.00	0.13	0.00
JXMV01063401.1	1904	0.00	0.01	0.00	0.00	0.16	0.00	0.00
JXMV01063401.1	1942	0.00	0.00	0.00	0.12	0.23	0.04	1.00
JXMV01063580.1	1112	0.00	0.00	0.00	0.01	0.00	0.29	0.00
JXMV01063580.1	1158	0.00	0.20	0.00	0.00	0.24	0.00	0.00
JXMV01063716.1	837	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063716.1	909	0.08	0.00	0.00	0.12	0.00	0.00	0.00
JXMV01063716.1	1260	0.00	0.00	0.00	0.00	0.00	0.11	0.00
JXMV01063716.1	1278	0.00	0.00	0.01	0.33	0.00	0.11	0.00
JXMV01063728.1	810	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063728.1	882	0.08	0.00	0.00	0.12	0.00	0.00	0.00
JXMV01063728.1	1233	0.00	0.00	0.00	0.00	0.00	0.11	0.00
JXMV01063728.1	1251	0.00	0.00	0.01	0.33	0.00	0.11	0.00
JXMV01063733.1	883	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01063733.1	930	0.00	0.00	0.00	0.00	0.00	0.19	0.00
JXMV01063818.1	883	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01063818.1	930	0.00	0.00	0.00	0.00	0.00	0.19	0.00
JXMV01064072.1	639	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064072.1	645	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064072.1	656	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064072.1	663	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064134.1	1685	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	1696	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	1714	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	1852	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	1867	0.00	0.00	0.00	0.00	0.01	0.00	0.00
JXMV01064134.1	1868	0.09	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	1899	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39045	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39065	0.00	0.10	0.00	0.05	0.00	0.00	0.00
JXMV01064134.1	39104	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39113	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39141	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39203	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064134.1	39218	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39235	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064135.1	16099	0.05	0.13	0.00	0.27	0.04	0.00	0.35
JXMV01064136.1	4980	0.00	0.14	0.04	0.09	0.01	0.00	0.00
JXMV01064137.1	19710	0.74	0.71	0.00	0.83	0.94	0.63	0.00
JXMV01064144.1	2731	0.43	0.94	0.29	0.36	0.05	0.11	0.03
JXMV01064144.1	2738	0.87	0.94	0.96	0.94	0.69	0.47	0.03
JXMV01064145.1	149	0.26	0.03	0.01	0.39	0.23	0.02	0.04
JXMV01064156.1	67	0.27	0.06	0.03	0.69	0.20	0.19	0.00
JXMV01064161.1	11848	0.42	0.10	0.00	0.15	0.00	0.00	0.00
JXMV01064163.1	2462	0.56	0.08	0.91	0.31	0.93	0.45	0.00
JXMV01064164.1	2255	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064164.1	2256	0.01	0.02	0.00	0.01	0.00	0.08	0.00
JXMV01064164.1	3832	0.01	0.01	0.00	0.00	0.11	0.17	0.00
JXMV01064164.1	3844	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064164.1	3845	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064164.1	4041	0.00	0.00	0.00	0.00	0.00	0.00	0.42
JXMV01064164.1	4042	0.00	0.00	0.00	0.00	0.14	0.00	0.00
JXMV01064164.1	4049	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064164.1	4050	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064164.1	4069	0.00	0.21	0.00	0.00	0.00	0.00	0.00
JXMV01064164.1	10750	0.85	0.52	0.03	0.32	0.07	0.20	1.00
JXMV01064168.1	10374	0.00	0.00	0.00	0.00	0.07	0.00	0.00
JXMV01064168.1	10385	0.00	0.14	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10387	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10389	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10395	0.00	0.00	0.00	0.12	0.00	0.00	0.00
JXMV01064168.1	10416	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10420	0.00	0.00	0.00	0.00	0.06	0.00	0.00
JXMV01064168.1	10544	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10547	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10549	0.00	0.00	0.00	0.00	0.08	0.00	0.00
JXMV01064168.1	10567	0.01	0.00	0.00	0.00	0.00	0.12	0.00
JXMV01064168.1	10714	0.00	0.00	0.00	0.00	0.00	0.08	0.00
JXMV01064168.1	10735	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10737	0.00	0.00	0.00	0.21	0.00	0.00	0.01
JXMV01064168.1	10741	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10750	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10758	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10762	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10764	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064168.1	10799	0.00	0.00	0.00	0.00	0.00	0.00	1.00
JXMV01064168.1	10804	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10810	0.00	0.00	0.00	0.00	0.07	0.00	0.00
JXMV01064169.1	4885	0.03	0.10	0.14	0.02	0.07	0.01	0.00
JXMV01064170.1	11139	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064171.1	2672	0.18	0.13	0.07	0.17	0.19	0.16	0.24
JXMV01064171.1	3112	0.93	0.73	0.58	0.95	0.40	0.94	1.00
JXMV01064171.1	9539	0.88	0.81	0.64	0.90	0.52	0.96	0.15
JXMV01064171.1	9548	0.91	0.97	0.93	0.92	0.52	0.98	0.11
JXMV01064171.1	9552	0.88	0.75	1.00	0.81	0.52	0.92	0.15
JXMV01064175.1	3433	0.00	0.00	0.00	0.00	0.00	0.12	0.00
JXMV01064175.1	3466	0.16	0.19	0.00	0.00	0.03	0.00	0.00
JXMV01064175.1	3500	0.13	0.01	0.00	0.00	0.12	0.00	0.00
JXMV01064175.1	3510	0.00	0.04	0.00	0.00	0.00	0.00	0.00
JXMV01064175.1	3514	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064175.1	3518	0.00	0.00	0.00	0.00	0.00	0.17	0.00
JXMV01064179.1	10715	0.66	1.00	0.99	0.83	0.98	0.89	0.96
JXMV01064179.1	10726	0.69	0.98	1.00	0.80	0.89	0.89	1.00
JXMV01064179.1	10730	0.69	0.98	1.00	1.00	1.00	1.00	1.00
JXMV01064179.1	10751	0.69	1.00	0.98	1.00	1.00	0.90	1.00
JXMV01064179.1	10830	0.99	0.25	0.48	0.83	0.93	0.80	1.00
JXMV01064179.1	10857	1.00	0.99	0.99	0.67	0.90	0.42	1.00
JXMV01064180.1	3614	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	3627	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	3636	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	3645	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	3655	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064180.1	3785	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	3788	0.00	0.00	0.00	0.00	0.00	0.31	0.00
JXMV01064180.1	3795	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	3804	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	4168	0.00	0.14	0.16	0.04	0.00	0.05	0.00
JXMV01064186.1	2532	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	2901	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	2915	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3266	0.00	0.00	0.00	0.00	0.00	0.09	0.00
JXMV01064186.1	3270	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064186.1	3333	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3350	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3362	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3369	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064187.1	1966	0.00	0.01	0.00	0.01	0.00	0.01	0.03
JXMV01064187.1	2011	0.12	0.01	0.06	0.01	0.00	0.00	0.00
JXMV01064187.1	2016	0.01	0.01	0.00	0.01	0.00	0.00	0.00
JXMV01064187.1	2027	0.30	0.01	0.00	0.01	0.00	0.00	0.12
JXMV01064187.1	3459	0.96	0.70	0.01	0.86	0.57	0.86	1.00
JXMV01064193.1	10201	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064193.1	10212	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064193.1	10217	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064193.1	10308	0.00	0.08	0.00	0.12	0.00	0.35	0.00
JXMV01064201.1	169	0.09	0.21	0.00	0.16	0.11	0.00	0.00
JXMV01064201.1	174	0.00	0.00	0.00	0.00	0.00	0.11	0.00
JXMV01064201.1	183	0.00	0.00	0.00	0.00	0.00	0.11	0.00
JXMV01064201.1	190	0.00	0.06	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	197	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	219	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	238	0.00	0.00	0.00	0.19	0.01	0.00	0.00
JXMV01064201.1	569	0.00	0.00	0.00	0.00	0.00	0.13	0.00
JXMV01064201.1	576	0.08	0.00	0.00	0.00	0.06	0.00	0.00
JXMV01064201.1	591	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064205.1	3827	0.70	0.68	0.99	0.96	0.84	0.81	0.91
JXMV01064205.1	4457	0.37	0.05	0.05	0.12	0.16	0.15	0.07
JXMV01064205.1	4583	0.25	0.41	0.91	0.35	0.60	0.54	0.10
JXMV01064212.1	9613	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064212.1	9819	0.10	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064219.1	1933	0.14	0.00	0.00	0.00	0.12	0.00	0.00
JXMV01064219.1	1940	0.00	0.00	0.00	0.00	0.00	0.03	0.00
JXMV01064219.1	2001	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064219.1	2012	0.21	0.00	0.00	0.43	0.32	0.38	0.00
JXMV01064219.1	2049	0.13	0.00	0.00	0.00	0.00	0.03	0.00
JXMV01064234.1	3324	0.00	0.00	0.00	0.02	0.16	0.00	0.06
JXMV01064248.1	4760	0.42	1.00	1.00	0.69	1.00	1.00	1.00
JXMV01064255.1	56	0.85	0.09	0.02	0.13	0.13	0.08	0.00
JXMV01064255.1	60	0.00	0.00	0.00	0.03	0.26	0.00	1.00
JXMV01064255.1	66	0.00	0.00	0.01	0.02	0.18	0.00	1.00
JXMV01064255.1	97	0.00	0.37	0.00	0.03	0.63	0.00	1.00
JXMV01064255.1	7967	0.85	0.97	0.78	0.80	0.90	0.70	0.00
JXMV01064255.1	7979	0.64	1.00	0.78	0.95	0.87	0.62	1.00
JXMV01064258.1	2944	0.93	1.00	1.00	0.77	0.57	0.99	0.00
JXMV01064268.1	4503	0.01	0.00	0.00	0.00	0.03	0.20	0.00
JXMV01064268.1	4508	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	4514	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	4519	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	4525	0.00	0.00	0.00	0.00	0.00	0.00	1.00
JXMV01064268.1	4558	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	4571	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	4873	0.00	0.01	0.00	0.00	0.13	0.00	0.00
JXMV01064268.1	4878	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064268.1	4898	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	5045	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	5054	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064268.1	5080	0.12	0.00	0.00	0.37	0.00	0.00	0.00
JXMV01064272.1	730	0.00	0.02	0.00	0.00	0.00	0.14	0.00
JXMV01064272.1	753	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01064272.1	823	0.11	0.00	1.00	0.00	0.00	0.00	0.00
JXMV01064273.1	7414	0.52	0.31	1.00	0.58	0.50	0.29	0.00
JXMV01064273.1	7444	0.92	0.58	0.08	0.94	0.86	0.78	1.00
JXMV01064281.1	14376	0.00	0.00	0.00	0.00	0.10	0.00	0.00
JXMV01064295.1	20	0.57	0.69	0.78	0.88	0.86	0.97	0.15
JXMV01064299.1	3725	0.14	0.11	0.00	0.23	0.09	0.18	0.00
JXMV01064299.1	3731	0.15	0.20	0.00	0.01	0.09	0.19	0.00
JXMV01064299.1	3768	0.15	0.00	0.00	0.01	0.16	0.18	0.00
JXMV01064299.1	3862	0.14	0.00	0.00	0.03	0.09	0.00	0.00
JXMV01064299.1	3871	0.24	0.00	0.00	0.02	0.09	0.16	0.00
JXMV01064307.1	9393	0.00	0.00	0.00	0.00	0.56	0.00	0.00
JXMV01064307.1	9406	0.15	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064307.1	9426	0.74	0.00	0.00	1.00	1.00	0.81	0.00
JXMV01064316.1	119	0.55	0.04	0.02	0.70	0.27	0.17	0.05
JXMV01064316.1	167	0.34	0.06	0.00	0.58	0.49	0.33	0.63
JXMV01064316.1	174	0.77	0.02	0.00	0.99	0.43	0.43	1.00
JXMV01064316.1	180	1.00	0.00	0.00	0.77	0.97	1.00	1.00
JXMV01064339.1	985	0.63	0.00	0.00	0.67	0.31	0.96	0.59
JXMV01064339.1	997	0.55	0.85	0.01	0.92	0.60	1.00	1.00
JXMV01064339.1	1002	0.70	0.85	0.01	0.66	0.77	0.85	1.00
JXMV01064339.1	1014	0.67	0.85	0.01	0.71	0.77	0.88	1.00
JXMV01064344.1	86	0.00	0.00	0.03	0.08	0.03	0.01	0.00
JXMV01064353.1	2520	0.00	0.00	0.03	0.08	0.03	0.01	0.00
JXMV01064354.1	2059	1.00	0.46	1.00	0.88	0.99	0.59	0.84
JXMV01064357.1	3684	0.08	0.05	0.00	0.52	0.09	0.02	0.30
