chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
KN805604.1	2696964	0.67	0.76	1.00	0.93	1.00	0.40	0.62
KN805604.1	2696977	0.64	0.88	1.00	0.91	0.92	0.46	0.69
KN805604.1	2696984	0.67	0.88	1.00	0.88	0.95	0.46	0.92
KN805604.1	3648207	0.95	0.95	1.00	0.95	0.48	0.90	0.53
KN805604.1	3723645	0.82	0.85	0.67	0.45	0.79	0.91	0.76
KN805605.1	12347	0.87	0.29	0.67	0.94	0.58	0.83	0.84
KN805605.1	12379	0.80	0.24	1.00	1.00	0.65	0.93	0.87
KN805605.1	12381	0.61	0.95	1.00	0.94	0.70	0.57	0.97
KN805605.1	12386	0.62	0.24	1.00	1.00	0.55	0.93	0.87
KN805605.1	12392	0.83	0.29	0.93	0.97	0.75	0.95	0.90
KN805605.1	173419	0.89	0.97	0.55	0.96	0.55	0.91	0.95
KN805607.1	412781	0.42	0.71	0.69	0.83	0.93	0.80	0.83
KN805608.1	104035	0.95	1.00	1.00	0.81	0.96	0.59	1.00
KN805608.1	104040	0.95	1.00	1.00	0.88	0.88	0.93	0.94
KN805608.1	104042	0.98	0.97	0.94	0.88	0.88	0.92	0.96
KN805608.1	104074	0.83	0.97	0.88	0.65	0.81	0.79	0.96
KN805608.1	134484	0.47	0.32	0.38	0.45	0.41	0.49	0.52
KN805608.1	134514	0.42	0.42	0.43	0.38	0.29	0.24	0.48
KN805609.1	188625	0.93	1.00	1.00	0.97	0.98	0.88	0.42
KN805609.1	552530	0.70	0.18	0.10	0.78	0.86	0.83	0.30
KN805609.1	578505	0.53	0.53	1.00	0.81	0.97	0.88	1.00
KN805609.1	578524	0.74	0.73	1.00	0.85	1.00	0.88	0.62
KN805609.1	578537	0.47	0.87	1.00	0.81	0.92	0.94	0.69
KN805609.1	578544	0.71	0.87	1.00	0.74	0.97	0.94	0.92
KN805610.1	285262	0.89	0.88	0.83	0.73	0.84	0.83	0.88
KN805610.1	285275	0.85	0.89	0.75	0.86	0.84	0.90	0.94
KN805610.1	285278	0.90	0.89	0.92	0.95	0.90	0.93	0.92
KN805615.1	218570	0.53	0.78	1.00	1.00	0.99	0.96	0.98
KN805616.1	299196	0.99	1.00	0.65	1.00	0.96	0.98	1.00
KN805616.1	299263	0.90	0.92	0.78	0.86	1.00	0.91	0.84
KN805616.1	299349	0.96	0.95	0.95	0.85	0.96	0.93	0.90
KN805616.1	299381	1.00	1.00	1.00	1.00	0.96	0.86	0.96
KN805616.1	299383	0.92	1.00	1.00	0.92	0.96	0.89	0.98
KN805616.1	299388	0.96	1.00	0.91	1.00	1.00	0.86	0.96
KN805616.1	299394	0.98	1.00	0.95	1.00	0.91	0.93	1.00
KN805617.1	22849	0.63	0.92	0.77	0.80	0.92	0.75	0.93
KN805617.1	456990	1.00	0.59	0.85	0.97	0.94	0.86	0.88
KN805617.1	456999	0.96	0.76	0.80	0.19	0.81	0.91	0.88
KN805620.1	265580	0.79	0.76	0.68	0.45	0.70	0.82	0.89
KN805625.1	485996	0.67	0.87	1.00	0.41	0.55	0.88	0.95
KN805625.1	486003	0.57	0.87	1.00	0.95	0.94	0.88	0.87
KN805625.1	486016	0.70	0.80	1.00	0.89	0.98	0.88	0.33
KN805625.1	486035	0.66	0.67	1.00	0.93	0.98	0.82	0.95
KN805627.1	333584	0.23	0.13	0.18	0.65	0.42	0.40	0.81
KN805627.1	557816	0.33	0.16	0.83	0.97	0.97	0.94	0.87
KN805628.1	155538	0.38	0.57	1.00	0.88	0.92	0.89	0.93
KN805628.1	155557	0.81	0.79	1.00	0.84	0.97	0.89	0.64
KN805628.1	155570	0.35	0.93	1.00	0.88	0.90	0.89	0.64
KN805628.1	155577	0.77	0.93	1.00	0.72	0.92	0.95	0.86
KN805628.1	196443	0.86	0.97	0.25	0.54	0.60	0.96	0.97
KN805629.1	181017	0.56	0.88	0.86	0.68	0.90	0.91	0.87
KN805629.1	181025	0.76	1.00	0.95	0.76	0.98	0.92	0.88
KN805629.1	181034	0.78	0.70	0.71	0.81	0.91	0.91	0.77
KN805629.1	605402	0.50	0.14	0.10	0.79	0.86	0.80	0.25
KN805629.1	605431	0.95	0.60	0.47	0.47	0.67	0.45	0.99
KN805633.1	49001	0.22	0.25	0.40	0.16	0.13	0.26	0.17
KN805635.1	657991	0.12	0.97	0.64	0.38	0.41	0.23	0.97
KN805636.1	508965	0.42	1.00	0.92	0.91	0.81	0.74	0.83
KN805642.1	164478	0.74	1.00	0.92	1.00	0.95	0.58	1.00
KN805643.1	117410	0.53	0.42	0.25	0.19	0.23	0.41	0.80
KN805643.1	117412	0.15	0.11	0.25	0.20	0.25	0.41	0.36
KN805645.1	450810	0.79	0.45	0.59	0.73	0.62	0.70	0.79
KN805646.1	476601	0.58	0.85	0.82	0.60	0.82	0.93	0.83
KN805646.1	476606	0.56	0.65	0.82	0.40	0.82	0.73	0.86
KN805646.1	476608	0.50	0.85	0.79	0.50	0.75	0.73	0.79
KN805647.1	139145	1.00	1.00	1.00	1.00	0.76	1.00	0.60
KN805647.1	139149	1.00	1.00	1.00	0.83	0.74	1.00	0.89
KN805647.1	139155	1.00	0.95	1.00	1.00	0.73	0.96	0.90
KN805647.1	139171	1.00	0.64	0.62	0.82	0.13	0.96	0.58
KN805647.1	139175	1.00	1.00	1.00	1.00	0.77	1.00	0.97
KN805647.1	139179	1.00	1.00	0.96	1.00	0.58	1.00	0.98
KN805647.1	139185	0.97	0.67	0.96	1.00	0.74	1.00	0.91
KN805647.1	329733	0.53	0.78	1.00	1.00	0.98	0.96	0.98
KN805648.1	231764	0.74	0.78	1.00	1.00	0.98	0.96	0.98
KN805649.1	83950	0.98	0.97	0.73	1.00	1.00	0.98	0.86
KN805649.1	83959	0.97	0.97	0.73	0.55	0.95	0.95	0.73
KN805650.1	378906	0.33	0.68	0.61	0.47	0.44	0.50	0.26
KN805651.1	248637	0.33	0.18	0.11	0.43	0.29	0.44	0.55
KN805651.1	248682	0.30	0.14	0.29	0.24	0.22	0.29	0.44
KN805652.1	283380	0.87	0.47	0.96	0.90	0.77	0.73	0.82
KN805655.1	273677	0.69	0.42	0.24	0.79	0.66	0.73	0.64
KN805658.1	19366	0.70	1.00	0.92	1.00	0.68	0.86	0.90
KN805658.1	191775	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805658.1	191779	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805658.1	192064	0.90	1.00	0.70	0.94	0.90	1.00	1.00
KN805658.1	192071	0.82	0.83	0.27	0.98	0.77	0.93	0.82
KN805658.1	460617	0.64	0.87	1.00	0.70	0.94	0.93	0.94
KN805658.1	460624	0.54	0.87	1.00	0.91	0.89	0.93	0.75
KN805658.1	460637	0.68	0.80	1.00	0.83	0.97	0.87	0.69
KN805658.1	460656	0.59	0.67	1.00	0.91	0.97	0.87	0.94
KN805660.1	200299	0.94	0.60	0.88	0.55	0.42	0.87	0.87
KN805660.1	200301	0.86	0.84	0.87	0.67	0.36	0.67	0.94
KN805660.1	200306	0.85	0.86	0.91	0.79	0.94	0.63	0.68
KN805660.1	200312	0.87	0.77	1.00	0.85	0.97	0.74	0.96
KN805660.1	240108	0.67	0.92	0.90	0.64	0.69	0.45	0.85
KN805661.1	178984	1.00	1.00	0.57	1.00	0.96	1.00	1.00
KN805661.1	269518	0.93	1.00	1.00	0.97	0.98	0.46	0.42
KN805661.1	276458	0.44	0.54	0.19	0.86	0.19	0.11	0.86
KN805662.1	474470	0.33	0.17	0.14	0.23	0.21	0.12	0.28
KN805670.1	256033	0.18	0.36	0.14	0.63	0.17	0.66	0.23
KN805673.1	128001	1.00	0.62	0.94	0.93	0.98	0.93	1.00
KN805673.1	128017	0.92	1.00	1.00	0.96	0.88	0.89	1.00
KN805673.1	128041	1.00	0.81	0.94	0.96	1.00	0.98	1.00
KN805673.1	567789	0.94	1.00	1.00	0.12	0.32	0.41	0.90
KN805677.1	9957	1.00	1.00	0.78	0.79	0.88	0.80	0.88
KN805677.1	265949	0.92	0.92	0.88	0.81	0.80	0.94	0.89
KN805677.1	265969	0.86	1.00	0.94	0.73	0.85	0.82	0.85
KN805677.1	266020	0.93	0.97	0.77	0.14	0.78	0.47	0.88
KN805679.1	168583	1.00	0.62	0.94	0.44	0.96	0.95	1.00
KN805683.1	234503	0.98	0.77	0.96	0.94	1.00	0.95	0.98
KN805686.1	118385	0.54	0.78	0.91	1.00	0.98	0.98	0.98
KN805691.1	241013	1.00	0.80	1.00	0.90	0.89	1.00	0.94
KN805695.1	491609	0.98	0.75	0.96	0.93	1.00	0.92	0.97
KN805695.1	491642	0.89	0.57	0.96	0.88	0.94	0.97	0.95
KN805697.1	3589	0.69	0.92	1.00	0.90	0.93	0.74	0.96
KN805697.1	107854	0.71	1.00	0.55	0.26	0.21	0.57	0.58
KN805697.1	163076	0.72	0.27	0.94	0.53	0.80	0.84	0.97
KN805697.1	163115	0.66	0.40	0.72	0.80	0.65	0.69	0.94
KN805697.1	180007	0.61	0.47	0.53	0.75	0.80	0.67	0.28
KN805697.1	288671	1.00	1.00	1.00	0.91	0.81	0.89	1.00
KN805697.1	288675	1.00	1.00	1.00	0.80	1.00	0.91	0.90
KN805697.1	288681	1.00	0.96	1.00	1.00	0.96	0.92	1.00
KN805697.1	288697	0.99	0.71	0.53	0.82	0.85	0.86	0.99
KN805697.1	288701	0.98	1.00	1.00	0.94	1.00	0.92	1.00
KN805697.1	375041	0.60	0.75	0.76	0.37	0.62	0.59	0.67
KN805698.1	1789345	0.96	0.28	0.93	0.80	0.92	0.89	0.73
KN805698.1	1789351	0.92	0.20	0.85	0.50	0.92	0.83	0.95
KN805698.1	2807602	0.67	0.45	0.95	0.57	0.26	0.45	0.76
KN805698.1	3037242	0.46	0.58	0.39	0.94	0.27	0.73	0.85
KN805698.1	3660048	0.75	0.78	1.00	1.00	0.99	0.98	0.98
KN805706.1	26202	0.24	0.33	0.43	0.67	0.93	0.87	0.18
KN805707.1	9764	0.75	0.78	1.00	1.00	0.99	0.98	0.98
KN805708.1	318782	0.87	0.95	0.97	1.00	0.90	0.85	0.95
KN805708.1	318792	0.86	0.95	0.96	1.00	0.91	0.90	0.92
KN805708.1	318812	0.90	0.95	0.89	1.00	0.94	0.90	0.78
KN805708.1	322618	0.91	0.93	1.00	0.91	0.86	0.94	0.92
KN805708.1	322630	1.00	0.94	0.88	0.67	0.86	0.89	0.90
KN805709.1	446924	0.22	0.20	0.27	0.14	0.48	0.48	0.82
KN805710.1	16525	0.89	0.60	0.47	0.60	0.63	0.31	0.98
KN805719.1	352705	0.96	0.99	0.90	0.70	0.81	0.67	0.96
KN805719.1	352713	0.96	0.99	0.90	0.70	0.81	0.69	0.65
KN805719.1	352739	0.50	0.62	0.80	0.34	0.86	0.89	0.99
KN805724.1	95925	0.88	0.97	1.00	0.96	1.00	0.90	0.90
KN805734.1	213869	0.56	0.38	0.62	0.75	0.90	0.90	0.67
KN805734.1	213871	0.68	0.52	0.74	0.76	0.93	0.93	0.73
KN805735.1	428383	0.98	0.15	0.56	0.33	0.56	0.46	0.69
KN805738.1	187599	0.55	0.60	0.50	0.74	0.65	0.34	0.98
KN805738.1	243842	0.99	0.12	0.56	0.75	0.55	0.51	0.69
KN805739.1	174996	0.88	0.18	0.10	0.42	0.94	0.89	0.21
KN805741.1	373838	0.86	0.73	0.33	0.13	0.40	0.62	0.36
KN805750.1	122053	0.95	0.92	0.86	0.68	0.82	0.94	0.92
KN805750.1	122065	0.94	0.97	0.92	0.80	0.92	0.88	0.90
KN805750.1	122071	0.91	0.93	0.89	0.92	0.89	0.79	0.82
KN805750.1	122078	0.85	0.93	0.97	0.92	0.83	0.79	0.84
KN805753.1	51744	0.80	0.75	0.55	0.97	0.95	0.96	0.86
KN805755.1	153951	0.28	0.32	0.29	0.31	0.61	0.48	0.30
KN805755.1	234670	0.63	0.87	1.00	0.71	0.94	0.93	0.94
KN805755.1	234677	0.52	0.87	1.00	0.92	0.89	0.93	0.75
KN805755.1	234690	0.67	0.80	1.00	0.83	0.97	0.87	0.69
KN805755.1	234709	0.62	0.67	1.00	0.92	0.97	0.87	0.94
KN805756.1	107512	0.90	0.75	0.42	0.30	0.33	0.84	1.00
KN805756.1	475880	0.70	0.22	0.10	0.42	0.83	0.83	0.20
KN805758.1	5626	0.67	0.34	0.59	0.32	0.58	0.78	0.35
KN805758.1	59822	0.89	0.60	0.47	0.60	0.63	0.31	0.98
KN805758.1	268610	0.80	0.17	0.81	0.16	0.81	0.89	0.65
KN805758.1	268650	0.82	0.26	0.64	0.95	0.93	0.90	0.96
KN805758.1	469348	0.74	1.00	1.00	1.00	0.60	0.81	1.00
KN805758.1	500227	0.74	0.47	0.87	0.71	0.68	0.49	0.86
KN805758.1	500236	0.93	1.00	0.95	1.00	0.69	0.68	0.94
KN805763.1	292882	0.96	0.95	0.59	0.58	0.89	0.78	0.81
KN805763.1	369242	0.86	0.38	1.00	0.90	0.60	0.64	0.78
KN805764.1	129028	0.98	0.98	1.00	0.80	0.88	0.98	0.82
KN805765.1	289404	1.00	0.70	0.94	0.43	0.98	0.97	1.00
KN805766.1	215230	0.77	0.98	0.93	0.46	0.95	0.65	0.93
KN805768.1	36831	0.86	0.45	0.62	0.72	0.67	0.39	0.90
KN805776.1	253072	0.58	0.76	0.52	0.41	0.73	0.75	0.78
KN805776.1	253078	0.44	0.76	0.62	0.56	0.73	0.56	0.79
KN805776.1	290467	0.66	0.15	0.14	0.24	0.73	0.72	0.33
KN805776.1	425973	0.97	0.67	0.34	0.82	0.52	0.93	0.96
KN805776.1	425989	1.00	0.94	1.00	1.00	1.00	0.97	1.00
KN805776.1	425995	0.92	1.00	1.00	0.86	1.00	1.00	0.88
KN805776.1	425999	0.92	1.00	1.00	1.00	0.96	0.97	1.00
KN805776.1	426003	1.00	0.80	0.90	1.00	0.62	0.85	0.83
KN805780.1	238445	0.65	0.57	0.74	0.57	0.94	0.69	0.36
KN805781.1	185614	0.67	0.87	1.00	0.70	0.97	0.93	0.94
KN805781.1	185621	0.57	0.87	1.00	0.91	0.93	0.93	0.75
KN805781.1	185634	0.70	0.80	1.00	0.83	0.56	0.87	0.69
KN805781.1	185653	0.66	0.67	1.00	0.91	0.56	0.81	0.79
KN805783.1	72192	0.93	0.99	1.00	0.99	1.00	1.00	1.00
KN805785.1	131847	0.62	0.25	0.51	0.38	0.71	0.66	0.50
KN805785.1	131857	0.72	0.33	0.72	0.46	0.75	0.77	0.50
KN805785.1	158568	0.61	0.61	0.42	0.32	0.40	0.60	0.56
KN805786.1	12792	0.25	0.55	0.67	0.57	0.29	0.42	0.30
KN805786.1	12801	0.33	0.30	0.75	0.25	0.13	0.26	0.82
KN805787.1	177263	0.78	0.85	0.64	0.96	0.22	0.91	0.91
KN805787.1	321503	0.71	0.40	0.64	0.38	0.89	0.41	0.81
KN805789.1	30275	0.93	0.96	0.12	0.42	0.73	0.63	0.95
KN805789.1	106287	0.73	0.18	0.10	0.38	0.75	0.64	0.22
KN805792.1	275392	0.79	0.34	0.54	0.29	0.55	0.48	0.57
KN805792.1	297107	0.79	0.27	0.48	0.91	0.30	0.79	0.78
KN805795.1	416180	0.62	0.30	0.51	0.15	0.70	0.66	0.48
KN805795.1	416190	0.72	0.20	0.72	0.82	0.73	0.74	0.48
KN805796.1	385693	0.78	0.90	0.92	0.72	0.62	0.97	0.81
KN805796.1	385699	0.77	0.95	0.92	0.62	0.58	0.90	0.88
KN805796.1	385704	0.93	1.00	1.00	0.69	0.74	0.97	0.92
KN805796.1	385706	0.76	0.95	0.83	0.66	0.57	0.97	0.82
KN805796.1	385738	0.90	0.70	1.00	0.90	0.66	0.91	0.88
KN805796.1	385819	0.77	0.76	0.64	0.87	0.70	0.92	0.90
KN805798.1	232317	0.96	0.59	1.00	0.69	0.80	0.94	0.96
KN805798.1	232349	0.93	0.86	0.98	0.36	0.83	0.59	0.62
KN805798.1	232351	0.96	0.71	1.00	0.77	0.83	0.94	0.74
KN805798.1	232356	0.96	1.00	1.00	0.97	1.00	0.97	1.00
KN805799.1	123324	0.53	0.67	1.00	1.00	0.98	0.96	0.98
KN805801.1	13963	0.91	0.12	1.00	1.00	0.74	0.97	0.79
KN805801.1	104784	0.62	0.30	0.51	0.42	0.68	0.66	0.48
KN805801.1	104794	0.72	0.20	0.72	0.50	0.71	0.74	0.48
KN805802.1	153993	0.86	0.44	0.58	0.95	0.57	0.59	0.71
KN805802.1	365537	0.29	0.56	0.79	0.67	0.38	0.44	0.16
KN805806.1	202789	0.78	0.84	0.68	0.78	0.82	0.88	0.91
KN805806.1	202796	0.56	0.47	0.57	0.61	0.69	0.42	0.94
KN805807.1	268892	0.81	1.00	0.23	0.84	0.88	0.60	0.91
KN805809.1	251151	0.70	0.19	0.91	0.42	0.45	0.19	0.70
KN805810.1	406757	0.73	0.73	0.82	0.98	0.60	1.00	0.70
KN805811.1	115871	0.75	0.78	1.00	1.00	0.99	0.98	0.98
KN805813.1	52112	0.75	0.90	1.00	1.00	0.99	0.98	0.98
KN805813.1	135717	0.86	0.64	0.91	0.47	0.93	0.91	0.75
KN805813.1	135749	0.84	0.73	1.00	0.80	0.74	0.91	0.86
