[INFO]	Tue Apr 5, 6:1:14, 2022	Start mapping
[SYSTEM CALL] 	Tue Apr 5, 6:1:14, 2022	 segemehl.x -s -d /naluru/Killifish/Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.dna.toplevel.fa.gz -i /naluru/Killifish/Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.dna.toplevel.ctidx -j /naluru/Killifish/Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.dna.toplevel.gaidx -F 2 -t 16 -q /scratch/02-trimgalore/190626_I114_FCH7TVNBBXY_L3_5-N3_1_val_1.fq.gz -u /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.unmapped -o /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.sam -p /scratch/02-trimgalore/190626_I114_FCH7TVNBBXY_L3_5-N3_2_val_2.fq.gz >>/scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.mapping.log 2>&1

[INFO]	Tue Apr 5, 8:25:40, 2022	Exclude reads from sam file (/scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.sam) and convert nonexcluded and excluded output to bam files (/scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.bam and /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.excluded.bam)
[SYSTEM CALL] 	Tue Apr 5, 8:52:21, 2022	 remove /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.sam
[INFO]	Tue Apr 5, 8:52:21, 2022	Gzip unmapped out file
[SYSTEM CALL] 	Tue Apr 5, 8:52:21, 2022	 gzip -f /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.unmapped >>/scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.mapping.log 2>&1

[INFO]	Tue Apr 5, 8:59:7, 2022	Index regular bam file
[SYSTEM CALL] 	Tue Apr 5, 8:59:7, 2022	 samtools index /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.bam >>/scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.mapping.log 2>&1

[INFO]	Tue Apr 5, 8:59:48, 2022	Index excluded bam file
[SYSTEM CALL] 	Tue Apr 5, 8:59:48, 2022	 samtools index /scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.excluded.bam >>/scratch/03-mapping/mapped/190626_I114_FCH7TVNBBXY_L3_5-N3.mapping.log 2>&1

SEGEMEHL] Tue Apr  5 06:03:38 2022: read suffix array '/naluru/Killifish/Fundulus_heteroclitus.Fundulus_heteroclitus-3.0.2.dna.toplevel.ctidx' with 1021908740 elements.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: reading the suffix array has taken 14.000000 seconds.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: starting 16 threads.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502489 reads in thread 0.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 1.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 2.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 3.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 4.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 5.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 6.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 7.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 8.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 9.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 10.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 11.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 12.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 13.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 14.
[SEGEMEHL] Tue Apr  5 06:55:08 2022: 1502400 reads in thread 15.
[SEGEMEHL] Tue Apr  5 07:49:01 2022: threaded matching w/ suffixarray has taken 3233.000000 seconds.
[SEGEMEHL] Tue Apr  5 07:49:01 2022: Merging bisulfite bin 0.
[SEGEMEHL] Tue Apr  5 07:50:45 2022: Merging bisulfite bin 1.
[SEGEMEHL] Tue Apr  5 07:52:29 2022: Merging bisulfite bin 2.
[SEGEMEHL] Tue Apr  5 07:54:13 2022: Merging bisulfite bin 3.
[SEGEMEHL] Tue Apr  5 07:55:57 2022: Merging bisulfite bin 4.
[SEGEMEHL] Tue Apr  5 07:57:41 2022: Merging bisulfite bin 5.
[SEGEMEHL] Tue Apr  5 07:59:26 2022: Merging bisulfite bin 6.
[SEGEMEHL] Tue Apr  5 08:01:12 2022: Merging bisulfite bin 7.
[SEGEMEHL] Tue Apr  5 08:02:59 2022: Merging bisulfite bin 8.
[SEGEMEHL] Tue Apr  5 08:04:44 2022: Merging bisulfite bin 9.
[SEGEMEHL] Tue Apr  5 08:06:30 2022: Merging bisulfite bin 10.
[SEGEMEHL] Tue Apr  5 08:08:14 2022: Merging bisulfite bin 11.
[SEGEMEHL] Tue Apr  5 08:09:55 2022: Merging bisulfite bin 12.
[SEGEMEHL] Tue Apr  5 08:11:42 2022: Merging bisulfite bin 13.
[SEGEMEHL] Tue Apr  5 08:13:27 2022: Merging bisulfite bin 14.
[SEGEMEHL] Tue Apr  5 08:15:15 2022: Merging bisulfite bin 15.
[SEGEMEHL] Tue Apr  5 08:25:40 2022: 
Goodbye.
 "Nochn' schoenes Bier verhaften?" (M. Mosisch)
[bam_sort_core] merging from 4 files...
