chr	pos	N_20-N4	N_5-N1	N_5-N2	N_20-N2	N_5-N3	N_20-N1	N_OC-N5	N_OC-N1	N_OC-N2	N_OC-N4	S_20-S1	S_20-S3	S_20-S4	S_5-S3	S_5-S4	S_5-S2	S_20-S2	S_5-S1	S_OC-S1	S_OC-S2	S_OC-S3	S_OC-S5
JXMV01063716.1	1260	0.00	0.00	0.17	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063716.1	1278	0.00	0.00	0.01	0.00	0.20	0.01	0.00	0.12	0.00	0.00	0.33	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00
JXMV01063728.1	1233	0.00	0.00	0.17	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063728.1	1251	0.00	0.00	0.01	0.00	0.20	0.01	0.00	0.12	0.00	0.00	0.33	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00
JXMV01064136.1	4980	0.00	0.00	0.00	0.14	0.00	0.04	0.27	0.01	0.00	0.00	0.09	0.01	0.00	0.06	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064137.1	19710	0.74	1.00	0.50	0.71	0.25	0.00	1.00	0.78	0.99	1.00	0.83	0.94	0.63	0.99	0.92	1.00	0.00	0.99	0.68	0.83	0.66	0.01
JXMV01064145.1	149	0.26	0.07	0.03	0.03	0.03	0.01	0.41	0.18	0.02	0.13	0.39	0.23	0.02	0.13	0.06	0.03	0.04	0.03	0.04	0.23	0.01	0.00
JXMV01064156.1	67	0.27	0.16	0.09	0.06	0.38	0.03	0.03	0.31	0.12	0.63	0.69	0.20	0.19	0.24	0.33	0.44	0.00	0.37	0.08	0.14	0.20	0.00
JXMV01064168.1	10374	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.14	0.00
JXMV01064168.1	10385	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10387	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10389	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10395	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10416	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00
JXMV01064168.1	10420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064168.1	10799	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10804	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
JXMV01064168.1	10810	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064169.1	4885	0.03	0.00	0.25	0.10	0.23	0.14	0.29	0.17	0.29	0.13	0.02	0.07	0.01	0.24	0.07	0.19	0.00	0.08	0.21	0.02	0.04	0.07
JXMV01064171.1	2672	0.18	0.17	0.16	0.13	0.26	0.07	0.18	0.19	0.10	0.16	0.17	0.19	0.16	0.11	0.18	0.17	0.24	0.24	0.14	0.04	0.23	0.05
JXMV01064171.1	3112	0.93	0.76	1.00	0.73	0.86	0.58	0.88	0.84	0.91	0.88	0.95	0.40	0.94	0.91	0.96	0.78	1.00	0.69	0.88	0.92	0.90	1.00
JXMV01064171.1	9539	0.88	0.89	0.71	0.81	0.80	0.64	0.59	0.17	0.75	0.44	0.90	0.52	0.96	0.68	0.96	0.96	0.15	1.00	0.66	0.93	0.91	1.00
JXMV01064186.1	3333	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3350	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3362	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064187.1	1966	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.00	0.01	0.01	0.01	0.00	0.03	0.00	0.01	0.00	0.00	0.00
JXMV01064187.1	2011	0.12	0.00	0.01	0.01	0.02	0.06	0.15	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.01	0.00	0.00	0.00
JXMV01064187.1	2016	0.01	0.00	0.00	0.01	0.00	0.00	0.13	0.00	0.00	0.24	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064187.1	2027	0.30	0.14	0.00	0.01	0.00	0.00	0.15	0.05	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.12	0.01	0.00	0.00	0.04	0.00
JXMV01064193.1	10201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064193.1	10212	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
JXMV01064193.1	10217	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.07	0.01
JXMV01064193.1	10308	0.00	0.24	0.00	0.08	0.13	0.00	0.24	0.24	0.12	0.21	0.12	0.00	0.35	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.07	0.00
JXMV01064201.1	169	0.09	0.00	0.00	0.21	0.18	0.00	0.00	0.00	0.00	0.00	0.16	0.11	0.00	0.00	0.12	0.09	0.00	0.99	0.00	0.00	0.00	0.00
JXMV01064201.1	174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.11	0.60	0.00	0.00
JXMV01064201.1	183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	190	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	197	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.13	0.00	0.00	0.00
JXMV01064201.1	238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.01	0.00	0.00	0.31	0.00	0.00	0.00	0.02	0.00	0.00	0.00
JXMV01064205.1	4583	0.25	0.32	0.47	0.41	0.31	0.91	0.23	0.47	0.70	0.19	0.35	0.60	0.54	0.62	0.65	0.11	0.10	0.22	0.52	0.20	0.52	0.97
JXMV01064212.1	9613	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064212.1	9819	0.10	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
JXMV01064234.1	3324	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.16	0.00	0.00	0.00	0.02	0.06	0.00	0.00	0.00	0.00	0.00
JXMV01064273.1	7414	0.52	0.73	0.30	0.31	0.55	1.00	0.08	0.64	0.19	0.44	0.58	0.50	0.29	0.52	0.49	0.46	0.00	0.83	0.62	0.21	0.48	0.03
JXMV01064295.1	20	0.57	0.97	0.86	0.69	0.85	0.78	0.50	0.81	0.61	0.77	0.88	0.86	0.97	0.97	0.97	0.61	0.15	0.97	0.97	1.00	0.93	0.00
JXMV01064316.1	119	0.55	0.30	0.18	0.04	0.09	0.02	0.11	0.82	0.12	0.10	0.70	0.27	0.17	0.57	0.67	0.39	0.05	0.39	0.31	0.00	0.44	0.08
JXMV01064316.1	167	0.34	0.63	0.47	0.06	0.32	0.00	0.06	0.22	0.01	0.28	0.58	0.49	0.33	0.24	0.60	0.13	0.63	0.09	0.71	0.42	0.34	0.00
JXMV01064344.1	86	0.00	0.28	0.00	0.00	0.35	0.03	0.00	0.01	0.02	0.27	0.08	0.03	0.01	0.00	0.01	0.33	0.00	0.00	0.02	0.03	0.35	0.75
JXMV01064357.1	3684	0.08	0.04	0.23	0.05	0.06	0.00	0.06	0.13	0.19	0.12	0.52	0.09	0.02	0.03	0.07	0.07	0.30	0.00	0.01	0.12	0.11	0.00
JXMV01064358.1	5875	0.00	0.00	0.00	0.00	0.01	0.00	0.06	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	6003	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064381.1	2126	0.47	0.70	0.73	0.91	0.70	0.99	0.94	0.93	0.59	0.79	0.72	0.99	0.50	0.00	1.00	0.05	0.00	0.02	0.58	0.02	0.51	0.01
JXMV01064381.1	2147	0.40	0.97	0.99	0.95	0.77	0.98	0.87	0.74	0.70	0.75	0.82	0.97	0.82	0.94	1.00	0.73	1.00	0.98	0.80	1.00	0.88	0.97
JXMV01064385.1	5655	0.00	0.21	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00
JXMV01064385.1	5678	0.00	0.00	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5821	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5828	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064385.1	5834	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064449.1	74	0.50	0.35	0.47	0.75	0.21	1.00	0.71	0.34	0.21	0.74	0.66	0.06	0.64	0.31	0.96	0.67	0.00	1.00	0.68	0.65	0.49	0.00
JXMV01064456.1	1350	0.52	0.37	0.20	0.04	0.19	0.02	0.05	0.83	0.42	0.13	0.70	0.25	0.14	0.35	0.70	0.07	0.04	0.95	0.25	0.00	0.44	0.08
JXMV01064469.1	151	0.78	0.88	0.97	0.93	0.67	1.00	0.17	0.70	0.78	0.78	0.76	0.80	0.66	0.88	0.87	0.56	0.18	0.13	0.75	0.93	0.86	0.01
JXMV01064487.1	4207	0.05	0.00	0.12	0.00	0.00	0.00	0.11	0.00	0.08	0.00	0.01	0.20	0.00	0.07	0.00	0.11	0.00	0.00	0.08	0.00	0.01	0.00
JXMV01064509.1	3473	0.81	0.92	0.73	0.73	0.91	1.00	0.65	0.91	0.66	0.88	0.84	0.75	0.84	0.94	0.74	0.92	0.67	1.00	0.89	1.00	0.92	1.00
JXMV01064573.1	1859	0.02	0.39	0.18	0.17	0.05	0.86	0.53	0.41	0.14	0.42	0.64	0.27	0.41	0.39	0.29	0.30	0.04	0.02	0.16	0.23	0.24	0.00
JXMV01064574.1	2523	0.20	0.49	0.32	0.21	0.23	0.00	0.21	0.14	0.36	0.56	0.29	0.30	0.45	0.13	0.26	0.36	0.40	0.66	0.24	0.07	0.44	0.03
JXMV01064574.1	2571	0.96	0.80	1.00	1.00	1.00	0.94	1.00	0.83	1.00	1.00	1.00	1.00	0.92	0.89	1.00	1.00	1.00	1.00	1.00	1.00	0.94	0.07
JXMV01064587.1	251	0.84	0.79	0.48	0.71	0.37	1.00	0.53	0.85	0.48	0.71	0.83	0.76	0.94	0.68	0.81	0.68	1.00	0.92	0.82	0.65	0.69	0.96
JXMV01064587.1	290	0.82	0.97	0.99	0.96	0.86	1.00	1.00	0.75	0.51	0.95	0.94	0.92	1.00	0.88	0.97	0.66	1.00	0.99	0.95	0.74	0.83	0.96
JXMV01064593.1	3639	0.37	0.54	0.00	0.32	0.00	0.00	0.71	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.15	0.51	0.06	0.10
JXMV01064601.1	2626	0.10	0.82	0.17	0.41	0.19	0.33	0.19	0.51	0.15	0.16	0.37	0.11	0.39	0.14	0.35	0.19	0.14	0.23	0.24	0.15	0.22	0.36
JXMV01064601.1	2647	0.02	0.75	0.38	0.66	0.04	0.00	0.61	0.00	0.01	0.65	0.03	0.00	0.00	0.05	0.04	0.03	0.00	0.00	0.02	0.00	0.05	0.00
JXMV01064610.1	2075	0.72	0.99	0.80	0.12	0.87	0.57	0.35	0.64	0.47	0.68	0.58	0.71	0.79	0.85	0.89	0.33	0.00	0.81	0.94	0.50	0.80	0.97
JXMV01064632.1	3842	0.20	0.53	0.60	0.24	0.34	0.05	0.38	0.02	0.03	0.17	0.70	0.33	0.39	0.36	0.62	0.31	0.71	0.01	0.39	0.05	0.20	0.68
JXMV01064632.1	3890	0.22	0.55	0.33	0.35	0.12	0.02	0.06	0.76	0.05	0.03	0.50	0.03	0.01	0.30	0.14	0.00	0.05	0.01	0.06	0.05	0.16	0.04
JXMV01064648.1	1731	0.22	0.60	0.38	0.21	0.39	0.00	0.18	0.17	0.45	0.69	0.41	0.43	0.58	0.10	0.22	0.36	0.40	0.64	0.49	0.06	0.48	0.04
JXMV01064648.1	1779	1.00	0.80	1.00	1.00	1.00	0.89	1.00	0.85	1.00	1.00	1.00	1.00	1.00	0.89	0.94	1.00	1.00	1.00	1.00	1.00	0.94	0.07
JXMV01064659.1	1586	0.27	0.04	0.22	0.01	0.01	0.09	0.00	0.00	0.09	0.35	0.00	0.01	0.20	0.26	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064731.1	1831	0.18	0.16	0.57	0.04	0.54	0.04	0.19	0.30	0.15	0.83	0.14	0.27	0.61	0.72	0.83	0.24	0.57	0.75	0.36	0.15	0.70	0.73
JXMV01064769.1	4149	0.09	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.15	0.23	0.00	0.00	0.00	0.00	0.00	0.12	0.01	0.00	0.15	0.00
JXMV01064769.1	4151	0.46	0.67	0.23	0.91	0.66	1.00	0.64	0.19	0.72	0.63	0.40	0.76	0.60	0.81	0.69	0.94	0.67	0.67	0.68	1.00	0.77	1.00
JXMV01064913.1	2676	0.04	0.59	0.28	0.13	0.14	0.10	0.04	0.04	0.71	0.06	0.66	0.11	0.12	0.87	0.81	0.29	0.14	0.25	0.49	0.14	0.27	0.09
JXMV01064913.1	2890	0.02	0.18	0.13	0.45	0.00	0.03	0.00	0.01	0.19	0.10	0.03	0.01	0.03	0.03	0.18	0.24	0.06	0.40	0.05	0.25	0.25	0.00
JXMV01064943.1	2846	0.21	0.02	0.01	0.00	0.00	0.02	0.34	0.14	0.01	0.02	0.04	0.01	0.03	0.07	0.10	0.03	0.00	0.47	0.17	0.02	0.00	0.00
JXMV01064944.1	2556	0.88	0.88	0.87	0.81	0.68	1.00	0.89	0.87	0.65	0.92	0.82	0.71	0.83	0.96	0.82	0.70	0.65	0.63	0.92	1.00	0.81	0.42
JXMV01064944.1	2573	0.74	0.92	0.75	0.75	0.64	1.00	0.64	0.78	0.64	0.83	0.88	0.67	0.84	0.99	0.75	0.86	0.65	1.00	0.91	1.00	0.89	1.00
JXMV01064949.1	42	0.21	0.02	0.02	0.06	0.03	0.02	0.38	0.14	0.02	0.03	0.04	0.01	0.04	0.10	0.10	0.06	0.03	0.26	0.17	0.02	0.04	0.00
JXMV01064994.1	12	0.12	0.00	0.00	0.02	0.07	0.02	0.04	0.86	0.07	0.00	0.67	0.08	0.00	0.37	0.00	0.05	0.02	0.05	0.10	0.00	0.26	0.08
JXMV01064994.1	60	0.55	0.62	0.74	0.00	0.49	0.00	0.07	0.39	0.03	0.79	0.62	0.47	0.19	0.43	0.79	0.84	1.00	0.07	0.89	0.78	0.47	0.00
JXMV01065031.1	21	0.07	0.04	0.53	0.07	0.39	0.21	0.01	0.00	0.05	0.14	0.08	0.46	0.44	0.11	0.30	0.00	0.00	0.06	0.14	0.07	0.03	0.00
JXMV01065031.1	51	0.02	0.06	0.54	0.10	0.03	0.20	0.03	0.08	0.00	0.00	0.07	0.45	0.06	0.11	0.27	0.07	0.00	0.06	0.21	0.05	0.14	0.00
JXMV01065031.1	66	0.16	0.06	0.46	0.07	0.36	0.22	0.15	0.02	0.08	0.11	0.08	0.36	0.44	0.16	0.23	0.03	0.00	0.06	0.18	0.03	0.17	0.07
JXMV01065031.1	178	0.10	0.00	0.00	0.01	0.00	0.00	0.21	0.61	0.00	0.00	0.00	0.10	0.00	0.01	0.02	0.00	0.99	0.00	0.01	0.00	0.00	0.00
JXMV01065031.1	181	0.00	0.00	0.00	0.07	0.00	0.00	0.21	0.62	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.99	0.00	0.01	0.00	0.00	0.00
JXMV01065031.1	184	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.01	0.00
JXMV01065031.1	195	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.01	0.00	0.13	0.00	0.00	0.00
JXMV01065060.1	4757	0.75	0.52	0.56	0.07	0.52	0.07	0.14	0.73	0.08	0.60	0.60	0.75	0.84	0.89	0.80	0.08	0.00	0.11	0.85	0.70	0.58	0.06
JXMV01065060.1	4772	0.78	0.28	0.49	0.04	0.62	0.11	0.10	0.84	0.08	0.40	0.71	0.83	0.92	0.47	0.86	0.02	0.00	0.17	0.88	0.82	0.12	0.12
JXMV01065060.1	4773	0.36	0.41	0.63	0.07	0.45	0.00	0.21	0.04	0.00	0.10	0.04	0.45	0.07	0.04	0.37	0.51	0.09	0.03	0.22	0.00	0.53	0.00
JXMV01065060.1	4788	0.41	0.44	0.66	0.13	0.43	0.14	0.07	0.30	0.02	0.02	0.12	0.47	0.11	0.00	0.35	0.52	0.00	0.03	0.22	0.05	0.51	0.00
JXMV01065103.1	4514	0.82	0.99	0.99	0.98	0.83	1.00	1.00	0.76	0.52	0.95	0.86	0.92	1.00	0.92	0.97	0.66	1.00	0.99	0.97	0.75	0.86	0.92
JXMV01065103.1	4553	0.84	0.77	0.58	0.86	0.46	1.00	0.65	0.87	0.44	0.70	0.73	0.78	0.94	0.79	0.83	0.63	1.00	1.00	0.83	0.64	0.76	1.00
JXMV01065213.1	1314	0.03	0.20	0.06	0.16	0.09	0.00	0.41	0.04	0.03	0.19	0.00	0.25	0.14	0.14	0.25	0.11	0.77	0.01	0.15	0.09	0.16	0.05
JXMV01065437.1	143	0.03	0.51	0.18	0.01	0.01	0.00	0.03	0.00	0.00	0.08	0.25	0.30	0.24	0.45	0.42	0.04	0.04	0.06	0.05	0.42	0.29	0.00
JXMV01065455.1	875	0.43	0.48	0.57	0.37	0.09	0.06	0.32	0.31	0.12	0.51	0.35	0.06	0.27	0.61	0.62	0.36	0.12	0.22	0.59	0.17	0.55	0.02
