chr	pos	20_20-N4	20_20-N2	20_20-N1	OC_OC-N5	OC_OC-N1	OC_OC-N2	OC_OC-N4
JXMV01064810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064810.1:1:5344:1 REF	69	0.55	0.23	0.73	0.85	0.95	0.78	0.91
JXMV01064810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064810.1:1:5344:1 REF	91	0.61	0.23	0.91	0.53	0.98	0.94	0.89
JXMV01064810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064810.1:1:5344:1 REF	104	0.66	0.96	0.82	0.58	0.48	0.91	0.89
JXMV01064810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064810.1:1:5344:1 REF	107	0.71	1.00	0.82	0.56	0.97	0.86	0.52
JXMV01064913.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064913.1:1:5301:1 REF	3462	0.51	0.60	0.47	0.56	0.64	0.29	0.99
JXMV01065086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065086.1:1:4806:1 REF	4588	0.99	0.85	0.84	0.85	0.78	0.95	0.89
JXMV01065086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065086.1:1:4806:1 REF	4596	0.73	0.56	0.96	0.96	0.82	0.39	0.91
JXMV01065086.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065086.1:1:4806:1 REF	4604	0.69	0.56	0.96	0.92	0.71	0.93	0.72
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	595	0.51	0.96	0.95	0.80	0.89	0.98	0.90
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2623	0.86	1.00	1.00	0.94	1.00	0.94	0.91
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2657	0.86	1.00	1.00	0.88	0.83	0.84	0.91
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2662	0.79	0.70	1.00	0.88	0.96	0.90	0.84
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1722	0.86	0.21	0.90	0.75	0.93	0.92	0.35
JXMV01065760.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065760.1:1:1667:1 REF	252	0.98	0.42	0.96	0.93	1.00	0.95	0.98
JXMV01065760.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065760.1:1:1667:1 REF	285	0.91	0.54	1.00	0.87	0.89	1.00	0.86
JXMV01066217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066217.1:1:1323:1 REF	689	0.94	0.91	0.17	0.89	1.00	0.62	0.79
JXMV01066217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066217.1:1:1323:1 REF	705	0.96	1.00	1.00	0.89	0.68	0.75	0.98
JXMV01067159.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067159.1:1:1122:1 REF	184	0.69	0.70	0.42	0.38	0.66	0.43	0.77
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	43179	0.48	0.52	0.73	0.53	0.50	0.67	0.60
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	448829	0.75	0.78	1.00	1.00	0.99	0.96	0.98
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	642058	0.75	0.83	1.00	1.00	0.99	0.93	0.98
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2931607	0.33	0.27	0.26	0.61	0.39	0.30	0.18
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	5853967	0.87	0.69	0.81	0.75	0.87	0.80	0.94
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	5853974	0.90	0.85	0.86	0.67	0.88	0.87	0.86
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	5854016	0.86	0.83	0.89	1.00	1.00	0.91	0.94
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	5854024	0.66	1.00	0.89	0.82	0.91	0.43	0.97
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	1085512	0.79	1.00	0.90	0.50	0.85	0.62	0.80
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	1759008	0.67	0.80	1.00	1.00	0.56	0.66	0.60
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	4004692	0.90	0.50	0.65	0.69	0.92	0.65	0.80
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	5866562	0.86	0.91	0.93	0.70	1.00	1.00	0.90
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	5866574	1.00	1.00	0.98	0.90	0.97	1.00	0.93
KN805529.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805529.1:1:785215:1 REF	226848	1.00	0.44	1.00	1.00	0.50	1.00	1.00
KN805529.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805529.1:1:785215:1 REF	226853	1.00	0.43	0.90	1.00	0.96	0.99	1.00
KN805529.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805529.1:1:785215:1 REF	646654	0.80	0.88	1.00	0.91	1.00	0.84	0.90
KN805529.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805529.1:1:785215:1 REF	646663	0.83	0.91	1.00	0.82	1.00	0.91	0.82
KN805529.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805529.1:1:785215:1 REF	646665	0.83	0.91	1.00	0.82	1.00	0.87	0.94
KN805530.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805530.1:1:807053:1 REF	453250	0.77	0.73	0.47	0.64	0.74	0.84	0.69
KN805533.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805533.1:1:798570:1 REF	389505	0.98	0.77	0.96	0.92	1.00	0.93	0.98
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	414192	0.79	0.77	0.89	0.69	1.00	0.94	0.87
KN805539.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805539.1:1:808517:1 REF	54207	0.66	0.60	1.00	0.88	0.97	0.82	0.87
KN805539.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805539.1:1:808517:1 REF	54226	0.62	0.80	1.00	0.81	0.97	0.82	0.62
KN805539.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805539.1:1:808517:1 REF	54239	0.55	0.87	1.00	0.88	0.94	0.94	0.69
KN805539.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805539.1:1:808517:1 REF	54246	0.59	0.93	1.00	0.73	0.98	0.94	0.92
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	149802	0.93	0.59	1.00	1.00	0.81	1.00	0.93
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	314270	0.14	0.14	0.13	0.12	0.20	0.11	0.24
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649966	0.85	0.98	0.42	0.85	0.92	0.70	0.95
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649983	0.63	0.47	0.96	0.69	0.75	0.78	0.81
KN805543.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805543.1:1:790514:1 REF	43737	1.00	1.00	1.00	1.00	1.00	1.00	0.49
KN805543.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805543.1:1:790514:1 REF	43740	1.00	0.42	1.00	1.00	0.50	1.00	1.00
KN805543.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805543.1:1:790514:1 REF	43749	0.86	0.96	0.85	1.00	0.92	0.98	0.90
KN805545.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805545.1:1:869589:1 REF	129085	0.73	0.84	0.27	0.52	0.92	0.75	0.83
KN805549.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805549.1:1:778336:1 REF	381279	0.86	0.89	0.98	0.86	0.75	0.95	0.73
KN805549.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805549.1:1:778336:1 REF	381286	0.82	0.85	0.84	0.73	0.42	0.87	1.00
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	1982	0.83	0.80	0.51	0.38	0.74	0.80	0.78
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	1992	0.87	0.82	0.72	0.46	0.76	0.48	0.78
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	144848	0.98	0.12	0.57	0.38	0.56	0.51	0.82
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	514178	0.96	0.75	0.18	0.92	0.60	0.67	0.89
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	695566	0.75	0.83	1.00	1.00	0.97	0.95	0.98
KN805554.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805554.1:1:822750:1 REF	336044	0.81	0.50	0.95	0.94	0.40	0.90	0.96
KN805554.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805554.1:1:822750:1 REF	336063	0.96	0.93	0.39	0.94	0.91	0.50	0.21
KN805555.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805555.1:1:784597:1 REF	91133	0.75	0.91	1.00	1.00	0.99	0.95	0.98
KN805559.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805559.1:1:825163:1 REF	228492	1.00	0.37	1.00	1.00	0.73	1.00	1.00
KN805559.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805559.1:1:825163:1 REF	228499	1.00	0.36	1.00	1.00	0.29	1.00	1.00
KN805559.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805559.1:1:825163:1 REF	228503	1.00	0.36	0.99	1.00	1.00	1.00	1.00
KN805559.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805559.1:1:825163:1 REF	228505	1.00	0.36	1.00	1.00	0.98	1.00	1.00
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469415	0.88	0.80	1.00	0.78	0.86	0.97	0.76
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469421	0.87	0.70	0.81	0.72	0.78	0.95	0.93
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469426	0.88	0.77	1.00	0.84	0.94	0.94	0.89
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469428	0.84	0.63	1.00	0.97	0.92	0.70	0.88
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469460	0.83	0.57	0.95	0.56	0.88	0.85	0.83
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	782312	0.11	0.76	0.60	0.45	0.48	0.67	0.47
KN805566.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805566.1:1:757859:1 REF	681732	0.61	0.62	0.47	0.70	0.64	0.67	0.24
KN805567.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805567.1:1:773761:1 REF	646782	0.34	0.47	0.41	0.65	0.46	0.48	0.39
KN805569.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805569.1:1:817884:1 REF	566955	0.61	0.72	0.76	0.47	0.64	0.65	0.69
KN805571.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805571.1:1:727099:1 REF	57429	0.73	0.18	0.10	0.42	0.89	0.73	0.55
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	284261	0.49	0.46	0.33	0.86	0.57	0.45	0.40
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	733898	0.57	0.82	0.57	0.64	0.75	0.87	0.73
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	733906	0.95	0.81	0.97	1.00	0.72	0.96	0.93
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	739160	0.58	0.68	1.00	0.96	0.90	0.83	0.68
KN805574.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805574.1:1:762438:1 REF	159152	0.87	0.95	0.38	0.94	0.28	0.54	0.95
KN805574.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805574.1:1:762438:1 REF	159156	0.82	1.00	1.00	0.98	0.97	0.96	0.97
KN805575.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805575.1:1:752366:1 REF	138733	0.97	0.93	0.93	0.90	1.00	0.63	0.87
KN805577.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805577.1:1:753928:1 REF	628014	0.73	0.43	0.68	0.77	0.97	0.97	0.87
KN805578.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805578.1:1:732778:1 REF	721391	0.75	1.00	1.00	0.57	0.81	0.81	0.99
KN805578.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805578.1:1:732778:1 REF	721433	0.42	1.00	1.00	0.79	0.79	0.81	0.44
KN805579.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805579.1:1:797159:1 REF	32093	0.48	0.53	0.22	0.33	0.55	0.64	0.44
KN805580.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805580.1:1:842474:1 REF	37256	0.10	0.19	0.11	0.11	0.50	0.29	0.18
KN805583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805583.1:1:713213:1 REF	710213	0.62	0.83	0.51	0.42	0.72	0.66	0.78
KN805583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805583.1:1:713213:1 REF	710223	0.72	0.81	0.72	0.50	0.76	0.74	0.77
KN805583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805583.1:1:713213:1 REF	710703	0.61	0.70	0.23	0.96	0.93	0.83	0.68
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509492	0.62	0.41	0.67	0.71	0.58	0.67	0.52
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509503	0.90	1.00	1.00	0.71	0.72	0.84	1.00
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509586	0.62	0.40	0.65	0.70	0.59	0.69	0.49
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509597	0.91	1.00	1.00	0.77	0.71	0.85	1.00
KN805585.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805585.1:1:747059:1 REF	38362	0.95	0.87	0.82	0.83	0.82	1.00	0.87
KN805585.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805585.1:1:747059:1 REF	38370	0.92	0.80	0.64	0.89	0.82	0.97	0.86
KN805585.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805585.1:1:747059:1 REF	676133	0.80	0.60	0.16	0.59	0.66	0.41	0.42
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709200	0.59	0.72	1.00	0.52	0.62	0.49	0.72
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709208	0.61	0.46	0.42	0.39	0.47	0.38	0.47
KN805600.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805600.1:1:706269:1 REF	641062	0.95	0.33	0.86	0.60	0.14	0.95	0.83
KN805600.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805600.1:1:706269:1 REF	641085	0.81	0.50	0.79	1.00	0.16	0.96	0.85
KN805600.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805600.1:1:706269:1 REF	641087	0.44	0.44	0.86	0.99	0.14	0.42	0.69
KN805602.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805602.1:1:643867:1 REF	550182	0.60	0.62	0.30	0.20	0.39	0.13	0.10
KN805602.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805602.1:1:643867:1 REF	553854	0.73	0.22	0.76	1.00	0.97	0.80	0.94
KN805602.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805602.1:1:643867:1 REF	553860	0.73	0.17	1.00	0.97	0.98	0.79	0.28
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	1076481	0.72	0.45	0.93	0.96	0.88	0.94	0.97
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	1076494	0.74	0.45	0.96	0.96	0.88	0.88	0.95
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	2242709	0.24	0.28	0.10	0.43	0.68	0.74	0.15
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	2829705	0.97	1.00	1.00	0.86	0.52	0.92	0.34
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3049312	0.90	1.00	0.96	0.58	0.21	0.88	0.92
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3094307	0.78	1.00	0.64	0.17	0.83	0.88	0.88
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3126918	0.83	0.38	0.91	0.88	0.81	0.58	0.89
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3126926	0.88	0.96	1.00	0.35	0.86	0.63	0.89
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3252362	0.64	0.42	0.24	0.87	0.54	0.49	0.37
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3252386	0.73	0.63	0.56	0.68	0.85	0.88	0.47
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3354636	0.91	0.60	0.47	0.60	0.40	0.31	0.98
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3687825	0.86	0.43	0.97	0.79	0.95	0.71	0.92
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3944396	0.91	0.96	0.87	0.97	0.50	0.87	0.35
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3944404	0.91	0.98	0.77	1.00	0.86	0.83	0.36
KN805603.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805603.1:1:4079260:1 REF	3944431	0.95	0.99	0.74	1.00	0.71	0.89	0.97
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	2696945	0.67	0.53	1.00	0.91	0.97	0.43	1.00
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	2696964	0.67	0.76	1.00	0.93	1.00	0.40	0.62
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	2696977	0.64	0.88	1.00	0.91	0.92	0.46	0.69
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	2696984	0.67	0.88	1.00	0.88	0.95	0.46	0.92
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	3648207	0.95	0.95	1.00	0.95	0.48	0.90	0.53
KN805604.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805604.1:1:3955291:1 REF	3723645	0.82	0.85	0.67	0.45	0.79	0.91	0.76
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12347	0.87	0.29	0.67	0.94	0.58	0.83	0.84
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12379	0.80	0.24	1.00	1.00	0.65	0.93	0.87
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12381	0.61	0.95	1.00	0.94	0.70	0.57	0.97
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12386	0.62	0.24	1.00	1.00	0.55	0.93	0.87
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	12392	0.83	0.29	0.93	0.97	0.75	0.95	0.90
KN805605.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805605.1:1:692260:1 REF	173419	0.89	0.97	0.55	0.96	0.55	0.91	0.95
KN805607.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805607.1:1:673418:1 REF	412781	0.42	0.71	0.69	0.83	0.93	0.80	0.83
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	104035	0.95	1.00	1.00	0.81	0.96	0.59	1.00
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	104040	0.95	1.00	1.00	0.88	0.88	0.93	0.94
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	104042	0.98	0.97	0.94	0.88	0.88	0.92	0.96
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	104074	0.83	0.97	0.88	0.65	0.81	0.79	0.96
KN805608.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805608.1:1:633421:1 REF	134484	0.47	0.32	0.38	0.45	0.41	0.49	0.52
