chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	OC_OC-S1	OC_OC-S2	OC_OC-S3	OC_OC-S5
JXMV01063326.1	505	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	511	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063326.1	513	0.00	0.00	0.00	0.00	0.00	0.17	0.02	0.00
JXMV01063326.1	516	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00
JXMV01063326.1	519	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00
JXMV01063326.1	526	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00
JXMV01063400.1	412	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	415	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00
JXMV01063400.1	420	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.01
JXMV01063400.1	430	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	433	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	436	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	443	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01063400.1	448	0.20	0.10	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1858	0.20	0.10	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1863	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1870	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1873	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1876	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063401.1	1886	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.01
JXMV01063401.1	1891	0.00	0.00	0.01	0.01	0.00	0.00	0.00	0.00
JXMV01063401.1	1894	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01063716.1	1260	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
JXMV01063716.1	1278	0.33	0.00	0.11	0.00	0.00	0.56	0.00	0.00
JXMV01063728.1	1233	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
JXMV01063728.1	1251	0.33	0.00	0.11	0.00	0.00	0.56	0.00	0.00
JXMV01063733.1	883	0.01	0.00	0.00	0.00	0.09	0.00	0.01	0.00
JXMV01063818.1	883	0.01	0.00	0.00	0.00	0.09	0.00	0.01	0.00
JXMV01064072.1	617	0.00	0.02	0.00	0.00	0.00	0.17	0.00	0.00
JXMV01064072.1	638	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00
JXMV01064072.1	644	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.00
JXMV01064072.1	655	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064077.1	198	0.00	0.00	0.15	0.00	0.00	0.56	0.00	0.00
JXMV01064077.1	203	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064077.1	227	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064077.1	312	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00
JXMV01064134.1	1852	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00
JXMV01064134.1	1867	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.99
JXMV01064134.1	24373	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00
JXMV01064134.1	24398	0.02	0.51	0.00	0.00	0.24	0.48	0.42	0.00
JXMV01064134.1	24407	0.02	0.51	0.26	0.00	0.37	0.00	0.36	0.01
JXMV01064134.1	24516	0.00	0.00	0.00	0.00	0.37	0.27	0.43	0.00
JXMV01064134.1	24527	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00
JXMV01064134.1	39045	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064134.1	39065	0.05	0.00	0.00	0.00	0.00	0.15	0.06	0.00
JXMV01064135.1	15944	0.61	0.12	0.15	0.00	0.00	0.00	0.32	0.00
JXMV01064135.1	15951	0.83	0.21	0.56	0.01	0.19	0.10	0.56	0.00
JXMV01064135.1	15955	0.83	0.00	0.13	0.96	0.00	0.00	0.23	0.01
JXMV01064136.1	4980	0.09	0.01	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	5022	0.01	0.00	0.00	0.00	0.21	0.00	0.14	0.00
JXMV01064136.1	5024	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	5029	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	17038	0.00	0.09	0.00	0.00	0.06	0.31	0.16	0.00
JXMV01064136.1	17044	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00
JXMV01064136.1	20805	0.00	0.00	0.00	1.00	0.01	0.00	0.00	0.00
JXMV01064136.1	20810	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20813	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20815	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20819	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20828	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20840	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20870	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064136.1	20880	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
JXMV01064136.1	20884	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064137.1	19710	0.83	0.94	0.63	0.00	0.68	0.83	0.66	0.01
JXMV01064137.1	19860	0.03	0.06	0.12	0.03	0.07	0.00	0.04	0.00
JXMV01064137.1	19879	0.03	0.06	0.00	0.00	0.00	0.06	0.00	0.00
JXMV01064138.1	13900	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
JXMV01064138.1	13902	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.00
JXMV01064138.1	13907	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
JXMV01064138.1	13913	0.00	0.00	1.00	0.00	0.00	0.00	0.08	0.00
JXMV01064138.1	13917	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00
JXMV01064138.1	13926	0.00	0.00	0.00	1.00	0.00	0.00	0.08	0.00
JXMV01064138.1	14134	0.00	0.00	1.00	0.00	0.01	0.00	0.08	0.00
JXMV01064138.1	14179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	149	0.39	0.23	0.02	0.04	0.04	0.23	0.01	0.00
JXMV01064145.1	4407	0.00	0.01	0.01	0.00	0.43	0.00	0.00	0.00
JXMV01064145.1	4535	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4566	0.00	0.01	0.01	0.01	0.01	0.00	0.00	0.00
JXMV01064145.1	4576	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4580	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4582	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064145.1	4585	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4588	0.00	0.00	0.14	0.01	0.34	0.00	0.00	0.00
JXMV01064145.1	4602	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4604	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4610	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064145.1	4629	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4633	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064145.1	4636	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4639	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4653	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4741	0.00	0.33	0.18	0.00	0.00	0.14	0.03	0.01
JXMV01064145.1	4742	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00
JXMV01064145.1	4750	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4772	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064145.1	4782	0.49	0.00	0.00	0.00	0.00	0.13	0.17	0.00
JXMV01064156.1	67	0.69	0.20	0.19	0.00	0.08	0.14	0.20	0.00
JXMV01064164.1	2255	0.01	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064164.1	4088	0.00	0.00	0.00	0.00	0.12	0.27	0.00	0.00
JXMV01064164.1	4101	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10374	0.00	0.07	0.00	0.00	0.00	0.00	0.14	0.00
JXMV01064168.1	10385	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10387	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10389	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10395	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10416	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.00
JXMV01064168.1	10420	0.00	0.06	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064168.1	10714	0.00	0.00	0.08	0.00	0.00	0.18	0.00	0.00
JXMV01064168.1	10764	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064168.1	10795	0.17	0.20	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10798	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10799	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10803	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10804	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
JXMV01064168.1	10809	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064168.1	10810	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064169.1	4885	0.02	0.07	0.01	0.00	0.21	0.02	0.04	0.07
JXMV01064170.1	11088	0.00	0.00	0.01	0.00	0.12	0.00	0.00	0.00
JXMV01064171.1	2672	0.17	0.19	0.16	0.24	0.14	0.04	0.23	0.05
JXMV01064171.1	3112	0.95	0.40	0.94	1.00	0.88	0.92	0.90	1.00
JXMV01064171.1	9539	0.90	0.52	0.96	0.15	0.66	0.93	0.91	1.00
JXMV01064171.1	9548	0.92	0.52	0.98	0.11	0.88	0.96	0.89	0.99
JXMV01064171.1	9552	0.81	0.52	0.92	0.15	0.84	0.97	0.94	1.00
JXMV01064180.1	4168	0.04	0.00	0.05	0.00	0.03	0.00	0.01	0.00
JXMV01064180.1	4174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	4183	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
JXMV01064180.1	4185	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	4190	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00
JXMV01064180.1	4200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
JXMV01064180.1	4208	0.15	0.03	0.00	0.02	0.00	0.00	0.00	0.00
JXMV01064186.1	2308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	2315	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	2319	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	2327	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	2475	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00
JXMV01064186.1	2476	0.01	0.00	0.14	0.00	0.00	0.00	0.01	0.00
JXMV01064186.1	3271	0.00	0.09	0.00	0.00	0.00	0.00	0.02	0.04
JXMV01064186.1	3325	0.15	0.00	0.00	0.00	0.25	0.00	0.06	0.04
JXMV01064186.1	3333	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3350	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3362	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064186.1	3369	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064186.1	3423	0.26	0.21	0.00	0.00	0.00	0.87	0.84	0.50
JXMV01064186.1	3443	0.01	0.00	0.00	0.00	0.00	0.61	0.00	0.00
JXMV01064187.1	1951	0.82	0.11	0.63	0.00	0.76	0.09	0.58	0.00
JXMV01064187.1	1966	0.01	0.00	0.01	0.03	0.01	0.00	0.00	0.00
JXMV01064187.1	2011	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064187.1	2016	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064187.1	2027	0.01	0.00	0.00	0.12	0.00	0.00	0.04	0.00
JXMV01064193.1	10201	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064193.1	10212	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00
JXMV01064193.1	10217	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.01
JXMV01064193.1	10308	0.12	0.00	0.35	0.00	0.00	0.00	0.07	0.00
JXMV01064201.1	141	0.00	0.41	0.17	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	169	0.16	0.11	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	174	0.00	0.00	0.11	0.00	0.11	0.60	0.00	0.00
JXMV01064201.1	183	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	190	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	197	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
JXMV01064201.1	220	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	238	0.19	0.01	0.00	0.00	0.02	0.00	0.00	0.00
JXMV01064201.1	239	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064201.1	254	0.00	0.10	0.00	0.00	0.10	0.00	0.00	0.00
JXMV01064205.1	4583	0.35	0.60	0.54	0.10	0.52	0.20	0.52	0.97
JXMV01064212.1	9613	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064212.1	9819	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
JXMV01064234.1	3256	0.09	0.12	0.06	0.00	0.09	0.00	0.03	0.00
JXMV01064234.1	3268	0.00	0.12	0.06	0.00	0.09	0.00	0.03	0.00
JXMV01064234.1	3324	0.02	0.16	0.00	0.06	0.00	0.00	0.00	0.00
JXMV01064234.1	3325	0.00	0.16	0.06	0.00	0.23	0.00	0.12	0.00
JXMV01064242.1	848	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064242.1	852	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064242.1	855	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00
JXMV01064242.1	860	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.03
JXMV01064242.1	864	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064242.1	899	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064242.1	913	0.00	0.09	0.00	0.01	0.20	0.12	0.08	0.01
JXMV01064273.1	7414	0.58	0.50	0.29	0.00	0.62	0.21	0.48	0.03
JXMV01064281.1	14295	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
JXMV01064281.1	14301	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064281.1	14310	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064281.1	14327	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
JXMV01064295.1	20	0.88	0.86	0.97	0.15	0.97	1.00	0.93	0.00
JXMV01064298.1	5174	0.46	0.16	0.12	0.56	0.31	0.14	0.62	0.10
JXMV01064299.1	3725	0.23	0.09	0.18	0.00	0.00	0.00	0.11	0.00
JXMV01064299.1	3731	0.01	0.09	0.19	0.00	0.00	0.00	0.10	0.00
JXMV01064299.1	3768	0.01	0.16	0.18	0.00	0.00	0.00	0.00	0.00
JXMV01064299.1	3862	0.03	0.09	0.00	0.00	0.03	0.05	0.00	0.00
JXMV01064299.1	3871	0.02	0.09	0.16	0.00	0.04	0.05	0.00	0.00
JXMV01064302.1	8586	0.47	0.50	0.70	1.00	0.64	0.25	0.94	0.87
JXMV01064302.1	8590	0.82	0.83	0.73	0.00	0.97	1.00	0.93	0.96
JXMV01064302.1	8617	1.00	0.54	0.85	1.00	0.97	0.66	0.82	1.00
JXMV01064307.1	9443	0.20	0.16	0.05	0.00	0.00	0.00	0.08	0.91
JXMV01064316.1	78	0.71	1.00	0.36	0.00	1.00	0.32	0.21	0.12
JXMV01064316.1	97	0.67	0.99	0.43	0.00	1.00	0.50	0.15	0.19
JXMV01064316.1	106	0.72	1.00	0.42	0.00	1.00	0.56	0.00	0.21
JXMV01064316.1	119	0.70	0.27	0.17	0.05	0.31	0.00	0.44	0.08
JXMV01064316.1	167	0.58	0.49	0.33	0.63	0.71	0.42	0.34	0.00
JXMV01064339.1	985	0.67	0.31	0.96	0.59	0.12	0.39	0.81	0.50
JXMV01064339.1	997	0.92	0.60	1.00	1.00	0.08	0.54	0.86	0.80
JXMV01064339.1	1002	0.66	0.77	0.85	1.00	0.12	0.56	0.86	0.80
JXMV01064339.1	1014	0.71	0.77	0.88	1.00	0.12	0.93	0.86	0.78
JXMV01064344.1	86	0.08	0.03	0.01	0.00	0.02	0.03	0.35	0.75
JXMV01064353.1	2147	0.66	0.43	0.26	0.00	0.98	0.29	0.45	0.00
JXMV01064353.1	2464	0.47	0.48	0.77	0.00	0.68	0.38	0.62	0.00
JXMV01064354.1	2059	0.88	0.99	0.59	0.84	0.99	0.40	0.87	1.00
JXMV01064354.1	2064	0.79	0.82	1.00	1.00	0.97	0.04	0.61	1.00
JXMV01064354.1	2070	0.80	0.82	0.99	1.00	0.98	0.02	0.87	1.00
JXMV01064354.1	2097	0.99	0.71	0.70	1.00	0.97	0.00	0.55	1.00
JXMV01064357.1	3684	0.52	0.09	0.02	0.30	0.01	0.12	0.11	0.00
JXMV01064357.1	6018	0.91	0.86	0.91	1.00	0.97	0.84	0.86	0.91
JXMV01064358.1	5786	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	5833	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	5848	0.00	0.00	0.00	0.00	0.08	0.00	0.17	0.44
JXMV01064358.1	5875	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	5950	0.00	0.11	0.00	0.00	0.07	0.20	0.00	0.00
JXMV01064358.1	5980	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	5987	0.02	0.00	0.00	0.00	0.01	0.00	0.00	0.00
JXMV01064358.1	5990	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	6003	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	6032	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064358.1	6037	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00
JXMV01064367.1	285	0.00	0.00	0.32	0.00	0.18	0.00	0.83	0.01
JXMV01064367.1	291	0.00	0.00	0.32	0.00	0.18	0.00	0.83	0.01
JXMV01064367.1	298	1.00	0.00	0.32	0.00	0.18	0.00	0.83	0.00
JXMV01064367.1	561	0.00	1.00	0.52	0.00	0.00	0.00	1.00	0.01
JXMV01064367.1	565	0.00	0.00	0.31	0.00	0.00	0.00	0.80	0.00
JXMV01064367.1	580	0.00	0.00	0.00	0.00	0.19	0.00	0.79	0.00
JXMV01064380.1	151	0.09	0.03	0.21	0.00	0.20	0.09	0.08	0.18
JXMV01064381.1	2095	0.97	0.96	0.97	0.99	0.94	0.96	0.99	0.01
JXMV01064381.1	2111	0.97	1.00	0.93	0.99	1.00	1.00	0.97	0.01
JXMV01064381.1	2126	0.72	0.99	0.50	0.00	0.58	0.02	0.51	0.01
JXMV01064381.1	2147	0.82	0.97	0.82	1.00	0.80	1.00	0.88	0.97
JXMV01064381.1	7283	0.82	0.71	0.83	0.54	0.94	0.98	0.76	0.89
JXMV01064381.1	7300	0.87	0.67	0.84	0.53	0.94	0.93	0.90	1.00
JXMV01064385.1	5521	0.00	0.10	0.39	0.00	0.00	0.00	0.01	0.44
JXMV01064385.1	5655	0.00	0.00	0.13	0.00	0.00	0.00	0.02	0.00
JXMV01064385.1	5678	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5679	0.04	0.00	0.00	0.00	0.36	0.00	0.00	0.00
JXMV01064385.1	5821	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5822	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5828	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01
JXMV01064385.1	5829	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5834	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064385.1	5845	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
JXMV01064387.1	2049	0.82	0.77	0.89	1.00	0.91	0.94	0.31	0.92
JXMV01064387.1	2083	1.00	1.00	1.00	0.00	0.98	0.96	0.50	1.00
