chr	pos	NO_20-N4	NO_20-N2	NO_20-N1	HY_5-N1	HY_5-N2	HY_5-N3
KN805605.1	12386	0.62	0.24	1.00	0.42	0.87	0.99
KN805605.1	12392	0.83	0.29	0.93	0.84	0.89	1.00
KN805605.1	173419	0.89	0.97	0.55	0.90	0.52	0.81
KN805607.1	412781	0.42	0.71	0.69	0.92	0.84	0.69
KN805608.1	134484	0.47	0.32	0.38	0.57	0.58	0.58
KN805608.1	134514	0.42	0.42	0.43	0.41	0.42	0.51
KN805609.1	188625	0.93	1.00	1.00	0.42	0.89	0.94
KN805609.1	552530	0.70	0.18	0.10	0.60	0.43	0.90
KN805609.1	608536	0.78	0.36	0.85	0.74	0.88	0.80
KN805609.1	608545	0.93	1.00	0.95	0.83	0.98	0.95
KN805610.1	41323	0.10	0.18	0.23	0.26	0.29	0.16
KN805610.1	285262	0.89	0.88	0.83	0.92	0.95	0.75
KN805610.1	285275	0.85	0.89	0.75	0.95	0.97	0.91
KN805610.1	285278	0.90	0.89	0.92	0.89	0.90	0.93
KN805611.1	491019	0.81	0.90	0.35	0.86	0.50	0.78
KN805614.1	503531	0.50	1.00	1.00	1.00	1.00	1.00
KN805615.1	153807	0.87	0.80	0.83	0.97	0.93	0.90
KN805615.1	153816	0.87	0.82	1.00	0.97	0.89	0.94
KN805615.1	153824	0.80	0.82	0.89	0.94	0.85	0.96
KN805616.1	299263	0.90	0.92	0.78	1.00	0.92	0.88
KN805616.1	299349	0.96	0.95	0.95	0.83	0.95	0.95
KN805616.1	299381	1.00	1.00	1.00	0.91	0.95	1.00
KN805616.1	299383	0.92	1.00	1.00	0.95	1.00	0.96
KN805616.1	299388	0.96	1.00	0.91	0.82	0.89	0.64
KN805616.1	299394	0.98	1.00	0.95	1.00	0.98	1.00
KN805616.1	397098	0.88	0.25	1.00	0.38	0.71	0.84
KN805617.1	456990	1.00	0.59	0.85	0.98	0.79	0.86
KN805617.1	456999	0.96	0.76	0.80	0.94	0.86	0.95
KN805620.1	265542	0.42	0.16	0.37	0.27	0.30	0.36
KN805620.1	265558	0.97	0.84	0.97	0.90	0.87	0.48
KN805620.1	265580	0.79	0.76	0.68	0.53	0.54	0.80
KN805620.1	294982	0.75	1.00	0.90	0.75	0.98	1.00
KN805620.1	294991	0.78	1.00	1.00	0.54	0.12	0.99
KN805620.1	295028	0.81	1.00	1.00	0.56	0.12	0.97
KN805621.1	42787	0.50	0.92	0.74	0.75	0.92	0.87
KN805621.1	42795	0.92	0.15	1.00	0.67	1.00	1.00
KN805621.1	42803	0.92	1.00	1.00	0.67	0.91	0.85
KN805621.1	42809	0.92	1.00	0.94	0.69	1.00	0.96
KN805621.1	42821	0.95	1.00	0.93	1.00	0.96	0.94
KN805621.1	282399	1.00	0.98	1.00	0.99	1.00	1.00
KN805621.1	282403	1.00	0.98	1.00	1.00	1.00	1.00
KN805621.1	282411	1.00	0.98	1.00	0.73	1.00	0.98
KN805621.1	282413	1.00	0.98	1.00	1.00	1.00	1.00
KN805624.1	231490	0.15	0.50	0.27	0.56	0.77	0.92
KN805627.1	333584	0.23	0.13	0.18	0.80	0.23	0.96
KN805627.1	557808	0.29	0.55	1.00	0.72	0.98	0.30
KN805627.1	557816	0.33	0.16	0.83	0.68	1.00	0.46
KN805628.1	196412	0.47	0.11	0.98	0.24	0.84	0.23
KN805628.1	210992	0.44	0.50	0.33	0.53	0.81	0.93
KN805629.1	181017	0.56	0.88	0.86	0.79	0.94	0.89
KN805629.1	181025	0.76	1.00	0.95	0.97	0.92	0.94
KN805629.1	181034	0.78	0.70	0.71	0.70	0.67	0.88
KN805629.1	210617	0.86	0.91	1.00	1.00	0.70	0.91
KN805629.1	266206	0.96	0.22	1.00	0.97	0.55	0.85
KN805629.1	421560	0.98	0.12	1.00	0.95	0.52	0.92
KN805629.1	605402	0.50	0.14	0.10	0.60	0.42	0.18
KN805629.1	605431	0.95	0.60	0.47	0.52	0.87	0.66
KN805635.1	657991	0.12	0.97	0.64	0.78	0.28	0.89
KN805635.1	658012	0.28	0.97	0.60	0.71	0.14	0.94
KN805636.1	508944	0.57	0.70	0.40	0.23	0.83	0.29
KN805636.1	508965	0.42	1.00	0.92	0.62	0.96	0.82
KN805643.1	117410	0.53	0.42	0.25	0.79	0.33	0.54
KN805643.1	117412	0.15	0.11	0.25	0.33	0.21	0.57
KN805643.1	563535	0.70	0.94	1.00	1.00	1.00	0.85
KN805645.1	400002	0.87	0.91	0.60	0.86	0.78	1.00
KN805645.1	450810	0.79	0.45	0.59	0.77	0.57	0.93
KN805646.1	476601	0.58	0.85	0.82	0.62	0.73	0.85
KN805646.1	476606	0.56	0.65	0.82	0.86	0.73	0.73
KN805646.1	476608	0.50	0.85	0.79	0.57	0.86	0.87
KN805649.1	83950	0.98	0.97	0.73	0.99	0.99	0.71
KN805650.1	378906	0.33	0.68	0.61	0.19	0.22	0.37
KN805652.1	283380	0.87	0.47	0.96	0.81	0.92	0.74
KN805655.1	273677	0.69	0.42	0.24	0.66	0.41	0.66
KN805657.1	49055	0.68	0.85	0.18	0.97	0.86	0.47
KN805658.1	19366	0.70	1.00	0.92	0.67	0.75	0.88
KN805658.1	60581	0.72	0.25	0.20	0.60	0.27	0.72
KN805658.1	152656	0.95	0.97	0.42	0.78	0.55	0.69
KN805658.1	191765	1.00	1.00	1.00	0.67	1.00	1.00
KN805658.1	191775	1.00	1.00	1.00	0.67	0.74	1.00
KN805658.1	191779	1.00	1.00	1.00	0.67	1.00	0.95
KN805658.1	192064	0.90	1.00	0.70	0.98	0.82	0.98
KN805658.1	192071	0.82	0.83	0.27	0.98	0.86	0.98
KN805659.1	395016	0.96	0.80	1.00	1.00	1.00	0.92
KN805659.1	395026	0.83	1.00	0.92	1.00	1.00	0.89
KN805659.1	395046	0.79	0.90	0.92	0.90	0.87	0.86
KN805660.1	200301	0.86	0.84	0.87	0.58	0.41	0.86
KN805660.1	200306	0.85	0.86	0.91	0.94	0.95	0.94
KN805660.1	200312	0.87	0.77	1.00	0.92	0.73	0.98
KN805660.1	240106	0.99	0.81	0.70	0.35	0.67	0.93
KN805660.1	240108	0.67	0.92	0.90	0.77	1.00	0.95
KN805661.1	178984	1.00	1.00	0.57	1.00	1.00	1.00
KN805661.1	269518	0.93	1.00	1.00	0.42	0.91	0.97
KN805661.1	276458	0.44	0.54	0.19	0.28	0.83	0.67
KN805662.1	163481	0.48	0.30	0.62	0.48	0.95	0.71
KN805662.1	293221	0.99	0.22	1.00	0.85	0.55	0.92
KN805662.1	474470	0.33	0.17	0.14	0.31	0.54	0.33
KN805665.1	171801	0.87	0.86	0.85	0.90	0.63	0.79
KN805665.1	171820	0.87	0.50	0.85	0.94	0.88	0.83
KN805669.1	347400	0.98	1.00	0.94	0.93	0.71	0.97
KN805670.1	459533	0.12	0.17	0.16	0.21	0.13	0.11
KN805671.1	321959	0.96	0.88	0.76	0.76	0.96	0.93
KN805671.1	321964	0.71	0.91	0.82	1.00	0.72	0.98
KN805677.1	9957	1.00	1.00	0.78	1.00	0.92	0.79
KN805677.1	133478	0.18	0.61	0.10	0.62	0.72	0.68
KN805677.1	265949	0.92	0.92	0.88	0.91	0.87	0.90
KN805677.1	265969	0.86	1.00	0.94	0.83	0.88	0.76
KN805677.1	266851	0.19	0.43	0.28	0.14	0.25	0.30
KN805679.1	168583	1.00	0.62	0.94	1.00	0.93	0.94
KN805680.1	464885	0.79	1.00	0.24	0.59	0.87	0.75
KN805680.1	500372	0.63	0.69	0.70	0.56	0.57	0.73
KN805681.1	491096	0.83	0.27	1.00	0.20	0.79	1.00
KN805683.1	220907	0.94	0.99	0.85	0.32	0.95	0.98
KN805686.1	158261	0.90	1.00	1.00	0.87	0.90	0.89
KN805689.1	140343	0.62	0.76	0.76	0.68	0.71	0.58
KN805689.1	140389	0.86	0.93	0.60	0.78	0.19	0.49
KN805689.1	140462	1.00	0.99	0.70	0.87	0.84	0.89
KN805689.1	140465	0.95	0.99	0.70	0.93	0.85	0.89
KN805689.1	140478	0.89	0.98	0.70	1.00	0.95	0.89
KN805689.1	195869	0.41	0.47	0.31	0.31	0.52	0.30
KN805689.1	195886	0.35	0.21	0.31	0.20	0.40	0.27
KN805689.1	206243	0.43	0.15	0.88	0.88	0.14	0.26
KN805691.1	241013	1.00	0.80	1.00	1.00	0.84	0.84
KN805692.1	523809	0.88	0.29	1.00	0.56	0.82	0.82
KN805696.1	11790	0.15	0.50	0.27	0.56	0.78	0.92
KN805697.1	3589	0.69	0.92	1.00	0.90	0.59	0.89
KN805697.1	163076	0.72	0.27	0.94	0.91	0.83	0.91
KN805697.1	163115	0.66	0.40	0.72	0.91	0.95	0.85
KN805697.1	180007	0.61	0.47	0.53	0.60	0.59	0.68
KN805697.1	288651	0.71	0.96	1.00	0.53	0.96	1.00
KN805697.1	288667	1.00	0.96	1.00	0.93	0.92	1.00
KN805697.1	288701	0.98	1.00	1.00	0.85	0.84	0.64
KN805697.1	289004	0.97	0.72	0.16	1.00	0.89	0.89
KN805697.1	375041	0.60	0.75	0.76	0.63	0.73	0.58
KN805698.1	1789345	0.96	0.28	0.93	0.94	0.99	0.81
KN805698.1	1789351	0.92	0.20	0.85	0.98	0.99	0.87
KN805698.1	2807404	0.81	0.83	0.62	0.96	0.94	0.85
KN805698.1	2807602	0.67	0.45	0.95	0.30	0.37	0.56
KN805698.1	3036614	0.96	1.00	0.92	0.81	0.65	1.00
KN805698.1	3036620	0.74	1.00	1.00	0.67	0.66	0.91
KN805698.1	3036625	0.74	0.92	0.92	0.92	0.69	0.98
KN805698.1	3036627	0.77	1.00	0.77	0.67	0.79	0.98
KN805698.1	3036659	0.94	0.80	0.88	0.84	0.35	0.96
KN805699.1	2394987	0.81	0.41	0.58	0.80	0.82	0.74
KN805700.1	434729	0.13	0.11	0.53	0.85	0.65	0.64
KN805703.1	264814	0.88	0.25	1.00	0.38	0.77	0.82
KN805703.1	435243	0.85	0.96	0.44	0.84	0.33	0.88
KN805703.1	493790	0.25	0.40	0.19	0.84	0.90	0.94
KN805705.1	463407	0.11	1.00	1.00	0.92	0.56	0.38
KN805708.1	322618	0.91	0.93	1.00	0.89	0.95	0.89
KN805708.1	322630	1.00	0.94	0.88	0.94	0.75	0.84
KN805709.1	446924	0.22	0.20	0.27	0.14	0.32	0.26
KN805710.1	16525	0.89	0.60	0.47	0.48	0.86	0.87
KN805710.1	130137	0.33	0.42	0.58	0.94	0.55	0.90
KN805711.1	156749	0.38	0.18	0.14	0.72	0.27	0.64
KN805711.1	297944	0.74	0.16	1.00	0.69	0.62	0.69
KN805711.1	297946	0.47	0.35	1.00	0.72	0.55	0.71
KN805714.1	331811	0.97	0.90	0.92	0.82	0.90	0.85
KN805716.1	458776	0.65	1.00	1.00	1.00	0.56	0.53
KN805716.1	458782	0.96	1.00	1.00	0.55	0.98	0.60
KN805716.1	458809	0.61	1.00	1.00	0.97	1.00	1.00
KN805716.1	458815	1.00	0.12	1.00	0.97	0.56	0.92
KN805716.1	458820	0.96	1.00	1.00	0.97	0.49	0.67
KN805717.1	118519	0.50	0.96	0.10	0.73	0.83	0.89
KN805717.1	118520	0.92	1.00	1.00	0.94	1.00	0.91
KN805717.1	118536	1.00	0.67	0.68	0.36	0.93	0.78
KN805721.1	203279	0.96	1.00	1.00	0.54	0.10	0.90
KN805724.1	95925	0.88	0.97	1.00	0.96	0.97	0.97
KN805726.1	474550	0.84	0.67	0.80	0.58	0.96	0.67
KN805726.1	474582	0.89	0.95	0.70	0.85	0.73	0.88
KN805726.1	474584	0.89	0.84	0.90	0.80	0.92	0.94
KN805726.1	474589	0.89	0.84	0.90	0.95	0.92	0.94
KN805734.1	213869	0.56	0.38	0.62	0.84	0.87	0.86
KN805734.1	213871	0.68	0.52	0.74	0.84	0.96	0.87
KN805738.1	127009	0.20	0.45	0.58	0.83	0.45	0.88
KN805738.1	284813	0.96	0.96	0.90	1.00	0.94	1.00
KN805738.1	284822	0.96	1.00	0.70	1.00	0.39	1.00
KN805739.1	134313	0.86	0.91	0.83	0.88	0.99	0.95
KN805739.1	134331	0.84	0.52	0.33	0.89	0.69	0.90
KN805739.1	174996	0.88	0.18	0.10	0.59	0.42	0.26
KN805741.1	373838	0.86	0.73	0.33	0.56	0.39	0.94
KN805742.1	227756	0.93	0.90	0.73	0.70	0.90	0.84
KN805742.1	227788	0.68	1.00	0.27	0.83	0.86	0.78
KN805742.1	227790	0.77	0.65	0.82	0.97	0.93	0.89
KN805742.1	227795	0.73	0.96	0.90	1.00	0.95	0.91
KN805742.1	227801	0.73	0.98	0.57	1.00	0.99	0.91
KN805745.1	92753	0.37	0.47	0.21	0.17	0.37	0.64
KN805745.1	392188	0.55	0.25	0.80	0.80	0.44	0.88
KN805749.1	148265	0.69	0.91	0.91	0.86	0.86	0.94
KN805750.1	122053	0.95	0.92	0.86	0.86	0.88	0.77
KN805750.1	122065	0.94	0.97	0.92	0.95	0.97	0.93
KN805750.1	122071	0.91	0.93	0.89	0.79	0.91	0.93
KN805750.1	122078	0.85	0.93	0.97	0.88	0.91	0.93
KN805753.1	51744	0.80	0.75	0.55	0.95	0.89	0.94
KN805755.1	153951	0.28	0.32	0.29	0.50	0.19	0.24
KN805756.1	107512	0.90	0.75	0.42	0.79	0.67	0.85
KN805756.1	268727	0.38	1.00	0.96	1.00	0.93	1.00
KN805756.1	395370	0.33	0.57	0.97	0.57	0.60	0.97
KN805758.1	59822	0.89	0.60	0.47	0.48	0.86	0.88
KN805758.1	88213	0.98	0.86	1.00	0.97	0.78	0.87
KN805758.1	268585	0.93	0.29	0.92	0.93	0.85	0.65
KN805758.1	268602	0.54	0.29	1.00	0.93	0.88	0.57
KN805758.1	268607	0.81	0.29	1.00	0.98	1.00	0.59
KN805758.1	268611	0.80	0.29	1.00	0.93	0.78	0.56
KN805758.1	500227	0.74	0.47	0.87	0.67	0.79	0.65
KN805758.1	500236	0.93	1.00	0.95	0.84	0.95	0.89
KN805758.1	500244	0.83	0.73	0.93	0.75	0.93	0.94
KN805763.1	292874	0.96	0.83	0.65	0.93	0.95	0.92
KN805763.1	292882	0.96	0.95	0.59	0.85	0.95	0.92
KN805763.1	369242	0.86	0.38	1.00	0.77	0.90	0.65
KN805764.1	129028	0.98	0.98	1.00	0.84	0.87	0.86
KN805765.1	289404	1.00	0.70	0.94	1.00	0.95	0.84
KN805766.1	194539	0.63	0.70	1.00	0.54	0.98	0.97
KN805766.1	197807	0.61	0.68	0.98	0.55	0.95	1.00
KN805766.1	215208	0.97	0.93	0.97	0.90	0.92	0.95
KN805766.1	215230	0.77	0.98	0.93	0.82	0.96	0.83
KN805766.1	256828	0.16	0.30	0.12	0.49	0.17	0.37
KN805767.1	390924	0.74	0.60	0.52	0.86	0.67	0.88
KN805768.1	152041	0.38	0.24	0.30	0.65	0.82	0.58
KN805768.1	152049	0.45	0.25	0.59	0.68	0.35	0.65
