chr	pos	N_5-N1	N_5-N2	N_5-N3	S_5-S3	S_5-S4	S_5-S2	S_5-S1
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4903	0.76	0.66	1.00	0.97	0.81	0.89	1.00
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4905	1.00	0.90	0.92	1.00	1.00	0.95	1.00
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4911	1.00	0.69	0.92	1.00	0.89	0.98	1.00
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4913	1.00	0.76	1.00	0.90	0.98	0.98	1.00
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4916	0.94	0.83	1.00	1.00	0.90	0.95	1.00
JXMV01064500.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064500.1:1:5015:1 REF	4935	1.00	0.93	1.00	0.37	1.00	1.00	1.00
JXMV01064589.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064589.1:1:4340:1 REF	4263	0.30	0.97	0.82	0.94	0.91	0.94	0.78
JXMV01064601.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064601.1:1:4181:1 REF	2607	0.28	0.57	0.19	0.37	0.48	0.17	0.43
JXMV01064615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064615.1:1:6042:1 REF	2616	0.94	0.86	0.94	0.95	0.82	0.95	1.00
JXMV01064615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064615.1:1:6042:1 REF	2625	0.75	0.66	1.00	0.97	0.55	0.63	1.00
JXMV01064615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064615.1:1:6042:1 REF	2627	1.00	0.90	0.94	1.00	1.00	0.84	1.00
JXMV01064615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064615.1:1:6042:1 REF	2633	1.00	0.69	0.94	1.00	0.73	0.95	1.00
JXMV01064615.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064615.1:1:6042:1 REF	2635	1.00	0.76	1.00	0.89	1.00	0.95	1.00
JXMV01064650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064650.1:1:3897:1 REF	3824	1.00	1.00	0.89	1.00	0.98	1.00	1.00
JXMV01064650.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064650.1:1:3897:1 REF	3836	1.00	1.00	0.87	1.00	1.00	0.60	1.00
JXMV01064678.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064678.1:1:3705:1 REF	3446	0.90	0.95	0.94	0.85	0.86	0.77	0.91
JXMV01064678.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064678.1:1:3705:1 REF	3451	0.80	0.90	0.94	0.85	1.00	0.77	0.96
JXMV01064678.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064678.1:1:3705:1 REF	3453	0.91	0.75	0.88	0.85	0.86	0.77	0.73
JXMV01064678.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064678.1:1:3705:1 REF	3485	0.64	0.90	0.71	0.82	0.73	0.86	0.81
JXMV01064810.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064810.1:1:5344:1 REF	69	0.81	0.83	0.82	0.94	0.97	0.94	0.89
JXMV01064940.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064940.1:1:4388:1 REF	4315	1.00	1.00	0.89	1.00	0.80	0.94	1.00
JXMV01064940.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01064940.1:1:4388:1 REF	4327	1.00	1.00	0.87	1.00	1.00	0.60	1.00
JXMV01065036.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065036.1:1:2606:1 REF	101	0.87	0.92	1.00	0.55	0.95	0.83	1.00
JXMV01065036.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065036.1:1:2606:1 REF	106	0.76	1.00	0.93	0.55	0.67	0.69	1.00
JXMV01065079.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065079.1:1:2493:1 REF	1899	0.17	0.54	0.19	0.96	0.87	0.50	0.93
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	74	0.97	0.93	1.00	0.94	0.97	0.95	0.71
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	76	0.97	0.77	0.97	0.94	0.91	1.00	0.79
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	81	1.00	1.00	0.20	0.97	0.79	0.92	0.92
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	87	1.00	0.85	0.98	0.94	1.00	1.00	0.83
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	1619	1.00	0.85	0.93	0.97	0.82	0.88	0.86
JXMV01065226.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065226.1:1:2337:1 REF	1640	1.00	0.98	1.00	1.00	0.88	0.88	0.75
JXMV01065254.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065254.1:1:2209:1 REF	54	0.43	0.70	0.56	0.84	0.59	0.78	0.75
JXMV01065266.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065266.1:1:2202:1 REF	2055	1.00	0.90	1.00	0.96	1.00	0.97	1.00
JXMV01065266.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065266.1:1:2202:1 REF	2081	1.00	1.00	1.00	0.96	1.00	0.97	1.00
JXMV01065266.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065266.1:1:2202:1 REF	2087	0.98	0.86	0.71	1.00	0.98	0.90	1.00
JXMV01065266.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065266.1:1:2202:1 REF	2100	0.98	0.80	0.96	0.96	0.98	0.97	1.00
JXMV01065341.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065341.1:1:4652:1 REF	1827	0.57	0.30	0.60	0.72	0.71	0.43	0.74
JXMV01065419.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065419.1:1:2019:1 REF	1957	0.92	0.89	0.96	0.98	0.97	1.00	0.99
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	563	0.66	0.88	0.88	0.80	0.87	0.94	0.93
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	595	0.45	0.95	0.86	0.97	0.89	0.96	0.90
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	597	0.51	0.91	0.79	0.97	0.98	0.97	0.95
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	602	0.53	0.95	0.83	0.89	0.90	0.97	0.95
JXMV01065449.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065449.1:1:1900:1 REF	1848	0.91	0.57	0.57	0.35	0.62	0.20	0.69
JXMV01065514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065514.1:1:1870:1 REF	504	0.86	0.69	0.68	0.62	0.85	0.89	0.95
JXMV01065514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065514.1:1:1870:1 REF	523	1.00	0.74	0.82	0.54	0.88	0.84	1.00
JXMV01065514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065514.1:1:1870:1 REF	531	1.00	0.95	1.00	1.00	1.00	1.00	1.00
JXMV01065514.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065514.1:1:1870:1 REF	538	0.89	1.00	1.00	1.00	0.92	0.89	1.00
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2538	0.94	0.69	1.00	0.88	0.97	0.63	0.79
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2623	1.00	1.00	0.98	1.00	0.96	1.00	0.94
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2624	0.81	0.89	0.87	0.86	0.94	0.67	0.88
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2657	0.94	0.59	0.88	0.98	0.49	0.91	0.89
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2658	0.94	0.92	0.90	1.00	0.98	0.64	0.88
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2662	0.96	1.00	0.76	1.00	0.96	0.84	0.94
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2663	0.94	0.92	0.85	0.81	0.89	0.60	0.94
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2669	0.93	0.90	0.87	0.95	0.94	0.88	0.94
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1302	0.66	1.00	0.97	0.91	1.00	1.00	1.00
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1683	0.87	0.83	0.86	0.91	0.89	0.90	0.97
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1688	0.78	0.88	0.86	0.97	0.75	0.80	1.00
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1690	0.78	0.79	0.73	0.88	0.90	0.80	0.88
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1722	0.67	0.73	0.67	0.91	0.93	1.00	0.91
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	88	1.00	0.94	1.00	1.00	1.00	1.00	0.98
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	107	1.00	0.84	1.00	1.00	0.96	0.95	1.00
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	110	1.00	0.80	1.00	0.81	0.98	0.98	1.00
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	112	1.00	0.67	0.67	1.00	0.90	0.98	1.00
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	118	1.00	0.90	0.67	1.00	0.46	0.94	1.00
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	120	0.27	0.63	1.00	0.90	0.19	0.87	1.00
JXMV01065663.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065663.1:1:1701:1 REF	129	1.00	0.90	1.00	0.90	0.90	0.98	1.00
JXMV01065715.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065715.1:1:1652:1 REF	1006	1.00	0.82	0.94	0.90	0.86	0.93	0.94
JXMV01066163.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066163.1:1:1401:1 REF	509	0.61	0.38	0.79	0.81	0.79	0.58	0.60
JXMV01066217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066217.1:1:1323:1 REF	722	1.00	1.00	0.26	0.82	0.98	0.98	1.00
JXMV01066217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066217.1:1:1323:1 REF	731	0.53	1.00	0.80	1.00	1.00	0.45	1.00
JXMV01066244.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066244.1:1:1375:1 REF	800	1.00	0.97	0.51	0.43	0.62	0.98	1.00
JXMV01066332.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066332.1:1:1388:1 REF	1098	0.66	0.73	0.56	0.42	0.88	0.52	0.50
JXMV01066332.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066332.1:1:1388:1 REF	1114	0.75	0.90	1.00	0.50	0.93	0.45	0.45
JXMV01066332.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066332.1:1:1388:1 REF	1143	0.68	0.81	0.98	0.46	0.66	0.57	1.00
JXMV01066606.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066606.1:1:1306:1 REF	780	0.47	0.66	0.32	0.83	0.97	0.46	0.51
JXMV01066606.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066606.1:1:1306:1 REF	810	0.48	0.86	0.87	0.94	0.97	0.76	0.82
JXMV01067024.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067024.1:1:1206:1 REF	590	0.74	1.00	0.52	1.00	0.88	0.85	1.00
JXMV01067060.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067060.1:1:1198:1 REF	128	0.89	0.95	1.00	1.00	0.92	0.89	1.00
JXMV01067159.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067159.1:1:1122:1 REF	150	0.98	0.71	0.69	0.93	0.96	0.91	1.00
JXMV01067159.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067159.1:1:1122:1 REF	184	0.76	0.67	0.39	0.52	0.67	0.49	0.80
JXMV01067203.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067203.1:1:1160:1 REF	1121	1.00	1.00	0.37	1.00	0.98	0.95	1.00
JXMV01067203.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067203.1:1:1160:1 REF	1130	0.53	1.00	0.80	1.00	1.00	1.00	1.00
JXMV01067222.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067222.1:1:1154:1 REF	927	0.75	0.97	0.40	0.45	0.76	0.76	1.00
JXMV01067302.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067302.1:1:1071:1 REF	303	0.82	0.65	0.87	0.63	0.96	0.95	1.00
JXMV01067302.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067302.1:1:1071:1 REF	316	0.90	0.54	0.75	1.00	0.99	0.86	1.00
JXMV01067302.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067302.1:1:1071:1 REF	322	1.00	1.00	1.00	0.96	1.00	0.95	1.00
JXMV01067302.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067302.1:1:1071:1 REF	348	0.90	0.81	0.96	0.96	0.99	0.95	1.00
JXMV01067383.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067383.1:1:1070:1 REF	150	0.74	0.98	0.83	0.85	0.97	0.97	0.88
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	150789	0.60	1.00	1.00	1.00	1.00	1.00	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	361504	0.74	0.80	0.91	0.93	0.80	0.90	0.86
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	448828	0.69	0.72	0.57	0.38	0.88	0.52	0.52
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	448844	0.74	0.90	1.00	0.46	0.93	0.45	0.48
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	448873	0.69	0.81	0.98	0.50	0.66	0.57	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	642014	0.67	0.75	0.94	0.60	0.65	0.78	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	1779584	0.35	0.37	1.00	1.00	1.00	0.56	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	1780025	0.34	1.00	1.00	1.00	1.00	1.00	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	1780040	0.35	0.64	1.00	0.20	0.83	1.00	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028789	1.00	0.93	1.00	0.34	1.00	1.00	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028808	0.88	0.83	0.97	1.00	0.91	0.70	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028811	1.00	0.80	1.00	0.93	0.95	0.98	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028813	1.00	0.67	0.89	1.00	0.77	0.98	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028819	1.00	0.90	0.89	1.00	1.00	0.94	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028821	0.68	0.63	1.00	0.97	0.41	0.87	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2028830	1.00	0.90	1.00	0.95	0.90	0.98	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2931560	0.96	0.89	0.93	0.92	0.64	0.80	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2931562	0.88	0.96	0.76	0.78	0.72	0.80	0.21
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2931594	0.67	0.89	0.87	0.77	0.62	0.80	0.18
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2931607	0.40	0.10	0.33	0.12	0.25	0.33	0.38
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	3135370	0.87	0.91	0.90	0.96	0.91	0.95	0.91
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	3135375	0.96	1.00	0.85	0.83	0.69	0.86	0.90
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	3135381	1.00	0.93	0.89	0.95	0.83	0.91	0.94
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4741813	0.67	0.85	0.96	0.61	0.79	0.84	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4741841	0.78	0.62	0.78	0.29	0.53	0.64	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4879726	1.00	0.93	1.00	0.34	1.00	1.00	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4879745	1.00	0.83	0.97	1.00	0.91	0.70	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4879748	1.00	0.80	1.00	0.93	0.95	0.98	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4879750	1.00	0.67	0.89	1.00	0.77	0.98	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4879756	1.00	0.90	0.89	1.00	1.00	0.94	1.00
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	4879758	0.27	0.63	1.00	0.97	0.41	0.87	1.00
