x
plot.pdf	ENSG_ID	methylation_region	adj.R2	rho	rho.p-val
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046383.1:39015627-39015700_LOC105937346.pdf	LOC105937346	NC_046383.1:39015627-39015700	0.61	0.86	0.012
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046376.1:25055497-25055708_LOC105939426.pdf	LOC105939426	NC_046376.1:25055497-25055708	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046376.1:37591094-37591178_LOC110367187.pdf	LOC110367187	NC_046376.1:37591094-37591178	-0.14	-0.19	0.6786
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046375.1:31651602-31651650_LOC110367414.pdf	LOC110367414	NC_046375.1:31651602-31651650	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396896.1:80231-80551_LOC110367853.pdf	LOC110367853	NW_023396896.1:80231-80551	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046363.1:6052206-6052595_LOC110369139.pdf	LOC110369139	NC_046363.1:6052206-6052595	-0.08	-0.25	0.5948
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046374.1:27463307-27463401_LOC110369389.pdf	LOC110369389	NC_046374.1:27463307-27463401	0.35	0.71	0.0881
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046361.1:5411834-5411928_LOC118556598.pdf	LOC118556598	NC_046361.1:5411834-5411928	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046361.1:5420132-5420226_LOC118556598.pdf	LOC118556598	NC_046361.1:5420132-5420226	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:12584417-12584951_LOC118556781.pdf	LOC118556781	NC_046381.1:12584417-12584951	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:12601543-12601970_LOC118556781.pdf	LOC118556781	NC_046381.1:12601543-12601970	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:2103821-2103915_LOC118556860.pdf	LOC118556860	NC_046381.1:2103821-2103915	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:2086896-2086990_LOC118556935.pdf	LOC118556935	NC_046381.1:2086896-2086990	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:2095296-2095390_LOC118556935.pdf	LOC118556935	NC_046381.1:2095296-2095390	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046381.1:26132547-26132997_LOC118556979.pdf	LOC118556979	NC_046381.1:26132547-26132997	-0.17	0	1
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396791.1:34994-35419_LOC118560071.pdf	LOC118560071	NW_023396791.1:34994-35419	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396934.1:1713667-1713740_LOC118560894.pdf	LOC118560894	NW_023396934.1:1713667-1713740	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396996.1:13470-13616_LOC118561134.pdf	LOC118561134	NW_023396996.1:13470-13616	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023397045.1:59900-59948_LOC118561341.pdf	LOC118561341	NW_023397045.1:59900-59948	-0.18	0.22	0.6312
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023397099.1:1670517-1670680_LOC118561538.pdf	LOC118561538	NW_023397099.1:1670517-1670680	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046361.1:41997840-41998004_LOC118563577.pdf	LOC118563577	NC_046361.1:41997840-41998004	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046367.1:1877553-1877699_LOC118563631.pdf	LOC118563631	NC_046367.1:1877553-1877699	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046368.1:19731588-19731685_LOC118563944.pdf	LOC118563944	NC_046368.1:19731588-19731685	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046369.1:12059386-12059739_LOC118564145.pdf	LOC118564145	NC_046369.1:12059386-12059739	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046371.1:17982139-17982306_LOC118564550.pdf	LOC118564550	NC_046371.1:17982139-17982306	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:17202992-17203528_LOC118565215.pdf	LOC118565215	NC_046373.1:17202992-17203528	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:27407345-27407549_LOC118565317.pdf	LOC118565317	NC_046373.1:27407345-27407549	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:27557301-27557403_LOC118565322.pdf	LOC118565322	NC_046373.1:27557301-27557403	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:27614761-27614863_LOC118565325.pdf	LOC118565325	NC_046373.1:27614761-27614863	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046373.1:27657532-27657634_LOC118565326.pdf	LOC118565326	NC_046373.1:27657532-27657634	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046382.1:24016638-24016801_pax2a.pdf	pax2a	NC_046382.1:24016638-24016801	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046362.1:18039751-18039824_rasgrf1.pdf	rasgrf1	NC_046362.1:18039751-18039824	NaN	NA	NA
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046363.1:17138613-17138818_sntb1.pdf	sntb1	NC_046363.1:17138613-17138818	-0.2	0.16	0.7357
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NW_023396625.1:144045-144147_st6galnac4.pdf	st6galnac4	NW_023396625.1:144045-144147	-0.2	-0.14	0.7575
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046371.1:17982139-17982306_stard13a.pdf	stard13a	NC_046371.1:17982139-17982306	-0.1	-0.18	0.7131
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046375.1:11676986-11677522_stxbp5a.pdf	stxbp5a	NC_046375.1:11676986-11677522	-0.18	-0.2	0.6606
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046365.1:15852888-15853022_suclg1.pdf	suclg1	NC_046365.1:15852888-15853022	0.61	0.68	0.1095
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046372.1:34905273-34905447_trpm6.pdf	trpm6	NC_046372.1:34905273-34905447	0.23	0.52	0.2274
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046369.1:26223581-26223702_zbtb7a.pdf	zbtb7a	NC_046369.1:26223581-26223702	-0.18	0.2	0.6606
/scratch/08-annotate-DMR/new-genome/5_OC_N/correlation_output/correlation_NC_046367.1:27169459-27169669_zmp:0000001200.pdf	zmp:0000001200	NC_046367.1:27169459-27169669	0.26	0.86	0.0238
