chr	pos	20_20-N4	20_20-N2	20_20-N1	5_5-N1	5_5-N2	5_5-N3
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	597	0.55	0.91	0.84	0.51	0.91	0.79
JXMV01065431.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065431.1:1:1920:1 REF	602	0.50	0.87	0.89	0.53	0.95	0.83
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2623	0.86	1.00	1.00	1.00	1.00	0.98
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2657	0.86	1.00	1.00	0.94	0.59	0.88
JXMV01065520.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065520.1:1:4035:1 REF	2662	0.79	0.70	1.00	0.96	1.00	0.76
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1722	0.86	0.21	0.90	0.67	0.73	0.67
JXMV01065542.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065542.1:1:1852:1 REF	1808	0.64	0.82	0.84	0.91	0.92	0.59
JXMV01065583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065583.1:1:1825:1 REF	41	0.95	0.18	0.46	0.86	0.91	0.32
JXMV01065833.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01065833.1:1:1538:1 REF	21	1.00	0.62	1.00	0.32	0.74	1.00
JXMV01066033.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066033.1:1:1508:1 REF	55	0.33	0.26	0.27	0.16	0.16	0.11
JXMV01066217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066217.1:1:1323:1 REF	689	0.94	0.91	0.17	0.89	0.87	0.78
JXMV01066217.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01066217.1:1:1323:1 REF	705	0.96	1.00	1.00	0.89	0.85	0.97
JXMV01067159.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:JXMV01067159.1:1:1122:1 REF	184	0.69	0.70	0.42	0.76	0.67	0.39
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	43179	0.48	0.52	0.73	0.61	0.66	0.53
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2013593	0.93	0.36	0.34	0.60	0.35	0.58
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	2931607	0.33	0.27	0.26	0.40	0.10	0.33
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	3637703	0.71	0.50	1.00	0.78	0.77	0.83
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	6165344	0.95	0.94	1.00	0.91	0.69	0.40
KN805525.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805525.1:1:6356336:1 REF	6180300	0.94	0.18	0.14	0.56	0.54	0.57
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	1085512	0.79	1.00	0.90	0.91	1.00	0.71
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	1085531	0.73	0.96	0.71	0.38	0.43	0.88
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	1759008	0.67	0.80	1.00	0.44	0.60	0.86
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	3951454	0.95	1.00	0.94	1.00	0.94	0.95
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	3951474	0.90	0.80	0.88	0.90	0.88	0.95
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	4004679	0.93	0.30	0.80	0.91	0.93	0.69
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	4004692	0.90	0.50	0.65	0.87	0.88	0.78
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	4264886	1.00	0.97	1.00	0.97	1.00	1.00
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	4810799	0.82	0.28	0.81	0.27	0.74	0.75
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	4935964	0.25	0.40	0.19	0.82	0.78	0.91
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	5866562	0.86	0.91	0.93	0.87	0.96	0.93
KN805526.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805526.1:1:6250690:1 REF	5866574	1.00	1.00	0.98	0.97	0.95	1.00
KN805527.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805527.1:1:4057079:1 REF	1858200	0.45	0.36	1.00	0.90	0.50	0.72
KN805527.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805527.1:1:4057079:1 REF	2315860	0.85	1.00	0.81	0.88	0.96	0.83
KN805527.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805527.1:1:4057079:1 REF	2699420	0.85	0.50	0.82	0.82	0.48	0.73
KN805527.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805527.1:1:4057079:1 REF	2699426	0.86	1.00	0.93	0.79	0.62	0.97
KN805527.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805527.1:1:4057079:1 REF	3816368	0.76	1.00	1.00	0.87	0.90	0.89
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1107973	0.88	0.80	1.00	0.98	0.84	0.88
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1107994	0.74	1.00	1.00	0.90	0.80	0.82
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1878968	0.91	1.00	1.00	1.00	0.91	0.98
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1878980	0.88	0.57	1.00	0.98	0.99	0.95
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1878986	0.82	1.00	1.00	1.00	0.99	0.98
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1878994	1.00	0.11	1.00	0.63	0.61	0.40
KN805528.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805528.1:1:4046421:1 REF	1879002	1.00	1.00	1.00	0.98	1.00	1.00
KN805530.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805530.1:1:807053:1 REF	453250	0.77	0.73	0.47	0.77	0.69	0.73
KN805534.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805534.1:1:830144:1 REF	131081	0.91	0.60	0.83	1.00	0.95	0.86
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	414192	0.79	0.77	0.89	0.73	0.89	0.91
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	722279	0.92	0.94	1.00	1.00	0.88	0.77
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	722281	0.97	0.89	0.48	0.95	0.96	0.77
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	722290	0.95	1.00	1.00	0.91	0.89	0.69
KN805535.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805535.1:1:799646:1 REF	722299	0.99	0.22	1.00	0.96	0.54	0.92
KN805536.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805536.1:1:819042:1 REF	440964	1.00	1.00	1.00	1.00	0.68	1.00
KN805536.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805536.1:1:819042:1 REF	440974	0.31	1.00	1.00	0.24	1.00	0.46
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	149802	0.93	0.59	1.00	0.63	0.55	0.90
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	314311	0.17	0.10	0.28	0.21	0.26	0.24
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	492721	0.46	0.88	0.35	0.53	0.68	0.16
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649966	0.85	0.98	0.42	1.00	0.81	0.91
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	649983	0.63	0.47	0.96	0.74	0.78	0.84
KN805541.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805541.1:1:869461:1 REF	713960	0.88	0.25	1.00	0.38	0.69	0.84
KN805545.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805545.1:1:869589:1 REF	129085	0.73	0.84	0.27	0.72	0.59	0.52
KN805545.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805545.1:1:869589:1 REF	652718	1.00	1.00	1.00	1.00	0.94	1.00
KN805545.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805545.1:1:869589:1 REF	652725	1.00	1.00	1.00	1.00	1.00	1.00
KN805545.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805545.1:1:869589:1 REF	850632	0.88	0.92	1.00	0.83	0.87	0.64
KN805545.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805545.1:1:869589:1 REF	850645	0.95	0.92	0.80	0.89	0.96	0.61
KN805549.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805549.1:1:778336:1 REF	381279	0.86	0.89	0.98	0.91	0.87	0.92
KN805549.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805549.1:1:778336:1 REF	381286	0.82	0.85	0.84	0.68	0.72	0.84
KN805549.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805549.1:1:778336:1 REF	490335	0.20	0.12	0.50	0.40	0.57	0.89
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	1982	0.83	0.80	0.51	0.84	0.68	0.61
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	1992	0.87	0.82	0.72	0.87	0.75	0.59
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	52135	0.65	0.96	0.94	0.55	0.96	0.92
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	221295	0.87	0.67	0.55	0.55	0.72	0.87
KN805550.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805550.1:1:814711:1 REF	514178	0.96	0.75	0.18	0.33	1.00	0.78
KN805554.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805554.1:1:822750:1 REF	210480	0.85	0.83	0.57	0.55	0.90	0.58
KN805554.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805554.1:1:822750:1 REF	210504	0.74	0.33	0.62	0.98	0.65	0.93
KN805554.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805554.1:1:822750:1 REF	336044	0.81	0.50	0.95	0.50	0.96	0.92
KN805557.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805557.1:1:744425:1 REF	165628	0.51	1.00	1.00	0.89	0.91	0.97
KN805559.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805559.1:1:825163:1 REF	299209	0.11	0.89	0.68	0.55	0.20	0.53
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469415	0.88	0.80	1.00	0.91	0.92	0.95
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469421	0.87	0.70	0.81	0.61	0.95	0.92
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469426	0.88	0.77	1.00	0.93	0.60	0.84
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469428	0.84	0.63	1.00	0.81	0.94	0.89
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	469460	0.83	0.57	0.95	0.82	0.82	0.84
KN805561.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805561.1:1:889394:1 REF	782312	0.11	0.76	0.60	0.92	0.56	0.68
KN805562.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805562.1:1:763238:1 REF	327392	1.00	1.00	1.00	1.00	1.00	1.00
KN805562.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805562.1:1:763238:1 REF	327400	0.50	1.00	1.00	1.00	1.00	1.00
KN805564.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805564.1:1:800531:1 REF	39416	0.25	0.40	0.19	0.82	0.61	0.94
KN805569.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805569.1:1:817884:1 REF	566955	0.61	0.72	0.76	0.68	0.72	0.60
KN805571.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805571.1:1:727099:1 REF	33484	0.67	1.00	0.87	0.44	0.97	0.62
KN805571.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805571.1:1:727099:1 REF	33492	0.47	0.96	1.00	0.90	0.97	0.85
KN805571.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805571.1:1:727099:1 REF	33525	0.57	1.00	1.00	1.00	0.97	0.46
KN805571.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805571.1:1:727099:1 REF	57429	0.73	0.18	0.10	0.60	0.40	0.69
KN805572.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805572.1:1:695582:1 REF	467680	0.81	0.69	0.96	0.64	0.93	0.96
KN805572.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805572.1:1:695582:1 REF	641901	0.90	1.00	1.00	0.87	0.90	0.89
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	284244	0.44	0.23	0.33	0.23	0.54	0.60
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	733846	0.70	0.12	0.73	0.48	0.86	0.57
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	733898	0.57	0.82	0.57	0.75	0.55	0.79
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	733906	0.95	0.81	0.97	0.89	0.95	0.92
KN805573.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805573.1:1:788298:1 REF	739160	0.58	0.68	1.00	0.98	0.94	1.00
KN805574.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805574.1:1:762438:1 REF	27159	0.89	0.16	0.94	0.71	0.98	0.75
KN805574.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805574.1:1:762438:1 REF	27183	0.60	0.26	0.89	0.73	0.96	0.74
KN805575.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805575.1:1:752366:1 REF	138733	0.97	0.93	0.93	0.95	0.94	0.88
KN805575.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805575.1:1:752366:1 REF	138753	0.93	0.32	0.87	0.95	0.94	0.85
KN805577.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805577.1:1:753928:1 REF	426625	0.98	0.94	0.82	0.97	0.97	0.90
KN805577.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805577.1:1:753928:1 REF	628014	0.73	0.43	0.68	0.74	0.61	0.77
KN805578.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805578.1:1:732778:1 REF	714255	0.61	0.62	0.89	0.85	0.50	0.80
KN805578.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805578.1:1:732778:1 REF	721391	0.75	1.00	1.00	0.95	0.43	0.98
KN805579.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805579.1:1:797159:1 REF	32093	0.48	0.53	0.22	0.53	0.51	0.86
KN805579.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805579.1:1:797159:1 REF	598587	0.90	1.00	1.00	0.87	0.90	0.89
KN805580.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805580.1:1:842474:1 REF	37644	0.79	0.68	0.83	0.61	0.97	0.61
KN805580.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805580.1:1:842474:1 REF	37676	0.86	0.95	0.67	0.88	0.71	0.76
KN805580.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805580.1:1:842474:1 REF	37678	0.89	0.85	0.92	0.83	0.93	0.94
KN805580.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805580.1:1:842474:1 REF	37683	0.92	0.85	0.92	0.96	0.93	0.88
KN805582.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805582.1:1:695560:1 REF	207216	0.99	1.00	1.00	0.72	1.00	0.98
KN805582.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805582.1:1:695560:1 REF	207222	0.66	1.00	0.64	0.70	0.49	0.88
KN805582.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805582.1:1:695560:1 REF	207243	0.14	1.00	0.80	0.72	0.95	0.85
KN805583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805583.1:1:713213:1 REF	710213	0.62	0.83	0.51	0.52	0.44	0.53
KN805583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805583.1:1:713213:1 REF	710223	0.72	0.81	0.72	0.60	0.58	0.53
KN805583.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805583.1:1:713213:1 REF	710703	0.61	0.70	0.23	0.96	0.98	0.96
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	329663	0.75	1.00	0.92	0.75	0.98	1.00
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	329672	0.78	1.00	1.00	0.54	0.12	0.99
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	329709	0.83	1.00	1.00	0.56	0.12	1.00
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509492	0.62	0.41	0.67	0.75	0.60	0.57
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509503	0.90	1.00	1.00	0.93	0.94	0.97
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509550	1.00	0.58	1.00	0.83	0.85	0.41
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509586	0.62	0.40	0.65	0.84	0.60	0.59
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509597	0.91	1.00	1.00	0.95	0.94	0.94
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	509627	0.77	0.50	1.00	0.84	0.84	0.35
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	511434	0.15	0.50	0.27	0.56	0.78	0.92
KN805584.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805584.1:1:792110:1 REF	785497	0.46	0.88	0.35	0.52	0.68	0.16
KN805585.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805585.1:1:747059:1 REF	38362	0.95	0.87	0.82	0.81	0.89	0.91
KN805585.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805585.1:1:747059:1 REF	38370	0.92	0.80	0.64	0.71	0.89	0.93
KN805585.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805585.1:1:747059:1 REF	676133	0.80	0.60	0.16	0.27	0.54	0.15
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709200	0.59	0.72	1.00	0.77	0.70	0.60
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709208	0.61	0.46	0.42	0.51	0.54	0.45
KN805586.1 dna:primary_assembly primary_assembly:Fundulus_heteroclitus-3.0.2:KN805586.1:1:721735:1 REF	709296	0.88	0.85	0.85	0.95	0.94	0.94
