chr	pos	NO_20-S1	NO_20-S3	NO_20-S4	NO_20-S2	HY_5-S3	HY_5-S4	HY_5-S2	HY_5-S1
KN805813.1	157888	0.63	0.88	0.88	0.83	0.79	0.76	0.93	0.85
KN805813.1	425085	0.46	0.96	0.93	0.55	0.87	0.87	0.82	0.89
KN805816.1	291944	0.60	0.29	0.45	0.24	0.42	0.21	0.57	0.24
KN805821.1	3099702	0.65	0.40	0.50	0.40	0.72	0.74	0.64	0.79
KN805822.1	2234128	0.48	0.13	0.32	1.00	0.71	0.72	0.45	0.97
KN805825.1	253393	0.94	0.96	0.97	0.80	0.97	1.00	0.96	0.20
KN805827.1	257953	0.86	0.73	0.85	0.50	0.86	0.94	0.88	0.88
KN805827.1	257961	0.93	1.00	0.92	0.40	0.86	0.96	0.90	0.94
KN805827.1	257969	0.88	0.90	0.95	1.00	0.81	0.98	0.94	0.94
KN805827.1	257975	0.90	0.93	0.94	1.00	0.96	0.99	0.93	0.92
KN805832.1	9655	0.94	0.91	0.94	0.80	0.95	0.86	0.97	0.84
KN805834.1	165067	0.41	0.54	0.86	0.11	0.32	0.91	0.53	0.62
KN805836.1	252224	0.55	1.00	0.78	0.10	0.55	0.77	0.12	1.00
KN805837.1	53696	0.74	0.58	0.89	0.17	0.47	0.88	0.23	0.40
KN805837.1	53697	0.81	0.68	0.79	0.31	0.70	0.83	0.85	1.00
KN805849.1	203274	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN805855.1	145110	0.87	0.93	0.86	1.00	0.88	0.87	0.97	1.00
KN805855.1	145117	0.65	0.71	0.73	0.90	0.73	0.76	0.76	0.83
KN805855.1	227792	0.89	0.88	0.95	0.80	0.95	0.64	0.92	0.86
KN805858.1	41560	0.66	0.24	0.67	1.00	0.37	0.86	0.21	1.00
KN805858.1	41567	0.57	0.27	0.68	1.00	0.37	0.82	0.29	0.21
KN805858.1	253493	0.50	0.52	0.53	0.92	0.41	0.54	0.21	0.12
KN805894.1	224869	0.28	0.33	0.35	0.68	0.31	0.21	0.28	0.39
KN805897.1	94541	0.92	0.86	0.91	0.54	0.87	0.78	0.91	0.72
KN805902.1	2035	0.64	0.86	0.79	0.78	0.81	0.68	0.89	0.86
KN805925.1	296480	0.33	0.11	0.19	0.36	0.30	0.26	0.11	0.23
KN805935.1	156808	0.89	0.91	0.93	0.88	0.81	0.77	0.88	0.76
KN805935.1	156928	0.95	0.96	0.91	1.00	0.93	0.76	0.83	0.97
KN805935.1	156948	0.90	1.00	0.91	0.83	0.89	0.95	1.00	0.97
KN805935.1	156958	0.90	0.94	0.88	0.67	0.89	0.86	0.94	0.91
KN805946.1	34069	0.63	0.40	0.51	0.31	0.74	0.74	0.51	0.72
KN805949.1	79823	0.87	0.86	0.82	0.64	0.90	0.92	0.23	0.91
KN805949.1	180076	0.37	0.52	0.69	0.11	0.26	0.86	0.45	0.67
KN805957.1	184192	0.84	0.68	0.96	0.80	0.75	0.95	0.32	0.73
KN805961.1	8608	0.95	0.44	0.79	0.92	0.93	0.93	0.54	0.88
KN805961.1	8616	0.92	0.40	0.87	0.75	0.93	0.72	0.50	0.85
KN805964.1	58434	0.46	0.78	0.62	0.12	0.82	0.79	0.62	0.53
KN805973.1	265738	0.29	0.20	0.59	1.00	0.18	0.48	0.42	0.27
KN805984.1	126550	0.28	0.39	0.38	0.38	0.42	0.33	0.46	0.48
KN805989.1	60162	1.00	1.00	0.98	1.00	0.93	1.00	1.00	1.00
KN805989.1	60168	0.98	1.00	0.95	0.95	0.90	0.96	1.00	0.69
KN805989.1	60173	0.96	1.00	0.88	1.00	0.90	0.94	0.96	1.00
KN805989.1	60206	0.82	0.87	0.80	0.95	0.73	0.84	0.96	0.85
KN805994.1	50846	0.87	1.00	0.96	0.70	0.89	0.93	0.64	0.89
KN806000.1	95538	0.86	0.57	0.67	0.67	0.79	0.95	0.62	0.65
KN806000.1	95542	0.81	0.62	0.57	0.58	0.79	0.84	0.67	0.69
KN806000.1	95549	0.76	0.62	0.67	0.83	0.79	0.89	0.69	0.66
KN806000.1	95573	0.54	0.42	0.24	0.67	0.33	0.50	0.48	0.72
KN806015.1	189681	0.96	1.00	0.89	1.00	0.89	0.99	0.12	0.89
KN806023.1	141281	0.93	0.34	0.27	1.00	0.73	0.80	0.95	0.94
KN806024.1	176001	0.58	0.26	0.32	0.41	0.33	0.40	0.70	0.71
KN806031.1	17708	0.83	0.73	0.68	0.47	0.74	0.72	0.56	0.87
KN806031.1	17723	0.61	0.59	0.66	0.79	0.65	0.55	0.38	0.55
KN806031.1	18600	0.98	1.00	0.90	0.29	0.12	1.00	0.18	1.00
KN806031.1	18617	0.98	0.98	0.96	0.30	0.88	0.57	0.17	1.00
KN806031.1	47438	0.61	0.23	0.29	0.15	0.83	0.51	0.17	0.53
KN806031.1	47451	0.76	0.42	0.58	0.36	1.00	0.75	0.45	0.53
KN806031.1	47453	0.54	0.35	0.46	0.36	0.90	0.63	0.41	0.67
KN806031.1	47467	0.70	0.50	0.78	0.15	1.00	0.83	0.50	0.68
KN806059.1	88694	0.67	0.57	0.61	0.57	0.80	0.81	0.89	0.46
KN806090.1	158878	0.98	0.90	1.00	0.33	1.00	1.00	1.00	1.00
KN806096.1	62977	0.88	0.83	0.92	0.74	0.48	1.00	0.85	1.00
KN806105.1	174465	0.94	0.94	0.89	1.00	0.81	0.88	0.75	0.87
KN806105.1	174470	0.97	0.95	0.82	1.00	0.84	0.97	0.81	0.98
KN806105.1	174472	0.92	0.95	0.84	0.82	0.84	0.91	0.81	0.82
KN806119.1	126036	0.80	0.86	0.96	1.00	0.89	1.00	0.81	0.98
KN806156.1	139712	0.62	0.57	0.64	0.31	0.62	0.64	0.51	0.72
KN806157.1	75722	0.82	0.62	0.77	0.53	0.60	0.78	0.65	0.71
KN806184.1	24664	0.98	1.00	0.94	0.88	0.92	0.95	0.90	0.90
KN806184.1	24671	0.93	1.00	0.97	0.91	0.83	0.92	0.90	0.90
KN806184.1	24695	0.84	0.99	0.94	0.98	1.00	0.89	0.70	0.94
KN806184.1	81239	0.72	0.68	0.76	0.67	0.82	0.80	0.76	0.70
KN806188.1	132409	0.95	0.74	0.92	0.71	0.87	0.85	0.89	0.85
KN806188.1	132414	0.94	0.85	0.92	0.82	0.94	0.88	0.89	0.92
KN806188.1	132416	0.94	0.83	0.85	0.82	0.87	0.94	0.78	0.83
KN806201.1	72493	0.59	0.24	0.32	0.17	0.66	0.52	0.18	0.55
KN806201.1	72506	0.76	0.40	0.59	0.39	1.00	0.77	0.48	0.55
KN806201.1	72508	0.51	0.36	0.45	0.39	0.79	0.62	0.44	0.68
KN806201.1	72522	0.69	0.52	0.82	0.17	1.00	0.84	0.54	0.68
KN806209.1	136488	0.93	0.88	1.00	1.00	0.90	0.86	0.97	0.95
KN806210.1	164740	0.42	0.11	0.53	0.29	0.16	0.31	0.63	0.76
KN806211.1	88938	0.35	0.18	0.27	0.48	0.43	0.31	0.10	0.89
KN806234.1	107783	0.60	0.24	0.32	0.16	0.63	0.52	0.18	0.55
KN806234.1	107796	0.76	0.40	0.59	0.39	0.97	0.77	0.48	0.55
KN806234.1	107798	0.52	0.36	0.45	0.39	0.77	0.62	0.44	0.67
KN806234.1	107812	0.69	0.52	0.82	0.18	1.00	0.84	0.54	0.67
KN806242.1	20427	0.70	0.69	0.68	0.69	0.81	0.78	0.89	0.70
KN806244.1	95807	0.75	0.75	0.74	0.35	0.70	0.85	0.59	0.78
KN806248.1	90335	0.93	0.83	0.52	0.63	0.75	0.63	0.84	0.80
KN806248.1	90378	0.39	0.32	0.47	0.72	0.32	0.29	0.39	0.25
KN806250.1	128139	0.89	0.91	0.83	0.70	0.75	0.90	0.92	0.86
KN806250.1	128146	0.93	0.96	0.85	0.90	0.79	0.87	1.00	0.93
KN806250.1	128188	0.90	0.89	0.98	0.90	0.96	0.97	0.94	0.97
KN806250.1	128196	0.88	0.93	0.91	0.90	0.86	0.89	0.83	0.93
KN806253.1	143586	0.55	0.61	0.66	0.26	0.56	0.64	0.53	0.68
KN806280.1	103693	0.29	0.19	0.59	1.00	0.18	0.15	0.42	0.25
KN806284.1	24678	1.00	0.83	0.96	0.90	1.00	1.00	0.16	1.00
KN806284.1	24684	0.77	0.92	0.92	0.10	0.26	1.00	0.16	1.00
KN806294.1	119443	0.98	0.91	0.86	0.50	0.91	0.98	0.53	1.00
KN806298.1	67406	0.93	0.97	1.00	1.00	1.00	1.00	1.00	1.00
KN806298.1	67415	1.00	0.97	0.97	0.38	1.00	0.98	0.95	1.00
KN806298.1	67433	0.97	0.97	1.00	0.38	0.88	0.93	1.00	1.00
KN806299.1	514	0.81	0.64	0.78	1.00	0.70	0.46	0.34	0.83
KN806307.1	131289	0.30	0.53	0.42	0.50	0.88	0.63	0.62	0.29
KN806341.1	11656	0.90	0.59	0.80	1.00	0.90	0.71	0.96	0.78
KN806365.1	11550	0.85	0.85	0.81	0.66	0.86	0.87	0.86	0.75
KN806381.1	23900	0.18	0.28	0.18	0.28	0.27	0.17	0.19	0.23
KN806405.1	5549	0.59	0.35	0.25	0.10	0.37	0.21	0.20	0.38
KN806418.1	41012	0.72	0.84	1.00	0.50	1.00	0.90	0.64	0.62
KN806418.1	41044	0.72	0.84	0.94	0.50	1.00	0.87	0.64	0.69
KN806418.1	41046	0.89	0.84	0.79	0.50	1.00	0.90	0.50	1.00
KN806418.1	41051	0.75	0.84	0.94	0.50	1.00	0.90	0.64	1.00
KN806425.1	14492	0.93	0.97	1.00	1.00	1.00	1.00	1.00	1.00
KN806425.1	14501	1.00	0.97	0.97	0.38	1.00	0.98	0.95	1.00
KN806425.1	14519	1.00	1.00	1.00	0.38	1.00	0.97	1.00	1.00
KN806473.1	39605	0.48	0.68	0.88	0.18	0.55	0.35	0.57	0.65
KN806495.1	20877	0.68	0.84	0.74	1.00	0.23	0.84	0.33	1.00
KN806495.1	20915	1.00	0.94	0.98	1.00	0.31	0.86	0.73	1.00
KN806503.1	78293	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
KN806610.1	22855	0.82	0.95	0.95	0.57	0.69	0.73	0.87	0.90
KN806638.1	18181	0.67	0.71	0.95	0.88	0.43	0.68	0.83	0.67
KN806644.1	39222	0.89	0.64	0.80	0.60	0.76	0.77	0.70	1.00
KN806644.1	39229	0.87	0.53	0.56	0.60	0.55	0.66	0.66	0.46
KN806663.1	24884	0.78	0.52	0.67	0.27	0.88	0.54	0.41	0.67
KN806683.1	16136	0.92	0.79	0.75	0.17	0.75	0.76	0.78	0.48
KN806683.1	16157	0.89	0.95	0.42	0.17	0.84	0.60	0.91	0.84
KN806701.1	33017	0.64	0.76	0.77	1.00	0.27	0.90	0.77	0.82
KN806702.1	51572	0.26	0.20	0.10	0.35	0.23	0.20	0.11	0.18
KN806713.1	30862	0.81	0.77	0.63	0.50	0.72	0.74	0.60	0.83
KN806713.1	30869	0.77	0.69	0.56	0.20	0.64	0.74	0.60	0.65
KN806722.1	1909	0.69	0.66	0.79	0.60	0.39	0.82	0.71	0.74
KN806729.1	14618	0.94	0.89	0.92	0.60	0.73	0.94	0.75	1.00
KN806774.1	24331	0.88	0.72	0.86	0.85	0.85	0.94	0.71	0.81
KN806944.1	14129	0.12	0.18	0.15	1.00	0.38	0.15	0.23	0.28
KN806972.1	21720	1.00	0.98	0.92	1.00	0.47	0.73	0.88	1.00
KN806972.1	21740	1.00	0.98	0.96	0.60	0.94	1.00	0.96	1.00
KN807043.1	24186	0.89	0.79	0.88	0.55	0.91	0.86	0.80	0.86
KN807043.1	24188	0.91	0.83	0.84	0.55	0.97	0.80	0.92	0.96
KN807043.1	24193	0.83	0.79	0.70	0.27	0.94	0.89	0.88	0.90
KN807102.1	20793	0.66	0.70	0.68	0.47	0.59	0.63	0.53	0.67
KN807102.1	20835	0.95	0.93	0.98	0.61	0.88	0.89	0.86	0.86
KN807102.1	20843	0.86	0.83	0.91	0.44	0.78	0.89	0.84	0.83
KN807102.1	20947	1.00	0.86	0.94	0.62	0.91	0.98	0.82	0.23
KN807102.1	21189	0.83	0.91	0.69	0.18	0.97	0.85	1.00	0.98
KN807102.1	21221	0.68	0.29	0.95	1.00	1.00	0.82	0.94	0.98
KN807102.1	21223	0.89	0.93	1.00	1.00	1.00	0.88	0.95	0.86
KN807102.1	21228	0.62	0.71	0.98	0.36	1.00	0.88	0.94	0.89
KN807102.1	21234	0.89	0.95	0.80	1.00	0.89	0.97	1.00	0.98
KN807113.1	2190	0.78	0.97	0.97	0.69	0.76	0.96	0.80	0.86
KN807143.1	7212	0.29	0.20	0.60	1.00	0.18	0.48	0.42	0.26
KN807169.1	64025	0.98	0.34	1.00	1.00	0.98	0.97	0.98	1.00
KN807237.1	5369	0.48	0.56	0.28	0.22	0.30	0.85	0.56	0.75
KN807290.1	7512	0.92	0.77	0.77	0.52	0.73	0.97	0.80	0.91
KN807329.1	5968	0.72	0.78	0.80	0.45	0.80	0.86	0.70	0.73
KN807329.1	5972	0.83	0.84	0.85	0.67	0.83	0.93	0.58	0.82
KN807510.1	16360	0.95	0.90	0.49	1.00	0.94	0.69	0.73	1.00
KN807510.1	16386	0.96	0.88	1.00	1.00	1.00	0.70	0.65	1.00
KN807510.1	16392	0.88	0.89	0.49	1.00	0.83	0.68	0.38	1.00
KN807510.1	16405	0.92	0.96	0.98	1.00	1.00	0.68	0.65	1.00
KN807536.1	18749	0.82	0.72	0.73	0.35	0.80	0.85	0.60	0.77
KN807558.1	9181	0.88	0.31	0.79	0.75	0.62	0.38	0.95	1.00
KN807617.1	7626	0.82	0.98	0.57	1.00	0.42	0.93	0.69	1.00
KN807767.1	6770	0.62	0.59	0.65	0.31	0.63	0.64	0.51	0.72
KN807919.1	8764	0.93	0.97	1.00	1.00	1.00	1.00	1.00	1.00
KN807919.1	8773	1.00	0.97	0.97	0.38	1.00	0.98	0.95	1.00
KN807919.1	8791	1.00	1.00	1.00	0.38	1.00	0.97	1.00	1.00
KN807928.1	12709	0.82	0.90	0.52	0.81	0.95	1.00	1.00	1.00
KN808211.1	3196	0.81	0.74	0.77	0.50	0.81	0.85	0.90	0.85
KN808211.1	3262	0.75	0.63	0.76	0.50	0.77	0.80	0.79	0.87
KN808291.1	48	0.71	0.93	0.89	0.82	0.94	0.71	0.87	0.77
KN808291.1	50	0.94	0.97	0.93	0.91	0.48	0.83	0.73	0.92
KN808291.1	55	0.85	0.91	0.96	0.91	0.95	0.88	0.93	0.92
KN808318.1	2225	0.59	0.93	0.54	0.79	0.74	1.00	0.65	0.69
KN808364.1	12903	0.76	0.60	0.79	0.55	0.16	0.45	0.22	0.58
KN808364.1	12933	0.83	0.85	0.88	0.55	0.84	0.60	0.24	0.65
KN808410.1	5997	0.96	0.91	0.91	0.82	0.83	0.88	0.73	0.90
KN808410.1	6002	0.96	0.91	0.86	0.82	0.79	0.97	0.80	0.97
KN808410.1	6004	0.91	0.91	0.89	0.64	0.83	0.91	0.80	0.79
KN808410.1	6036	0.81	0.67	0.80	0.42	0.80	0.84	0.94	0.86
KN808450.1	3104	0.58	0.65	0.73	0.57	0.76	0.69	0.81	1.00
KN808450.1	3118	0.70	0.88	0.81	0.57	0.76	0.85	1.00	1.00
KN808450.1	3137	0.91	0.96	0.69	0.57	0.86	1.00	0.90	1.00
KN808450.1	3143	0.80	0.88	0.81	0.57	0.79	0.96	0.81	0.29
KN808477.1	7429	0.66	0.60	0.84	0.80	0.92	0.51	0.52	0.20
KN808477.1	7444	0.53	0.54	0.81	0.67	0.85	0.12	0.44	0.11
KN808499.1	5425	0.96	0.82	0.94	0.94	0.97	0.83	0.83	0.92
KN808499.1	5472	0.87	0.84	0.80	0.88	0.94	0.80	0.81	0.77
KN808764.1	7649	0.88	0.64	0.74	0.33	0.67	0.66	0.59	0.65
KN809025.1	6663	0.85	0.83	0.83	0.64	0.92	0.86	0.75	0.88
KN809150.1	1224	0.88	0.70	0.65	1.00	0.96	0.95	0.77	1.00
KN809150.1	1235	0.84	0.73	0.68	0.22	0.96	0.90	0.77	0.83
KN809150.1	1237	0.72	0.96	0.92	0.78	0.98	0.93	0.68	1.00
KN809217.1	3862	0.44	0.49	0.35	0.13	0.28	0.28	0.27	0.18
KN809217.1	3877	0.39	0.51	0.37	0.31	0.20	0.28	0.28	0.29
KN809225.1	9169	0.94	0.90	0.82	0.53	0.92	0.86	0.95	1.00
KN809238.1	3982	0.97	0.89	0.85	0.85	0.90	0.87	0.80	0.94
KN809317.1	7554	0.41	0.78	0.53	0.38	0.69	0.53	0.60	0.65
KN809573.1	2896	0.87	0.74	0.94	1.00	0.62	0.91	0.80	0.88
KN809573.1	2912	0.71	0.50	0.79	0.98	0.57	0.63	0.82	0.81
KN809573.1	2942	0.70	0.73	0.75	1.00	0.52	0.74	0.96	0.93
KN809941.1	1607	0.77	0.72	0.73	0.35	0.73	0.85	0.60	0.77
KN809974.1	1346	0.76	0.89	1.00	0.69	0.96	1.00	0.96	0.69
KN809974.1	1350	0.83	0.60	0.89	0.57	0.84	0.99	0.96	0.83
KN810347.1	4132	0.92	0.83	0.84	0.70	0.85	0.90	0.88	0.85
KN810643.1	2423	0.83	0.71	0.80	0.30	0.81	0.47	0.93	0.80
KN810658.1	1021	1.00	0.64	1.00	1.00	1.00	1.00	1.00	1.00
KN811283.1	2222356	0.97	0.97	0.94	1.00	0.96	0.89	0.81	0.89
KN811283.1	2222369	0.97	0.76	0.91	0.89	0.96	0.70	0.93	0.90
KN811284.1	617815	0.31	0.18	0.11	0.18	0.36	0.39	0.37	0.50
KN811284.1	3348714	0.90	0.89	0.80	0.71	0.90	0.89	0.95	1.00
KN811284.1	3348719	0.87	0.91	0.76	0.64	1.00	0.89	0.95	0.95
KN811284.1	3348721	0.94	0.83	0.87	0.50	0.95	0.85	0.90	1.00
KN811284.1	3348753	0.90	0.86	0.63	0.75	0.86	0.83	0.85	0.94
KN811285.1	2353020	0.81	0.67	0.60	0.30	0.63	0.24	0.67	0.74
KN811285.1	2353072	0.23	0.51	0.35	0.33	0.37	0.39	0.67	0.16
KN811285.1	2967257	0.44	0.71	0.55	0.59	0.85	0.92	0.45	0.89
KN811286.1	2249475	0.93	0.88	0.90	0.73	0.85	0.85	0.77	0.90
KN811286.1	2249495	0.93	0.88	0.92	0.83	0.95	0.83	0.85	0.85
KN811287.1	2511885	0.28	0.15	0.12	0.15	0.52	0.10	0.14	0.11
