Module	Section	Sample Name	Source
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-N2_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-N2_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-S3_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-S3_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-S3_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-S3_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-S4_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-S4_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_5-S4_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_5-S4_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_OC-S1_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_OC-S1_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L2_OC-S1_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L2_OC-S1_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_20-N2_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_20-N2_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_20-N2_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_20-N2_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_5-N3_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_5-N3_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_5-N3_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_5-N3_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_5-S2_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_5-S2_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_5-S2_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_5-S2_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N1_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N1_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N1_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N1_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N2_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N2_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N2_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N2_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N4_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N4_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N4_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N4_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N5_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N5_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-N5_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-N5_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-S2_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-S2_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-S2_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-S2_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-S3_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-S3_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L3_OC-S3_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L3_OC-S3_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_20-N1_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_20-N1_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_20-N1_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_20-N1_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_20-S2_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_20-S2_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_20-S2_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_20-S2_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_5-S1_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_5-S1_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_5-S1_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_5-S1_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_OC-N3_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_OC-N3_2_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_OC-S5_1	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_OC-S5_1_fastqc.zip
FastQC	all_sections	190626_I114_FCH7TVNBBXY_L4_OC-S5_2	/vortexfs1/scratch/yaamini.venkataraman/01-fastqc/190626_I114_FCH7TVNBBXY_L4_OC-S5_2_fastqc.zip
